,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-12-19 21:41:44,2025-12-19 21:41:28,17883,205.0,1588,103,1017,192.0,7941.0,11312,2025-12-09 21:05:22,rel_2_0_45,8015.0,247745474.0,100.0,The Database Toolkit for Python.,1160674.0,1160674.0,806.0,https://pypi.org/project/sqlalchemy,247745331.0,47,True,1,38.0,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-12-25 10:51:13,2025-12-24 22:10:37,921,130.0,749,136,831,61.0,284.0,17391,2025-12-23 20:59:22,0.0.29,,7744020.0,28.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",29801.0,29801.0,100.0,https://pypi.org/project/sqlmodel,7744020.0,38,True,1,,fastapi/sqlmodel
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,803,140,574,90.0,912.0,8242,2024-11-09 20:43:58,3.4.3,,25236880.0,63.0,GraphQL framework for Python.,29987.0,29987.0,211.0,https://pypi.org/project/graphene,25236880.0,37,True,1,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-12-24 01:14:05,2025-12-22 01:19:21,1411,12.0,442,42,732,475.0,737.0,5420,2025-12-24 01:14:05,0.25.3,18.0,519033.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10377.0,10377.0,161.0,https://pypi.org/project/tortoise-orm,519033.0,36,True,2,,
4,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355,,1164,131,1166,304.0,1411.0,4354,2024-09-19 08:33:36,0.29.1,,1705038.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,27844.0,27844.0,401.0,https://pypi.org/project/mongoengine,1705038.0,36,True,1,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-12-22 13:40:05,2025-12-22 13:40:00,1893,18.0,208,84,359,,,2524,2025-05-14 19:00:46,3.7.1,74.0,7212397.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,127180.0,127180.0,59.0,https://pypi.org/project/motor,7212396.0,35,True,2,,
6,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-12-24 03:12:54,2025-12-23 19:28:52,2802,178.0,151,12,1395,6.0,261.0,1583,2025-12-19 18:25:02,0.15.4,,2600796.0,82.0,FastAPI pagination.,4443.0,4443.0,54.0,https://pypi.org/project/fastapi-pagination,2600796.0,35,True,1,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-12-19 09:39:49,2025-12-19 09:37:01,809,40.0,479,51,612,4.0,290.0,5884,2025-12-19 09:43:56,15.0.3,465.0,590131.0,100.0,Ready-to-use and customizable users management for FastAPI.,5477.0,5477.0,75.0,https://pypi.org/project/fastapi-users,590125.0,34,True,1,,
8,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-10-13 12:26:33,2025-10-13 12:26:32,2067,46.0,188,38,692,37.0,291.0,2310,2025-04-18 08:27:47,0.26.2,67.0,1221536.0,51.0,Python library for implementing GraphQL servers using schema-first approach.,2012.0,2012.0,85.0,https://pypi.org/project/ariadne,1221536.0,34,True,2,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-12-23 19:21:00,2025-12-23 19:20:52,6512,72.0,1101,229,2661,,,4325,2025-12-02 19:15:26,4.15.5,4174.0,72897818.0,58.0,PyMongo - the Official MongoDB Python driver.,,,235.0,https://pypi.org/project/pymongo,72897765.0,33,True,3,,
