,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-02-19 17:53:52,2026-02-19 17:53:35,17950,132.0,1619,102,1032,193.0,7964.0,11608,2026-01-21 18:03:51,rel_2_0_46,8270.0,288199708.0,100.0,The Database Toolkit for Python.,1169075.0,1169075.0,811.0,https://pypi.org/project/sqlalchemy,288199566.0,46,True,1,37.0,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-02-18 22:08:48,2026-02-17 09:01:38,1024,154.0,765,136,894,58.0,287.0,17649,2026-02-16 19:06:18,0.0.34,,10249182.0,33.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",30431.0,30431.0,105.0,https://pypi.org/project/sqlmodel,10249182.0,38,True,1,,fastapi/sqlmodel
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,803,140,575,92.0,912.0,8244,2024-11-09 20:43:58,3.4.3,,28208811.0,63.0,GraphQL framework for Python.,30413.0,30413.0,211.0,https://pypi.org/project/graphene,28208811.0,37,True,1,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2026-02-19 14:37:25,2026-02-19 14:37:14,1459,60.0,457,42,779,454.0,776.0,5498,2026-02-17 09:08:50,1.1.4,18.0,466661.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10439.0,10439.0,167.0,https://pypi.org/project/tortoise-orm,466661.0,37,True,2,,
4,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-02-19 03:08:50,2026-02-19 03:08:43,2912,191.0,154,13,1460,5.0,272.0,1625,2026-02-08 13:13:30,0.15.10,,3522089.0,88.0,FastAPI pagination.,4514.0,4514.0,56.0,https://pypi.org/project/fastapi-pagination,3522089.0,37,True,1,1.0,
5,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355,,1164,132,1168,306.0,1411.0,4353,2024-09-19 08:33:36,0.29.1,,2018992.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,27905.0,27905.0,401.0,https://pypi.org/project/mongoengine,2018992.0,36,True,1,,
6,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-02-17 13:45:44,2026-02-17 13:45:36,1901,14.0,209,84,368,,,2527,2025-05-14 19:00:46,3.7.1,118.0,7763418.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,127729.0,127729.0,60.0,https://pypi.org/project/motor,7763417.0,35,True,2,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-02-19 11:40:49,2026-02-19 11:27:18,2181,114.0,187,38,711,34.0,297.0,2318,2026-02-19 11:48:41,0.29.0,147.0,1682174.0,58.0,Python library for implementing GraphQL servers using schema-first approach.,2025.0,2025.0,87.0,https://pypi.org/project/ariadne,1682173.0,35,True,2,,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2026-02-05 09:35:13,2026-02-05 09:33:33,814,17.0,480,53,615,4.0,292.0,6005,2026-02-05 09:37:04,15.0.4,490.0,673797.0,100.0,Ready-to-use and customizable users management for FastAPI.,5542.0,5542.0,76.0,https://pypi.org/project/fastapi-users,673791.0,34,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-02-18 21:28:02,2026-02-18 20:42:00,6542,67.0,1101,230,2705,,,4334,2026-01-07 18:15:35,4.16.0,4898.0,76069977.0,59.0,PyMongo - the Official MongoDB Python driver.,,,237.0,https://pypi.org/project/pymongo,76069916.0,33,True,3,,
10,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2026-02-19 02:27:57,2026-02-19 02:26:16,1510,80.0,94,16,1019,57.0,217.0,1799,2026-02-08 08:53:19,0.22.0,,907562.0,82.0,python async orm with fastapi in mind and pydantic validation.,1104.0,1104.0,47.0,https://pypi.org/project/ormar,907562.0,33,True,2,,
