,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-10-28 15:43:10,2025-10-28 15:43:10,849.0,125.0,742.0,137.0,778.0,61.0,284.0,17034.0,2025-10-08 16:38:41,0.0.27,26.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",29341.0,29341.0,98.0,https://pypi.org/project/sqlmodel,6864655.0,6864655.0,38,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787.0,,802.0,140.0,572.0,90.0,912.0,8228.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29781.0,29781.0,211.0,https://pypi.org/project/graphene,24906187.0,24906187.0,38,True,1,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355.0,11.0,1166.0,131.0,1165.0,304.0,1411.0,4346.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27787.0,27787.0,401.0,https://pypi.org/project/mongoengine,1710814.0,1710814.0,38,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-10-29 12:57:51,2025-10-29 12:57:51,1885.0,13.0,211.0,84.0,351.0,,,2515.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,126755.0,126755.0,59.0,https://pypi.org/project/motor,8218316.0,8218317.0,36,True,2,74.0,
4,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-10-27 04:11:21,2025-10-25 06:56:02,797.0,28.0,477.0,49.0,607.0,4.0,288.0,5676.0,2025-10-25 06:53:51,15.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5427.0,5427.0,74.0,https://pypi.org/project/fastapi-users,591604.0,591610.0,34,True,1,442.0,2.0
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-09-23 12:07:12,2025-09-23 12:07:12,1399.0,6.0,441.0,43.0,714.0,469.0,728.0,5352.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10322.0,10322.0,160.0,https://pypi.org/project/tortoise-orm,385085.0,385085.0,34,True,1,18.0,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-10-13 12:26:33,2025-10-13 12:26:32,2067.0,57.0,186.0,39.0,691.0,37.0,290.0,2305.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,2001.0,2001.0,85.0,https://pypi.org/project/ariadne,1446890.0,1446890.0,34,True,2,63.0,
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-10-29 19:34:12,2025-10-29 18:31:25,6467.0,108.0,1100.0,230.0,2602.0,,,4289.0,2025-10-07 22:08:50,4.15.3,56.0,PyMongo - the Official MongoDB Python driver.,,,230.0,https://pypi.org/project/pymongo,64804508.0,64804568.0,33,True,3,4567.0,
8,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-10-27 19:27:06,2025-09-27 17:39:46,576.0,6.0,258.0,18.0,466.0,92.0,406.0,2479.0,2025-07-20 07:17:27,2.0.0,100.0,Asynchronous Python ODM for MongoDB.,4426.0,4426.0,119.0,https://pypi.org/project/beanie,1503381.0,1503381.0,32,True,3,,
9,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,,BSD-3-Clause,2021-12-22 10:09:54,2025-10-03 07:00:34,2025-10-03 07:00:34,393.0,4.0,246.0,15.0,469.0,73.0,208.0,2407.0,2025-07-02 09:40:46,0.21.0,42.0,SQLAlchemy Admin for FastAPI and Starlette.,1770.0,1770.0,77.0,https://pypi.org/project/sqladmin,453430.0,453430.0,31,True,1,,
10,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-10-30 16:03:21,2025-10-30 16:03:20,2665.0,102.0,787.0,22.0,2363.0,550.0,907.0,921.0,2025-10-16 15:26:37,opentelemetry-instrumentation-vertexai==2.1b0,69.0,OpenTelemetry instrumentation for Python modules.,,,391.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,26528464.0,26528464.0,31,True,1,,
11,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,,MIT,2018-10-27 20:53:26,2025-10-29 23:57:28,2025-10-29 23:57:28,1930.0,25.0,94.0,15.0,581.0,66.0,433.0,1711.0,2025-10-21 23:03:55,1.30.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",502.0,502.0,52.0,https://pypi.org/project/piccolo,67294.0,67294.0,30,True,2,,
12,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-10-01 05:02:39,2025-09-07 16:02:38,454.0,6.0,104.0,5.0,234.0,41.0,63.0,1264.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,6621.0,6621.0,30.0,https://pypi.org/project/prometheus-fastapi-instrumentator,7900728.0,7900728.0,30,True,3,,
13,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,,MIT,2020-08-02 06:34:03,2025-09-30 03:43:09,2025-09-30 02:50:58,1430.0,9.0,92.0,16.0,933.0,70.0,202.0,1780.0,2024-12-06 10:47:54,0.20.2,80.0,python async orm with fastapi in mind and pydantic validation.,1099.0,1099.0,42.0,https://pypi.org/project/ormar,301877.0,301877.0,29,True,2,,
14,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-10-30 03:16:47,2025-10-30 03:16:40,2685.0,114.0,150.0,12.0,1331.0,6.0,255.0,1473.0,2025-10-28 19:06:04,0.15.0,78.0,FastAPI pagination.,,,54.0,https://pypi.org/project/fastapi-pagination,2028546.0,2028546.0,29,True,1,,
15,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,,MIT,2020-02-21 12:56:20,2025-08-10 12:25:45,2025-08-08 15:15:46,261.0,3.0,98.0,15.0,124.0,42.0,64.0,1667.0,,,,A rate limiter for Starlette and FastAPI.,7661.0,7661.0,26.0,https://pypi.org/project/slowapi,3268911.0,3268911.0,27,True,1,,
16,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,,MIT,2018-12-21 08:56:55,2025-10-30 15:31:49,2025-10-30 14:41:41,3588.0,39.0,588.0,37.0,2793.0,387.0,728.0,4452.0,2025-10-18 20:31:24,0.284.1,100.0,A GraphQL library for Python that leverages type annotations.,,,294.0,https://pypi.org/project/strawberry,590.0,627.0,26,True,3,454.0,
17,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,,MIT,2021-08-23 16:18:04,2025-10-27 21:36:43,2025-10-21 00:04:38,1365.0,16.0,57.0,14.0,678.0,7.0,58.0,1015.0,2025-05-31 14:53:11,1.4.3,45.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,240.0,240.0,20.0,https://pypi.org/project/authx,26117.0,26117.0,26,True,2,,
18,strictdoc,strictdoc-project/strictdoc,strictdoc,,requirement-management-framework,https://github.com/strictdoc-project/strictdoc,https://github.com/strictdoc-project/strictdoc,,,2020-05-14 18:03:48,2025-10-30 07:47:25,2025-10-30 07:47:23,5237.0,287.0,36.0,8.0,1919.0,120.0,461.0,219.0,2025-10-06 17:58:43,0.14.0,76.0,Software for technical documentation and requirements management.,14.0,14.0,32.0,https://pypi.org/project/strictdoc,8814.0,8814.0,26,True,1,,
19,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406.0,,433.0,41.0,51.0,57.0,72.0,3496.0,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",505.0,505.0,18.0,https://pypi.org/project/fastapi-admin,15285.0,15285.0,25,True,3,,
20,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,,ISC,2020-05-01 13:59:45,2025-01-23 21:09:34,2025-01-07 22:21:10,560.0,,86.0,17.0,311.0,87.0,90.0,1138.0,2024-04-26 23:28:12,1.0.2,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3581.0,3581.0,19.0,https://pypi.org/project/odmantic,60554.0,60554.0,25,True,3,,
21,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,,MIT,2021-08-10 19:46:24,2025-10-01 07:01:52,2025-07-25 06:56:51,359.0,,77.0,10.0,136.0,5.0,115.0,567.0,2025-07-25 06:57:46,5.2.0,34.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",144.0,144.0,33.0,https://pypi.org/project/fastapi-azure-auth,285950.0,285950.0,25,True,2,,
22,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,https://github.com/dapr/python-sdk,https://github.com/dapr/python-sdk,,Apache-2.0,2019-06-21 15:51:20,2025-10-13 11:51:50,2025-10-08 11:29:43,487.0,8.0,136.0,26.0,554.0,14.0,281.0,259.0,,,,Dapr SDK for Python.,892.0,892.0,83.0,https://pypi.org/project/dapr-ext-fastapi,58569.0,58569.0,25,True,1,,
23,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128.0,,148.0,44.0,475.0,45.0,263.0,2726.0,,,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2498.0,2498.0,45.0,https://pypi.org/project/gino,28249.0,28249.0,24,True,3,,
24,FastCRUD,igorbenav/fastcrud,,[],crud,https://github.com/benavlabs/fastcrud,https://github.com/benavlabs/fastcrud,benavlabs/fastcrud,MIT,2024-01-08 04:04:17,2025-10-20 18:35:57,2025-10-19 04:21:37,651.0,53.0,87.0,8.0,158.0,14.0,82.0,1303.0,2025-10-08 03:37:32,0.17.1,35.0,"FastCRUD is a Python package for FastAPI, offering robust async CRUD operations and flexible endpoint creation..",202.0,202.0,22.0,,,,24,True,1,,
25,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,,Apache-2.0,2020-12-16 04:29:28,2025-04-10 08:07:05,2025-03-23 17:43:00,931.0,,85.0,15.0,563.0,213.0,205.0,2015.0,2024-08-16 02:54:35,0.15.0,37.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,,,31.0,https://pypi.org/project/prisma,606352.0,606352.0,23,True,3,,
26,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/maxrdu/fastapi_login,https://github.com/maxrdu/fastapi_login,maxrdu/fastapi_login,MIT,2019-10-21 14:47:00,2025-05-20 07:04:51,2025-05-20 07:04:51,482.0,,67.0,10.0,94.0,1.0,58.0,718.0,2024-12-14 08:17:42,1.10.3,25.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,1125.0,1125.0,15.0,https://pypi.org/project/fastapi-login,58071.0,58071.0,23,True,2,13.0,
27,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125.0,,96.0,40.0,78.0,17.0,64.0,1789.0,2021-11-29 09:20:38,0.3.1,8.0,An async ORM.,,,18.0,https://pypi.org/project/orm,9567.0,9567.0,19,True,3,,
28,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,,MIT,2018-01-26 09:56:10,2023-09-11 07:49:27,2022-01-20 14:55:31,1149.0,,35.0,20.0,492.0,12.0,131.0,856.0,2021-11-15 11:05:03,1.4.1,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,6474.0,6474.0,19,True,3,,-1.0
29,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,,MIT,2019-06-25 19:24:31,2025-10-26 08:27:14,2025-10-26 08:27:14,743.0,1.0,42.0,5.0,247.0,33.0,142.0,373.0,2025-07-29 08:25:27,1.12.0,63.0,A powerful web admin for your database.,,,22.0,https://pypi.org/project/piccolo-admin,7725.0,7725.0,19,True,3,,1.0
30,fastapi-jwt-auth,IndominusByte/fastapi-jwt-auth,fastapi-jwt-auth,['authentication'],restful-api-authentication,https://github.com/IndominusByte/fastapi-jwt-auth,https://github.com/IndominusByte/fastapi-jwt-auth,,MIT,2020-07-23 09:40:19,2024-04-12 06:58:02,2020-11-11 05:05:27,123.0,,139.0,8.0,26.0,47.0,36.0,735.0,2020-11-06 11:15:11,0.5.0,5.0,"FastAPI extension that provides JWT Auth support (secure, easy to use, and lightweight).",,,4.0,https://pypi.org/project/fastapi-jwt-auth,101858.0,101858.0,18,True,3,,
31,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,,MIT,2019-11-03 16:30:26,2024-04-09 04:47:10,2024-04-09 04:47:04,96.0,,43.0,11.0,27.0,10.0,13.0,669.0,2020-09-25 16:25:49,0.2.1,5.0,Adds simple SQLAlchemy support to FastAPI.,3.0,3.0,10.0,https://pypi.org/project/fastapi-sqlalchemy,70759.0,70759.0,18,True,3,,
32,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,,Apache-2.0,2020-11-06 09:27:57,2024-04-11 07:46:38,2024-01-05 09:28:42,66.0,,65.0,8.0,26.0,32.0,15.0,624.0,2024-01-05 09:14:08,0.1.6,7.0,A request rate limiter for fastapi.,,,12.0,https://pypi.org/project/fastapi-limiter,351285.0,351285.0,17,True,3,,
33,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,,MIT,2020-07-28 17:48:32,2023-05-17 13:14:36,2022-05-12 10:03:14,61.0,,37.0,5.0,40.0,30.0,19.0,352.0,2022-01-06 12:47:03,0.4.3,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",,,6.0,https://pypi.org/project/fastapi-cloudauth,62867.0,62867.0,17,True,3,,1.0
