,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-01-13 13:16:43,2025-01-13 13:14:14,17291,91.0,1444,103,875,219.0,7737.0,9919,2025-01-09 22:43:36,rel_2_0_37,51393.0,140677807.0,100.0,The Database Toolkit for Python.,956616.0,956616.0,754.0,https://pypi.org/project/sqlalchemy,140676690.0,45,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,6.0,810,141,570,89.0,910.0,8135,2024-11-09 20:43:58,3.4.3,,9768490.0,63.0,GraphQL framework for Python.,25431.0,25431.0,211.0,https://pypi.org/project/graphene,9768490.0,38,True,1,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,,1160,137,1145,300.0,1406.0,4276,2024-09-19 08:33:36,0.29.1,,1029269.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,26088.0,26088.0,398.0,https://pypi.org/project/mongoengine,1029269.0,37,True,1,,
3,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-01-13 22:04:55,2025-01-02 21:16:45,604,34.0,642,138,588,177.0,162.0,15012,2024-08-31 09:42:46,0.0.22,,2144610.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",19759.0,19759.0,83.0,https://pypi.org/project/sqlmodel,2144610.0,36,True,1,fastapi/sqlmodel,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-01-10 17:16:39,2025-01-10 17:16:39,1350,57.0,396,46,637,476.0,645.0,4783,2024-12-23 22:49:12,0.23.0,18.0,175085.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9037.0,9037.0,154.0,https://pypi.org/project/tortoise-orm,175085.0,36,True,2,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-01-14 18:47:18,2025-01-14 18:47:17,1845,9.0,203,90,313,,,2452,2025-01-14 19:30:48,3.6.1,48.0,2462157.0,20.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,108986.0,108986.0,55.0,https://pypi.org/project/motor,2462157.0,34,True,2,,
6,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769,20.0,393,47,589,12.0,267.0,4823,2025-01-04 13:31:56,14.0.1,340.0,128915.0,100.0,Ready-to-use and customizable users management for FastAPI.,4373.0,4373.0,69.0,https://pypi.org/project/fastapi-users,128910.0,33,True,1,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-01-08 21:35:25,2024-12-19 11:58:39,1891,40.0,179,40,667,32.0,285.0,2233,2024-12-19 11:56:49,0.24,,537147.0,44.0,Python library for implementing GraphQL servers using schema-first approach.,1781.0,1781.0,78.0,https://pypi.org/project/ariadne,537147.0,33,True,2,,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-01-15 04:01:41,2025-01-15 04:01:33,2332,166.0,140,14,1163,10.0,230.0,1256,2024-12-21 15:37:54,0.12.34,,709243.0,65.0,FastAPI pagination.,3238.0,3238.0,49.0,https://pypi.org/project/fastapi-pagination,709243.0,33,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-01-15 20:23:12,2025-01-15 20:23:12,6029,100.0,1069,240,2059,,,4172,2024-10-02 23:57:07,4.9.2,830.0,37791024.0,41.0,PyMongo - the Official MongoDB Python driver.,,,221.0,https://pypi.org/project/pymongo,37791012.0,32,True,3,,
10,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-01-06 21:49:02,2025-01-06 17:50:45,548,14.0,225,18,412,87.0,364.0,2143,2025-01-06 17:53:05,1.29.0,,234701.0,100.0,Asynchronous Python ODM for MongoDB.,3284.0,3284.0,104.0,https://pypi.org/project/beanie,234701.0,31,True,3,BeanieODM/beanie,
11,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2024-11-04 08:50:50,2024-11-04 08:33:57,376,4.0,198,16,434,48.0,202.0,1994,2024-10-28 13:15:26,0.20.1,,92752.0,41.0,SQLAlchemy Admin for FastAPI and Starlette.,1285.0,1285.0,63.0,https://pypi.org/project/sqladmin,92752.0,30,True,1,,
12,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2025-01-13 02:18:06,2025-01-08 20:44:55,1412,13.0,90,17,903,68.0,199.0,1691,2024-12-06 10:47:54,0.20.2,,23041.0,80.0,python async orm with fastapi in mind and pydantic validation.,1059.0,1059.0,41.0,https://pypi.org/project/ormar,23041.0,30,True,2,,
13,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2025-01-15 22:24:36,2025-01-15 22:24:35,2339,134.0,632,24,1886,454.0,799.0,762,2024-12-24 15:02:00,opentelemetry-sdk-extension-aws==2.1.0,,7239127.0,46.0,OpenTelemetry instrumentation for Python modules.,2.0,2.0,325.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,7239127.0,30,True,1,,
14,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2025-01-14 19:39:32,2025-01-14 19:39:26,446,10.0,84,4,214,38.0,61.0,1023,2025-01-14 19:39:02,7.0.2,,2260435.0,13.0,Instrument your FastAPI with Prometheus metrics.,3332.0,3332.0,28.0,https://pypi.org/project/prometheus-fastapi-instrumentator,2260435.0,29,True,3,,3.0
15,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2025-01-14 18:32:31,2025-01-07 20:02:15,1853,6.0,89,16,521,125.0,311.0,1514,2024-10-23 21:43:51,1.22.0,,33185.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",439.0,439.0,46.0,https://pypi.org/project/piccolo,33185.0,28,True,3,,-1.0
16,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2025-01-15 16:29:02,2025-01-15 16:28:59,3349,69.0,535,39,2596,385.0,655.0,4106,2025-01-12 10:05:48,0.258.0,672.0,659.0,100.0,A GraphQL library for Python that leverages type annotations.,,,268.0,https://pypi.org/project/strawberry,608.0,27,True,3,,
17,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2025-01-14 16:59:06,2024-06-27 18:02:44,258,,82,14,118,35.0,62.0,1315,,,,604023.0,,A rate limiter for Starlette and FastAPI.,3766.0,3766.0,26.0,https://pypi.org/project/slowapi,604023.0,26,True,1,,
18,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2025-01-14 12:17:59,2025-01-14 12:17:59,1282,85.0,50,16,640,7.0,52.0,853,2024-12-25 23:22:43,1.4.1,,12414.0,43.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,71.0,71.0,18.0,https://pypi.org/project/authx,12414.0,26,True,2,,
19,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2024-09-05 09:32:46,2024-09-05 09:32:46,395,,385,40,48,52.0,71.0,3021,2021-08-31 03:28:51,1.0.3,,8188.0,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",423.0,423.0,16.0,https://pypi.org/project/fastapi-admin,8188.0,25,True,3,,
20,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,149,47,472,45.0,263.0,2685,,,,19845.0,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2469.0,2469.0,45.0,https://pypi.org/project/gino,19845.0,25,True,3,,
21,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2025-01-01 15:11:44,2025-01-01 15:10:36,481,5.0,58,11,93,1.0,58.0,653,2024-12-14 08:17:42,1.10.3,8.0,45235.0,25.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,1023.0,1023.0,14.0,https://pypi.org/project/fastapi-login,45235.0,25,True,2,,
22,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2025-01-10 12:48:40,2025-01-10 12:48:32,341,3.0,70,13,117,1.0,102.0,486,2024-08-20 09:26:23,5.0.1,,88060.0,31.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",100.0,100.0,28.0,https://pypi.org/project/fastapi-azure-auth,88060.0,25,True,2,,
23,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2025-01-15 16:32:39,2024-11-26 09:20:02,930,1.0,83,16,563,201.0,204.0,1934,2024-08-16 02:54:35,0.15.0,,221824.0,37.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,,,31.0,https://pypi.org/project/prisma,221824.0,23,True,3,,
24,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2025-01-07 22:21:21,2025-01-07 22:21:10,560,1.0,90,20,310,83.0,90.0,1090,2024-04-26 23:28:12,1.0.2,,28067.0,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3442.0,3442.0,19.0,https://pypi.org/project/odmantic,28067.0,23,True,3,,
25,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125,,96,42,78,17.0,64.0,1783,2021-11-29 09:20:38,0.3.1,,5271.0,8.0,An async ORM.,540.0,540.0,18.0,https://pypi.org/project/orm,5271.0,22,True,3,,
26,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,Apache-2.0,2020-11-06 09:27:57,2024-04-11 07:46:38,2024-01-05 09:28:42,66,,52,10,23,27.0,15.0,526,2024-01-05 09:14:08,0.1.6,,94204.0,7.0,A request rate limiter for fastapi.,1967.0,1967.0,12.0,https://pypi.org/project/fastapi-limiter,94204.0,22,True,3,,
27,FastCRUD,igorbenav/fastcrud,,[],crud,https://github.com/igorbenav/fastcrud,https://github.com/igorbenav/fastcrud,MIT,2024-01-08 04:04:17,2025-01-09 02:42:54,2025-01-09 02:42:34,504,48.0,63,9,105,17.0,61.0,857,2024-12-26 02:23:09,0.15.5,,,26.0,"FastCRUD is a Python package for FastAPI, offering robust async CRUD operations and flexible endpoint creation..",133.0,133.0,15.0,,,21,True,1,,
28,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-09-11 07:49:27,2022-01-20 14:55:31,1149,,36,22,491,12.0,131.0,858,2021-11-15 11:05:03,1.4.1,,7226.0,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,7226.0,20,True,3,,
29,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,MIT,2020-07-28 17:48:32,2023-05-17 13:14:36,2022-05-12 10:03:14,61,,36,5,40,31.0,18.0,340,2022-01-06 12:47:03,0.4.3,,27977.0,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",93.0,93.0,6.0,https://pypi.org/project/fastapi-cloudauth,27977.0,19,True,3,,
30,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,MIT,2019-06-25 19:24:31,2025-01-14 13:08:18,2024-11-15 06:29:34,725,1.0,38,7,233,41.0,129.0,328,2024-10-16 22:18:53,1.9.0,,8369.0,59.0,A powerful web admin for your database.,,,18.0,https://pypi.org/project/piccolo-admin,8369.0,19,True,3,,
