,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-04-17 20:18:07,2024-04-17 20:17:25,16925,143.0,1296,96,774,213.0,7516.0,8730,2024-03-23 21:53:32,rel_2_0_29,47967.0,110945480.0,100.0,The Database Toolkit for Python.,757943.0,757943.0,704.0,https://pypi.org/project/sqlalchemy,110944438.0,45,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-04-18 08:32:16,2024-03-10 11:56:26,4154,17.0,1151,137,1121,345.0,1343.0,4156,2024-03-07 17:35:36,0.28.2,,1152770.0,44.0,A Python Object-Document-Mapper for working with MongoDB.,23639.0,23639.0,391.0,https://pypi.org/project/mongoengine,1152770.0,39,True,1,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-04-15 20:41:46,2024-04-08 23:08:14,389,20.0,539,151,363,174.0,154.0,12898,2024-02-17 13:54:28,0.0.16,,1165704.0,15.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",11299.0,11299.0,72.0,https://pypi.org/project/sqlmodel,1165704.0,36,True,1,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-03-24 05:13:00,2023-10-06 20:15:26,1755,,798,143,542,109.0,877.0,7971,2023-07-26 06:47:55,3.3.0,,6688663.0,59.0,GraphQL framework for Python.,20755.0,20755.0,207.0,https://pypi.org/project/graphene,6688663.0,36,True,1,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-04-18 10:52:04,2024-04-16 18:34:25,1793,28.0,203,91,271,,,2320,2024-03-26 18:57:20,3.4.0,,1648462.0,14.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,87186.0,87186.0,52.0,https://pypi.org/project/motor,1648462.0,35,True,2,
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-04-12 04:44:54,2024-04-09 09:00:03,1833,97.0,177,39,656,28.0,275.0,2136,2024-03-18 10:27:12,0.23.0,,215227.0,43.0,Python library for implementing GraphQL servers using schema-first approach.,1562.0,1562.0,74.0,https://pypi.org/project/ariadne,215227.0,34,True,2,
6,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2024-04-18 18:05:15,2024-04-18 13:57:26,1979,116.0,487,16,1396,382.0,628.0,609,2024-03-28 19:31:45,0.45b0,,3666915.0,37.0,OpenTelemetry instrumentation for Python modules.,1360.0,1360.0,244.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,3666915.0,34,True,1,
7,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-04-18 03:58:49,2024-04-18 03:56:33,1832,202.0,118,10,907,12.0,188.0,1005,2024-04-17 15:55:32,0.12.23,,502239.0,54.0,FastAPI pagination.,2174.0,2174.0,42.0,https://pypi.org/project/fastapi-pagination,502239.0,33,True,1,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-04-18 17:58:12,2024-04-17 22:58:35,5609,105.0,1041,239,1604,,,4046,2024-02-21 21:43:51,4.6.2,,26431148.0,31.0,PyMongo - the Official MongoDB Python driver.,,,211.0,https://pypi.org/project/pymongo,26431148.0,32,True,3,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-04-07 06:17:28,2024-03-11 13:16:20,744,25.0,349,41,562,6.0,254.0,4039,2024-03-11 13:30:38,13.0.0,186.0,96508.0,99.0,Ready-to-use and customizable users management for FastAPI.,3093.0,3093.0,65.0,https://pypi.org/project/fastapi-users,96505.0,32,True,1,
10,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-04-10 04:53:09,2024-02-13 12:48:28,1194,1.0,343,43,499,507.0,511.0,4224,2023-08-11 03:42:54,0.20.0,13.0,133068.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",7481.0,7481.0,127.0,https://pypi.org/project/tortoise-orm,133068.0,31,True,2,
11,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2024-04-17 20:07:53,2024-04-16 23:52:56,471,11.0,186,15,330,67.0,313.0,1786,2024-01-25 05:53:16,1.25.0,,187978.0,100.0,Asynchronous Python ODM for MongoDB.,2218.0,2218.0,75.0,https://pypi.org/project/beanie,187978.0,31,True,3,
12,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-04-12 04:58:56,2024-03-23 23:41:32,1324,15.0,77,15,788,65.0,184.0,1571,2023-06-18 17:05:55,0.12.2,,80714.0,78.0,python async orm with fastapi in mind and pydantic validation.,990.0,990.0,35.0,https://pypi.org/project/ormar,80714.0,30,True,2,
13,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2024-04-15 17:26:48,2024-04-15 06:52:49,342,13.0,167,14,385,29.0,175.0,1567,2024-02-21 15:16:39,0.16.1,,84704.0,36.0,SQLAlchemy Admin for FastAPI and Starlette.,716.0,716.0,52.0,https://pypi.org/project/sqladmin,84704.0,30,True,1,
14,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-04-18 09:51:40,2024-04-06 09:33:31,1765,32.0,84,15,459,102.0,255.0,1265,2024-03-22 16:59:04,1.5.0,,16803.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",348.0,348.0,43.0,https://pypi.org/project/piccolo,16803.0,29,True,3,
15,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2024-04-17 02:49:12,2024-03-13 16:40:51,436,11.0,76,4,207,33.0,61.0,801,2024-03-13 16:39:15,7.0.0,,726910.0,12.0,Instrument your FastAPI with Prometheus metrics.,1420.0,1420.0,28.0,https://pypi.org/project/prometheus-fastapi-instrumentator,726910.0,29,True,3,
16,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-04-18 17:58:14,2024-04-17 16:47:27,3085,53.0,488,41,2418,393.0,543.0,3752,2024-04-17 16:47:48,0.226.0,461.0,573.0,100.0,A GraphQL library for Python that leverages type annotations.,,,245.0,https://pypi.org/project/strawberry,527.0,27,True,3,
