,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-03-06 14:55:42,2025-03-06 14:55:26,17351,107.0,1463,100,894,217.0,7776.0,10113,2025-02-06 20:10:15,rel_2_0_38,54339.0,149689168.0,100.0,The Database Toolkit for Python.,1004095.0,1004095.0,762.0,https://pypi.org/project/sqlalchemy,149688036.0,45,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-03-03 17:35:51,2025-02-28 16:54:40,625,39.0,660,137,614,176.0,163.0,15346,2025-02-28 16:58:28,0.0.23,,3328275.0,22.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",22130.0,22130.0,87.0,https://pypi.org/project/sqlmodel,3328275.0,37,True,1,fastapi/sqlmodel,2.0
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,,810,141,571,91.0,910.0,8147,2024-11-09 20:43:58,3.4.3,,11596128.0,63.0,GraphQL framework for Python.,26416.0,26416.0,211.0,https://pypi.org/project/graphene,11596128.0,37,True,1,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-03-03 15:16:15,2025-03-03 15:14:22,1375,51.0,410,45,676,472.0,673.0,4874,2025-03-03 15:16:15,0.24.2,18.0,243432.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9352.0,9352.0,154.0,https://pypi.org/project/tortoise-orm,243432.0,36,True,2,,
4,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,,1163,136,1147,304.0,1406.0,4295,2024-09-19 08:33:36,0.29.1,,1336429.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,26535.0,26535.0,398.0,https://pypi.org/project/mongoengine,1336429.0,36,True,1,,-1.0
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-03-05 19:42:03,2025-03-05 19:42:02,1857,19.0,205,87,324,,,2470,2025-01-29 21:14:45,3.7.0,60.0,3536042.0,21.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,113707.0,113707.0,57.0,https://pypi.org/project/motor,3536042.0,36,True,1,,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-03-05 08:37:30,2025-03-05 08:37:30,1991,118.0,185,40,685,33.0,288.0,2245,2025-02-19 15:03:04,0.26.1,28.0,604239.0,50.0,Python library for implementing GraphQL servers using schema-first approach.,1826.0,1826.0,84.0,https://pypi.org/project/ariadne,604239.0,35,True,2,,
7,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-03-06 04:13:53,2025-03-06 04:13:46,2435,194.0,144,14,1212,9.0,233.0,1287,2025-02-02 15:11:19,0.13.0a1,,916106.0,66.0,FastAPI pagination.,3543.0,3543.0,51.0,https://pypi.org/project/fastapi-pagination,916106.0,33,True,1,,1.0
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769,3.0,403,47,591,13.0,267.0,4939,2025-01-04 13:31:56,14.0.1,346.0,213655.0,100.0,Ready-to-use and customizable users management for FastAPI.,4605.0,4605.0,69.0,https://pypi.org/project/fastapi-users,213650.0,32,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-03-06 02:03:06,2025-03-06 02:03:06,6142,139.0,1077,237,2179,,,4191,2025-03-04 01:10:13,4.11.2,1506.0,39128426.0,44.0,PyMongo - the Official MongoDB Python driver.,,,222.0,https://pypi.org/project/pymongo,39128405.0,32,True,3,,
