,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2022-12-21 22:04:34,2022-12-21 21:12:53,15771,313.0,1003,93,542,155.0,6825.0,6450,2022-12-10 18:51:31,rel_1_4_45,39133.0,58888020,100.0,The Database Toolkit for Python.,479840.0,479840.0,584.0,https://pypi.org/project/sqlalchemy,58887017,44,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2022-12-09 19:40:16,2022-10-24 20:06:52,3996,9.0,1134,136,1075,357.0,1279.0,3914,2022-07-17 21:55:17,0.24.2,,801234,38.0,A Python Object-Document-Mapper for working with MongoDB.,18461.0,18461.0,379.0,https://pypi.org/project/mongoengine,801234,38,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2022-12-16 09:39:59,2022-12-11 20:05:25,1734,13.0,768,144,510,104.0,864.0,7503,2022-12-11 20:07:51,3.2.1,,1914707,57.0,GraphQL framework for Python.,14615.0,14615.0,194.0,https://pypi.org/project/graphene,1914707,36,True,1,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2022-12-20 10:49:39,2022-12-20 10:49:39,1155,17.0,287,41,437,372.0,459.0,3291,2022-07-11 09:39:45,0.19.2,9.0,81729,99.0,"Familiar asyncio ORM for python, built with relations in mind.",3619.0,3619.0,116.0,https://pypi.org/project/tortoise-orm,81729,33,True,2,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2022-12-15 19:54:54,2022-12-15 19:54:54,1710,9.0,177,90,188,,,2057,2022-10-25 20:56:31,3.1.1,,2563770,8.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,43384.0,43384.0,41.0,https://pypi.org/project/motor,2563770,33,True,2,-1.0
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2022-12-22 00:47:40,2022-12-16 18:46:26,228,42.0,380,119,215,162.0,139.0,9086,2022-08-30 17:56:11,0.0.8,,426644,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",2398.0,2398.0,54.0,https://pypi.org/project/sqlmodel,426644,32,True,1,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2022-12-21 18:06:44,2022-12-20 16:03:25,2502,173.0,339,43,1734,229.0,380.0,2818,2022-12-20 16:03:48,0.151.1,380.0,391,100.0,A GraphQL library for Python that leverages type annotations.,874.0,874.0,167.0,https://pypi.org/project/strawberry,328,32,True,2,1.0
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2022-12-20 22:29:43,2022-12-20 22:29:43,5186,60.0,979,238,1127,,,3736,2022-11-17 21:50:05,4.3.3,,22191390,24.0,PyMongo - the Python driver for MongoDB.,,,195.0,https://pypi.org/project/pymongo,22191390,31,True,3,
8,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2022-12-21 02:13:39,2022-12-21 02:13:25,1152,72.0,61,15,513,45.0,168.0,1188,2022-10-21 17:55:17,0.12.0,,14504,75.0,python async orm with fastapi in mind and pydantic validation.,490.0,490.0,30.0,https://pypi.org/project/ormar,14504,30,True,2,
9,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2022-12-16 18:21:39,2022-12-15 11:46:49,1532,31.0,153,40,579,34.0,222.0,1909,2022-12-14 14:38:59,0.17.0,,166716,29.0,Python library for implementing GraphQL servers using schema-first approach.,,,62.0,https://pypi.org/project/ariadne,166716,28,True,3,
10,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2022-12-21 12:59:28,2022-12-21 12:59:28,1637,60.0,65,11,351,67.0,192.0,909,2022-12-17 00:09:34,0.102.0,,9214,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",130.0,130.0,37.0,https://pypi.org/project/piccolo,9214,28,True,3,
11,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2022-12-22 07:38:30,2022-12-22 07:38:30,788,111.0,74,8,370,3.0,104.0,546,2022-12-11 09:31:13,0.11.1,,163331,27.0,FastAPI pagination.,734.0,734.0,23.0,https://pypi.org/project/fastapi-pagination,163331,28,True,1,
12,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2022-12-22 17:54:03,2022-12-22 17:31:05,1675,68.0,273,14,922,234.0,367.0,370,2022-12-09 21:26:02,0.36b0,,481374,28.0,OpenTelemetry instrumentation for Python modules.,2.0,2.0,167.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,481374,28,True,1,
13,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2022-12-21 11:42:04,2022-12-20 22:14:38,364,47.0,93,17,193,107.0,93.0,964,2022-12-20 22:22:03,1.16.4,,36829,82.0,Asynchronous Python ODM for MongoDB.,472.0,472.0,35.0,https://pypi.org/project/beanie,36829,27,True,3,
14,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2022-11-04 08:51:39,2022-11-04 08:47:33,653,17.0,232,33,506,3.0,217.0,2332,2022-11-04 08:56:49,10.2.1,7.0,28994,88.0,Ready-to-use and customizable users management for FastAPI.,,,53.0,https://pypi.org/project/fastapi-users,28994,26,True,1,
