,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,new_addition
11,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-02-14 17:59:40,2024-02-12 21:57:23,1315,18.0,76,16,765,69.0,178.0,1525,2023-06-18 17:05:55,0.12.2,,79375.0,77.0,python async orm with fastapi in mind and pydantic validation.,964.0,964.0,35.0,https://pypi.org/project/ormar,79375.0,30,True,2,,
12,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-02-01 15:54:25,2024-01-23 23:03:35,1741,13.0,82,15,435,92.0,244.0,1209,2024-01-23 23:06:33,1.3.0,,18182.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",325.0,325.0,42.0,https://pypi.org/project/piccolo,18182.0,29,True,3,,
13,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2024-02-15 16:36:04,2024-02-15 04:21:14,1879,35.0,455,16,1261,406.0,542.0,569,2023-12-19 23:13:57,0.43b0,,2455649.0,35.0,OpenTelemetry instrumentation for Python modules.,10.0,10.0,231.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,2455649.0,29,True,1,,
14,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2024-02-15 15:49:28,2024-02-10 10:31:23,334,7.0,149,13,375,24.0,163.0,1446,2023-11-14 09:13:13,0.16.0,,53291.0,35.0,SQLAlchemy Admin for FastAPI and Starlette.,592.0,592.0,48.0,https://pypi.org/project/sqladmin,53291.0,28,True,1,-1.0,
15,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-02-05 04:29:24,2023-12-13 01:11:40,534,52.0,84,21,245,65.0,83.0,936,2023-12-13 12:49:48,1.0.0,,20563.0,19.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3199.0,3199.0,16.0,https://pypi.org/project/odmantic,20563.0,28,True,3,,
16,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-02-15 13:11:14,2024-02-11 15:42:34,3049,45.0,482,44,2382,373.0,527.0,3664,2024-02-06 15:23:37,0.219.2,467.0,600.0,100.0,A GraphQL library for Python that leverages type annotations.,,,237.0,https://pypi.org/project/strawberry,542.0,27,True,3,,
17,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2024-02-14 16:55:18,2023-07-21 18:03:39,425,,72,4,192,33.0,54.0,758,2023-07-15 09:42:37,6.1.0,,570198.0,11.0,Instrument your FastAPI with Prometheus metrics.,1240.0,1240.0,25.0,https://pypi.org/project/prometheus-fastapi-instrumentator,570198.0,27,True,3,1.0,
18,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2024-02-15 09:59:17,2024-02-10 11:12:30,853,70.0,67,15,488,170.0,180.0,1480,2024-01-14 18:40:15,0.12.0,,70268.0,33.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,,,28.0,https://pypi.org/project/prisma,70268.0,26,True,3,,
19,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/Intility/fastapi-azure-auth,https://github.com/Intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2024-02-02 09:01:04,2023-10-30 18:05:32,304,,56,11,99,7.0,74.0,369,2023-10-30 18:06:44,4.3.0,,84141.0,26.0,"Easy and secure implementation of Azure AD for your FastAPI APIs B2C, single- and multi-tenant support.",61.0,61.0,24.0,https://pypi.org/project/fastapi-azure-auth,84141.0,25,True,2,,
20,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,147,50,472,45.0,262.0,2636,,,,21880.0,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2356.0,2356.0,46.0,https://pypi.org/project/gino,21880.0,24,True,3,,
