,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,github_release_downloads
0,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,28.0,1162.0,135.0,1151.0,305.0,1406.0,4310.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,26903.0,26903.0,399.0,https://pypi.org/project/mongoengine,1349180.0,1349180.0,38,True,1,2.0,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-04-07 17:35:37,2025-03-31 08:56:10,642.0,38.0,673.0,137.0,630.0,176.0,163.0,15584.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",24014.0,24014.0,88.0,https://pypi.org/project/sqlmodel,3633442.0,3633442.0,37,True,1,,fastapi/sqlmodel,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,806.0,140.0,571.0,90.0,911.0,8162.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,27176.0,27176.0,211.0,https://pypi.org/project/graphene,13373924.0,13373924.0,37,True,1,,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-03-05 19:42:03,2025-03-05 19:42:02,1857.0,17.0,205.0,86.0,324.0,,,2478.0,2025-01-29 21:14:45,3.7.0,21.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,117552.0,117552.0,57.0,https://pypi.org/project/motor,4147160.0,4147160.0,36,True,2,,,63.0
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-04-07 22:09:31,2025-04-07 22:09:31,1379.0,29.0,416.0,44.0,680.0,470.0,685.0,4960.0,2025-03-03 15:16:15,0.24.2,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9620.0,9620.0,155.0,https://pypi.org/project/tortoise-orm,231375.0,231375.0,35,True,1,,,18.0
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-03-05 08:37:30,2025-03-05 08:37:30,1991.0,100.0,187.0,39.0,686.0,36.0,289.0,2263.0,2025-02-19 15:03:04,0.26.1,50.0,Python library for implementing GraphQL servers using schema-first approach.,1859.0,1859.0,84.0,https://pypi.org/project/ariadne,731602.0,731602.0,35,True,2,,,35.0
6,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-04-10 17:52:57,2025-04-10 15:08:23,6230.0,206.0,1075.0,235.0,2273.0,,,4203.0,2025-04-08 14:24:25,4.12.0,46.0,PyMongo - the Official MongoDB Python driver.,,,222.0,https://pypi.org/project/pymongo,42539445.0,42539470.0,33,True,3,,,1782.0
7,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-04-09 03:22:46,2025-04-09 03:22:39,2488.0,166.0,143.0,13.0,1238.0,12.0,235.0,1316.0,2025-03-30 12:54:36,0.13.0a3,68.0,FastAPI pagination.,3819.0,3819.0,51.0,https://pypi.org/project/fastapi-pagination,1073997.0,1073997.0,32,True,1,,,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769.0,,412.0,48.0,592.0,13.0,268.0,5079.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,4870.0,4870.0,69.0,https://pypi.org/project/fastapi-users,234269.0,234274.0,31,True,1,,,350.0
9,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,12.0,89.0,4.0,217.0,38.0,62.0,1096.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,4499.0,4499.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,3811808.0,3811808.0,31,True,1,,,
