,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-11-12 23:07:42,2025-11-12 23:05:21,17807,199.0,1575,102,1000,195.0,7921.0,11123,2025-10-10 14:39:20,rel_2_0_44,6829.0,235495963.0,100.0,The Database Toolkit for Python.,1155773.0,1155773.0,800.0,https://pypi.org/project/sqlalchemy,235495839.0,47,True,1,38.0,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-11-11 22:02:36,2025-11-11 16:02:58,859,127.0,744,136,789,61.0,284.0,17121,2025-10-08 16:38:41,0.0.27,,7373754.0,26.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",29453.0,29453.0,98.0,https://pypi.org/project/sqlmodel,7373754.0,38,True,1,,fastapi/sqlmodel
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,800,140,572,90.0,912.0,8236,2024-11-09 20:43:58,3.4.3,,24798193.0,63.0,GraphQL framework for Python.,29830.0,29830.0,211.0,https://pypi.org/project/graphene,24798193.0,38,True,1,,
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355,8.0,1167,131,1166,304.0,1411.0,4346,2024-09-19 08:33:36,0.29.1,,1726971.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,27796.0,27796.0,401.0,https://pypi.org/project/mongoengine,1726971.0,37,True,1,-1.0,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-11-11 15:24:07,2025-11-11 15:24:02,1887,13.0,211,84,353,,,2515,2025-05-14 19:00:46,3.7.1,74.0,7032561.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,126881.0,126881.0,59.0,https://pypi.org/project/motor,7032560.0,35,True,2,,
5,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-10-27 04:11:21,2025-10-25 06:56:02,797,28.0,476,51,607,4.0,288.0,5711,2025-10-25 06:53:51,15.0.1,448.0,613736.0,100.0,Ready-to-use and customizable users management for FastAPI.,5439.0,5439.0,74.0,https://pypi.org/project/fastapi-users,613730.0,34,True,1,,
6,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-09-23 12:07:12,2025-09-23 12:07:12,1399,5.0,442,43,715,470.0,727.0,5373,2025-06-05 10:42:46,0.25.1,18.0,410443.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10334.0,10334.0,160.0,https://pypi.org/project/tortoise-orm,410443.0,34,True,2,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-10-13 12:26:33,2025-10-13 12:26:32,2067,57.0,185,39,691,37.0,290.0,2307,2025-04-18 08:27:47,0.26.2,66.0,2076217.0,51.0,Python library for implementing GraphQL servers using schema-first approach.,2002.0,2002.0,85.0,https://pypi.org/project/ariadne,2076217.0,34,True,2,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-11-11 20:56:52,2025-11-11 15:23:32,6470,92.0,1100,229,2610,,,4297,2025-11-11 21:13:24,4.15.4,4228.0,65294074.0,57.0,PyMongo - the Official MongoDB Python driver.,,,231.0,https://pypi.org/project/pymongo,65294020.0,33,True,3,,
9,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-11-10 19:56:18,2025-11-08 17:42:04,578,8.0,259,18,466,92.0,407.0,2490,2025-07-20 07:17:27,2.0.0,,1384537.0,100.0,Asynchronous Python ODM for MongoDB.,4437.0,4437.0,119.0,https://pypi.org/project/beanie,1384537.0,32,True,3,,BeanieODM/beanie
