,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-02-11 22:38:08,2026-02-11 22:38:07,1013.0,154.0,759.0,137.0,887.0,58.0,287.0,17627.0,2026-02-11 15:23:23,0.0.33,32.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",30349.0,30349.0,105.0,https://pypi.org/project/sqlmodel,9897641.0,9897641.0,38,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787.0,,803.0,140.0,575.0,92.0,912.0,8243.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,30370.0,30370.0,211.0,https://pypi.org/project/graphene,27615249.0,27615249.0,37,True,1,,
2,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2026-02-12 15:59:11,2026-02-12 11:46:55,1452.0,53.0,457.0,42.0,775.0,454.0,774.0,5497.0,2026-02-12 12:17:59,1.1.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10431.0,10431.0,167.0,https://pypi.org/project/tortoise-orm,467806.0,467806.0,37,True,1,18.0,1.0
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355.0,,1164.0,132.0,1168.0,306.0,1411.0,4353.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27898.0,27898.0,401.0,https://pypi.org/project/mongoengine,2013928.0,2013928.0,36,True,1,,
4,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2026-02-12 03:32:38,2026-02-12 03:30:37,2893.0,180.0,154.0,13.0,1449.0,5.0,272.0,1619.0,2026-02-08 13:13:30,0.15.10,88.0,FastAPI pagination.,4509.0,4509.0,56.0,https://pypi.org/project/fastapi-pagination,3487290.0,3487290.0,36,True,1,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2026-02-09 12:25:49,2026-02-09 12:25:45,1900.0,13.0,209.0,84.0,367.0,,,2526.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,127656.0,127656.0,60.0,https://pypi.org/project/motor,7680039.0,7680040.0,35,True,2,118.0,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2026-02-12 10:46:30,2026-02-12 10:46:29,2162.0,95.0,187.0,38.0,708.0,37.0,294.0,2316.0,2026-02-03 09:57:23,0.28.0,57.0,Python library for implementing GraphQL servers using schema-first approach.,2022.0,2022.0,87.0,https://pypi.org/project/ariadne,1613740.0,1613741.0,35,True,2,137.0,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2026-02-05 09:35:13,2026-02-05 09:33:33,814.0,17.0,481.0,53.0,615.0,4.0,292.0,5993.0,2026-02-05 09:37:04,15.0.4,100.0,Ready-to-use and customizable users management for FastAPI.,5539.0,5539.0,76.0,https://pypi.org/project/fastapi-users,634959.0,634965.0,34,True,1,484.0,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2026-02-10 01:39:05,2026-02-10 01:39:05,6540.0,69.0,1100.0,230.0,2701.0,,,4334.0,2026-01-07 18:15:35,4.16.0,59.0,PyMongo - the Official MongoDB Python driver.,,,237.0,https://pypi.org/project/pymongo,74937892.0,74937953.0,33,True,3,4888.0,
9,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,,MIT,2020-08-02 06:34:03,2026-02-12 11:14:22,2026-02-12 11:12:36,1496.0,66.0,94.0,16.0,1004.0,57.0,217.0,1799.0,2026-02-08 08:53:19,0.22.0,82.0,python async orm with fastapi in mind and pydantic validation.,1104.0,1104.0,47.0,https://pypi.org/project/ormar,842840.0,842840.0,33,True,2,,
