,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-09-15 21:56:02,2025-09-15 21:55:45,17651,121.0,1557,103,982,208.0,7879.0,10907,2025-08-11 14:25:05,rel_2_0_43,13737.0,215176347.0,100.0,The Database Toolkit for Python.,1149867.0,1149867.0,788.0,https://pypi.org/project/sqlalchemy,215176088.0,46,True,1,37.0,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-09-17 22:20:02,2025-09-17 22:20:02,783,79.0,719,138,728,61.0,281.0,16795,2025-09-17 21:44:13,0.0.25,,5859433.0,24.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",29023.0,29023.0,95.0,https://pypi.org/project/sqlmodel,5859433.0,38,True,1,1.0,fastapi/sqlmodel
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355,11.0,1166,136,1164,303.0,1411.0,4336,2024-09-19 08:33:36,0.29.1,,2502662.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,27749.0,27749.0,401.0,https://pypi.org/project/mongoengine,2502662.0,38,True,1,,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,803,143,572,91.0,911.0,8210,2024-11-09 20:43:58,3.4.3,,23827210.0,63.0,GraphQL framework for Python.,29327.0,29327.0,211.0,https://pypi.org/project/graphene,23827210.0,37,True,1,,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-09-15 20:54:53,2025-09-15 20:54:53,1875,8.0,209,86,341,,,2511,2025-05-14 19:00:46,3.7.1,73.0,8056212.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,126433.0,126433.0,57.0,https://pypi.org/project/motor,8056211.0,35,True,2,,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-08-27 04:27:55,2025-08-27 04:27:01,1398,7.0,435,44,713,466.0,726.0,5291,2025-06-05 10:42:46,0.25.1,18.0,333798.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10284.0,10284.0,160.0,https://pypi.org/project/tortoise-orm,333798.0,34,True,2,,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-09-18 11:38:37,2025-09-18 11:38:36,2021,23.0,185,39,687,38.0,288.0,2293,2025-04-18 08:27:47,0.26.2,57.0,880064.0,51.0,Python library for implementing GraphQL servers using schema-first approach.,1996.0,1996.0,85.0,https://pypi.org/project/ariadne,880064.0,34,True,2,,
7,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-09-15 19:31:24,2025-08-30 10:50:03,575,10.0,256,18,462,89.0,402.0,2440,2025-07-20 07:17:27,2.0.0,,1641781.0,100.0,Asynchronous Python ODM for MongoDB.,4392.0,4392.0,119.0,https://pypi.org/project/beanie,1641781.0,33,True,3,,BeanieODM/beanie
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-09-08 10:42:33,2025-01-04 13:16:19,769,,464,49,602,17.0,270.0,5567,2025-01-04 13:31:56,14.0.1,426.0,529395.0,100.0,Ready-to-use and customizable users management for FastAPI.,5395.0,5395.0,69.0,https://pypi.org/project/fastapi-users,529389.0,32,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-09-17 20:52:01,2025-09-17 20:52:00,6425,108.0,1090,234,2544,,,4277,2025-09-16 16:47:04,4.15.1,5583.0,61712448.0,54.0,PyMongo - the Official MongoDB Python driver.,,,227.0,https://pypi.org/project/pymongo,61712374.0,32,True,3,,
