,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-06-19 16:19:43,2025-06-19 16:19:42,704.0,66.0,695.0,138.0,677.0,176.0,164.0,16182.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28298.0,28298.0,92.0,https://pypi.org/project/sqlmodel,3917969.0,3917969.0,38,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,8.0,1160.0,135.0,1155.0,304.0,1409.0,4322.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27659.0,27659.0,399.0,https://pypi.org/project/mongoengine,1267494.0,1267494.0,37,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,804.0,142.0,571.0,91.0,911.0,8197.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,28949.0,28949.0,211.0,https://pypi.org/project/graphene,19583022.0,19583022.0,36,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-06-02 13:22:10,2025-06-02 13:22:09,1867.0,10.0,205.0,86.0,333.0,,,2495.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,125683.0,125683.0,57.0,https://pypi.org/project/motor,5143077.0,5143078.0,36,True,2,73.0,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-06-19 05:43:09,2025-06-06 14:16:02,1391.0,15.0,425.0,45.0,699.0,454.0,719.0,5141.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10194.0,10194.0,159.0,https://pypi.org/project/tortoise-orm,243680.0,243680.0,35,True,1,18.0,
5,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-06-18 03:22:53,2025-06-18 03:22:47,2542.0,82.0,146.0,13.0,1264.0,10.0,243.0,1370.0,2025-06-07 09:30:27,0.13.2,71.0,FastAPI pagination.,4258.0,4258.0,51.0,https://pypi.org/project/fastapi-pagination,1277346.0,1277346.0,34,True,1,,
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-06-16 18:41:39,2025-06-10 19:47:45,565.0,15.0,249.0,18.0,452.0,91.0,385.0,2344.0,2025-06-10 19:53:01,1.30.0,100.0,Asynchronous Python ODM for MongoDB.,4292.0,4292.0,113.0,https://pypi.org/project/beanie,865614.0,865614.0,33,True,3,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-04-18 07:41:34,2025-04-18 07:38:22,1998.0,7.0,186.0,39.0,686.0,37.0,288.0,2274.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1978.0,1978.0,84.0,https://pypi.org/project/ariadne,707094.0,707094.0,33,True,2,53.0,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-05-14 04:58:51,2025-01-04 13:16:19,769.0,,438.0,49.0,594.0,14.0,268.0,5302.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5318.0,5318.0,68.0,https://pypi.org/project/fastapi-users,334981.0,334986.0,32,True,1,402.0,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-06-18 17:35:24,2025-06-18 17:35:23,6315.0,148.0,1083.0,235.0,2390.0,,,4232.0,2025-06-16 18:44:27,4.13.2,50.0,PyMongo - the Official MongoDB Python driver.,,,224.0,https://pypi.org/project/pymongo,48195553.0,48195586.0,32,True,3,2444.0,
10,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,,95.0,4.0,221.0,40.0,63.0,1156.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,6025.0,6025.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,3774498.0,3774498.0,30,True,1,,1.0
11,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-06-18 22:47:11,2025-06-17 16:16:26,2537.0,103.0,713.0,23.0,2145.0,511.0,862.0,854.0,2025-06-10 08:58:54,0.55b1,59.0,OpenTelemetry instrumentation for Python modules.,,,362.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,16465678.0,16465678.0,30,True,1,,
12,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,,BSD-3-Clause,2021-12-22 10:09:54,2025-05-26 08:30:44,2025-05-26 08:30:44,383.0,5.0,224.0,19.0,457.0,64.0,207.0,2221.0,2024-10-28 13:15:26,0.20.1,41.0,SQLAlchemy Admin for FastAPI and Starlette.,1699.0,1699.0,68.0,https://pypi.org/project/sqladmin,202721.0,202721.0,29,True,1,,
13,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,,MIT,2018-10-27 20:53:26,2025-06-09 22:03:06,2025-06-09 22:03:06,1894.0,26.0,94.0,19.0,547.0,131.0,331.0,1622.0,2025-06-05 22:39:53,1.27.1,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",489.0,489.0,49.0,https://pypi.org/project/piccolo,35442.0,35442.0,29,True,2,,
14,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,,MIT,2020-08-02 06:34:03,2025-06-10 10:22:35,2025-06-10 10:22:28,1421.0,6.0,93.0,17.0,924.0,68.0,201.0,1751.0,2024-12-06 10:47:54,0.20.2,80.0,python async orm with fastapi in mind and pydantic validation.,1096.0,1096.0,42.0,https://pypi.org/project/ormar,29356.0,29356.0,28,True,2,,
15,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,,MIT,2018-12-21 08:56:55,2025-06-19 17:19:11,2025-06-19 16:56:06,3504.0,111.0,566.0,37.0,2709.0,385.0,703.0,4301.0,2025-06-19 16:56:25,0.274.3,100.0,A GraphQL library for Python that leverages type annotations.,,,286.0,https://pypi.org/project/strawberry,680.0,718.0,27,True,3,457.0,
16,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,,MIT,2020-02-21 12:56:20,2025-06-19 03:31:36,2024-06-27 18:02:44,258.0,,90.0,14.0,119.0,41.0,62.0,1523.0,,,,A rate limiter for Starlette and FastAPI.,6857.0,6857.0,26.0,https://pypi.org/project/slowapi,1422445.0,1422445.0,27,True,1,,
17,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406.0,3.0,413.0,40.0,50.0,56.0,72.0,3291.0,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",495.0,495.0,18.0,https://pypi.org/project/fastapi-admin,11217.0,11217.0,26,True,3,,
18,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,,MIT,2021-08-23 16:18:04,2025-06-11 00:46:22,2025-06-11 00:46:22,1343.0,26.0,54.0,16.0,666.0,6.0,57.0,950.0,2025-05-31 14:53:11,1.4.3,45.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,235.0,235.0,20.0,https://pypi.org/project/authx,16593.0,16593.0,26,True,2,,
19,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128.0,,149.0,45.0,475.0,45.0,263.0,2712.0,,,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2494.0,2494.0,45.0,https://pypi.org/project/gino,22467.0,22467.0,25,True,3,,
