,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,projectrank,show,projectrank_placing,trending,github_release_downloads,monthly_downloads
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-08-13 01:32:12,2025-08-05 16:17:36,732.0,44.0,712.0,138.0,702.0,99.0,242.0,16568.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28776.0,28776.0,93.0,https://pypi.org/project/sqlmodel,31,True,1.0,,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-08-13 22:12:17,2025-08-13 22:12:17,4347.0,4.0,1166.0,135.0,1161.0,302.0,1411.0,4334.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27716.0,27716.0,400.0,https://pypi.org/project/mongoengine,31,True,1.0,1.0,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,802.0,143.0,571.0,91.0,911.0,8205.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29212.0,29212.0,211.0,https://pypi.org/project/graphene,29,True,1.0,,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-08-03 04:51:47,2025-08-03 04:51:47,1394.0,12.0,433.0,45.0,708.0,458.0,725.0,5242.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10248.0,10248.0,159.0,https://pypi.org/project/tortoise-orm,29,True,1.0,,18.0,0.0
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-08-04 18:35:30,2025-08-04 18:35:30,1873.0,7.0,207.0,86.0,339.0,,,2506.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,126145.0,126145.0,57.0,https://pypi.org/project/motor,27,True,2.0,-1.0,73.0,1.0
5,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-08-11 19:45:20,2025-07-30 19:01:30,570.0,14.0,256.0,18.0,460.0,87.0,397.0,2401.0,2025-07-20 07:17:27,2.0.0,100.0,Asynchronous Python ODM for MongoDB.,4353.0,4353.0,116.0,https://pypi.org/project/beanie,27,True,2.0,,,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-07-15 11:19:23,2025-07-15 11:19:23,2010.0,12.0,186.0,39.0,686.0,38.0,288.0,2282.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1987.0,1987.0,85.0,https://pypi.org/project/ariadne,27,True,2.0,,56.0,0.0
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,,MIT,2018-12-21 08:56:55,2025-08-11 16:35:09,2025-08-05 22:13:15,3551.0,119.0,571.0,38.0,2747.0,374.0,722.0,4361.0,2025-08-05 22:13:40,0.278.1,100.0,A GraphQL library for Python that leverages type annotations.,,,291.0,https://pypi.org/project/strawberry,26,True,3.0,,447.0,40.0
8,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,,BSD-3-Clause,2021-12-22 10:09:54,2025-07-02 09:41:24,2025-07-02 09:34:57,389.0,11.0,234.0,18.0,464.0,68.0,208.0,2289.0,2025-07-02 09:40:46,0.21.0,42.0,SQLAlchemy Admin for FastAPI and Starlette.,1724.0,1724.0,74.0,https://pypi.org/project/sqladmin,26,True,1.0,,,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-05-14 04:58:51,2025-01-04 13:16:19,769.0,,456.0,49.0,597.0,15.0,269.0,5464.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5371.0,5371.0,68.0,https://pypi.org/project/fastapi-users,25,True,1.0,,422.0,6.0
10,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-08-13 13:46:01,2025-08-13 13:46:01,6374.0,90.0,1086.0,234.0,2468.0,,,4255.0,2025-08-06 19:00:25,4.14.0,51.0,PyMongo - the Official MongoDB Python driver.,,,226.0,https://pypi.org/project/pymongo,25,True,3.0,,4943.0,66.0
11,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,,MIT,2018-10-27 20:53:26,2025-08-09 22:19:32,2025-08-09 22:19:32,1911.0,26.0,93.0,17.0,568.0,67.0,404.0,1667.0,2025-07-29 08:13:24,1.28.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",495.0,495.0,49.0,https://pypi.org/project/piccolo,25,True,2.0,,,
12,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,,MIT,2020-08-02 06:34:03,2025-08-12 11:52:26,2025-06-10 10:22:28,1421.0,1.0,92.0,16.0,925.0,68.0,202.0,1762.0,2024-12-06 10:47:54,0.20.2,80.0,python async orm with fastapi in mind and pydantic validation.,1097.0,1097.0,42.0,https://pypi.org/project/ormar,23,True,2.0,,,
13,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,,100.0,4.0,224.0,40.0,63.0,1205.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,6254.0,6254.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,23,True,1.0,,,
14,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-08-14 00:28:13,2025-08-13 14:14:11,2567.0,75.0,746.0,21.0,2220.0,523.0,876.0,881.0,2025-07-29 15:43:21,0.57b0,62.0,OpenTelemetry instrumentation for Python modules.,,,373.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,23,True,1.0,,,
15,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-08-13 04:11:07,2025-08-13 04:11:00,2579.0,62.0,147.0,13.0,1283.0,10.0,248.0,1416.0,2025-06-25 21:21:56,0.13.3,73.0,FastAPI pagination.,,,53.0,https://pypi.org/project/fastapi-pagination,22,True,1.0,,,
16,FastCRUD,igorbenav/fastcrud,,[],crud,https://github.com/benavlabs/fastcrud,https://github.com/benavlabs/fastcrud,benavlabs/fastcrud,MIT,2024-01-08 04:04:17,2025-06-16 01:51:45,2025-06-16 01:51:45,593.0,12.0,82.0,9.0,138.0,19.0,71.0,1224.0,2025-06-09 00:50:38,0.15.12,32.0,"FastCRUD is a Python package for FastAPI, offering robust async CRUD operations and flexible endpoint creation..",200.0,200.0,19.0,,22,True,1.0,,,
17,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,,MIT,2021-08-23 16:18:04,2025-08-11 22:11:31,2025-08-11 18:50:53,1351.0,23.0,54.0,16.0,671.0,6.0,58.0,972.0,2025-05-31 14:53:11,1.4.3,45.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,238.0,238.0,20.0,https://pypi.org/project/authx,22,True,2.0,,,
18,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,https://github.com/dapr/python-sdk,https://github.com/dapr/python-sdk,,Apache-2.0,2019-06-21 15:51:20,2025-08-12 22:48:21,2025-08-10 09:38:01,481.0,12.0,133.0,25.0,531.0,15.0,270.0,254.0,,,,Dapr SDK for Python.,883.0,883.0,82.0,https://pypi.org/project/dapr-ext-fastapi,22,True,1.0,,,
19,strictdoc,strictdoc-project/strictdoc,strictdoc,,requirement-management-framework,https://github.com/strictdoc-project/strictdoc,https://github.com/strictdoc-project/strictdoc,,,2020-05-14 18:03:48,2025-08-12 06:47:03,2025-08-12 06:47:01,4966.0,388.0,32.0,8.0,1824.0,119.0,447.0,198.0,2025-07-25 22:01:28,0.10.1,68.0,Software for technical documentation and requirements management.,14.0,14.0,30.0,https://pypi.org/project/strictdoc,22,True,1.0,,,
20,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406.0,,421.0,40.0,51.0,57.0,72.0,3383.0,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",498.0,498.0,18.0,https://pypi.org/project/fastapi-admin,21,True,3.0,,,
21,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128.0,,149.0,45.0,475.0,45.0,263.0,2716.0,,,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2494.0,2494.0,45.0,https://pypi.org/project/gino,21,True,3.0,,,
22,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,,MIT,2020-02-21 12:56:20,2025-08-10 12:25:45,2025-08-08 15:15:46,261.0,3.0,93.0,14.0,121.0,40.0,63.0,1567.0,,,,A rate limiter for Starlette and FastAPI.,7225.0,7225.0,26.0,https://pypi.org/project/slowapi,21,True,1.0,,,
23,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,,ISC,2020-05-01 13:59:45,2025-01-23 21:09:34,2025-01-07 22:21:10,560.0,,87.0,19.0,311.0,87.0,90.0,1126.0,2024-04-26 23:28:12,1.0.2,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3577.0,3577.0,19.0,https://pypi.org/project/odmantic,20,True,3.0,,,
24,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,,MIT,2021-08-10 19:46:24,2025-07-25 06:57:45,2025-07-25 06:56:51,359.0,3.0,78.0,11.0,129.0,5.0,115.0,546.0,2025-07-25 06:57:46,5.2.0,34.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",140.0,140.0,33.0,https://pypi.org/project/fastapi-azure-auth,20,True,2.0,,,
