,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-02-27 16:03:32,2025-02-27 16:03:14,17345,106.0,1462,100,890,217.0,7772.0,10080,2025-02-06 20:10:15,rel_2_0_38,53198.0,148070379.0,100.0,The Database Toolkit for Python.,996556.0,996556.0,762.0,https://pypi.org/project/sqlalchemy,148069248.0,45,True,1,,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,,810,141,571,91.0,910.0,8145,2024-11-09 20:43:58,3.4.3,,11311197.0,63.0,GraphQL framework for Python.,26200.0,26200.0,211.0,https://pypi.org/project/graphene,11311197.0,37,True,1,,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,,1162,136,1147,303.0,1406.0,4291,2024-09-19 08:33:36,0.29.1,,1287837.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,26461.0,26461.0,398.0,https://pypi.org/project/mongoengine,1287837.0,37,True,1,,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-02-26 12:18:42,2025-02-26 12:18:42,1372,53.0,405,45,667,471.0,666.0,4864,2025-02-24 11:12:55,0.24.1,18.0,233203.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9307.0,9307.0,154.0,https://pypi.org/project/tortoise-orm,233203.0,36,True,2,,,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-02-27 16:09:24,2025-02-27 16:09:24,1855,17.0,205,87,322,,,2465,2025-01-29 21:14:45,3.7.0,60.0,3368674.0,21.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,113033.0,113033.0,57.0,https://pypi.org/project/motor,3368674.0,36,True,2,1.0,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-02-24 17:26:00,2025-02-24 10:23:21,616,36.0,657,137,613,177.0,162.0,15296,2024-08-31 09:42:46,0.0.22,,3178364.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",21770.0,21770.0,84.0,https://pypi.org/project/sqlmodel,3178364.0,35,True,1,,fastapi/sqlmodel,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-02-26 12:49:52,2025-02-26 12:49:52,1985,112.0,183,40,682,33.0,288.0,2239,2025-02-19 15:03:04,0.26.1,28.0,538378.0,50.0,Python library for implementing GraphQL servers using schema-first approach.,1816.0,1816.0,84.0,https://pypi.org/project/ariadne,538378.0,35,True,2,,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769,3.0,401,47,590,13.0,267.0,4917,2025-01-04 13:31:56,14.0.1,345.0,246594.0,100.0,Ready-to-use and customizable users management for FastAPI.,4563.0,4563.0,69.0,https://pypi.org/project/fastapi-users,246589.0,32,True,1,,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-02-27 16:05:23,2025-02-27 16:05:23,6122,133.0,1077,238,2156,,,4188,2025-02-10 21:14:40,4.11.1,1256.0,38757210.0,43.0,PyMongo - the Official MongoDB Python driver.,,,222.0,https://pypi.org/project/pymongo,38757192.0,32,True,3,,,
9,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-02-27 04:39:54,2025-02-27 04:39:47,2413,190.0,144,14,1201,9.0,233.0,1284,2025-02-02 15:11:19,0.13.0a1,,899018.0,66.0,FastAPI pagination.,3500.0,3500.0,51.0,https://pypi.org/project/fastapi-pagination,899018.0,32,True,1,,,
