,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-01-21 21:38:16,2026-01-21 21:37:03,17919,165.0,1607,103,1023,189.0,7954.0,11415,2026-01-21 18:03:51,rel_2_0_46,7538.0,237903980.0,100.0,The Database Toolkit for Python.,1164595.0,1164595.0,809.0,https://pypi.org/project/sqlalchemy,237903848.0,46,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-01-22 16:34:10,2026-01-22 16:34:09,969,136.0,753,137,852,60.0,285.0,17532,2025-12-28 12:34:35,0.0.31,,7181911.0,30.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",30144.0,30144.0,102.0,https://pypi.org/project/sqlmodel,7181911.0,38,True,1,fastapi/sqlmodel,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,804,140,574,90.0,912.0,8244,2024-11-09 20:43:58,3.4.3,,22782170.0,63.0,GraphQL framework for Python.,30193.0,30193.0,211.0,https://pypi.org/project/graphene,22782170.0,36,True,1,,
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355,,1164,132,1168,305.0,1411.0,4350,2024-09-19 08:33:36,0.29.1,,1506608.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,27874.0,27874.0,401.0,https://pypi.org/project/mongoengine,1506608.0,36,True,1,,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2026-01-14 06:28:04,2026-01-14 06:28:04,1415,16.0,444,42,736,476.0,744.0,5454,2025-12-24 01:14:05,0.25.3,18.0,362264.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10407.0,10407.0,163.0,https://pypi.org/project/tortoise-orm,362264.0,35,True,2,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-01-20 18:12:47,2026-01-20 18:12:43,1895,12.0,208,84,362,,,2522,2025-05-14 19:00:46,3.7.1,74.0,6408575.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,127439.0,127439.0,59.0,https://pypi.org/project/motor,6408574.0,35,True,2,,
6,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-01-22 18:10:38,2026-01-22 18:10:29,2835,161.0,153,13,1416,6.0,264.0,1598,2026-01-11 22:15:26,0.15.6,,2184516.0,84.0,FastAPI pagination.,4478.0,4478.0,54.0,https://pypi.org/project/fastapi-pagination,2184516.0,35,True,1,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-12-25 18:32:17,2025-12-25 18:31:42,810,30.0,482,52,613,6.0,290.0,5946,2025-12-19 09:43:56,15.0.3,473.0,490269.0,100.0,Ready-to-use and customizable users management for FastAPI.,5511.0,5511.0,76.0,https://pypi.org/project/fastapi-users,490263.0,34,True,1,,
8,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-01-20 08:58:20,2026-01-16 13:12:07,2101,34.0,187,38,696,37.0,292.0,2314,2026-01-16 13:28:49,0.27.0,77.0,966823.0,52.0,Python library for implementing GraphQL servers using schema-first approach.,2016.0,2016.0,87.0,https://pypi.org/project/ariadne,966823.0,34,True,2,,1.0
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-01-22 15:17:20,2026-01-22 15:17:15,6524,60.0,1098,230,2679,,,4329,2026-01-07 18:15:35,4.16.0,3929.0,70348420.0,59.0,PyMongo - the Official MongoDB Python driver.,,,237.0,https://pypi.org/project/pymongo,70348371.0,33,True,3,,
