,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-04-30 22:11:23,2025-04-30 15:02:27,670.0,66.0,681.0,136.0,644.0,176.0,164.0,15801.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",25324.0,25324.0,90.0,https://pypi.org/project/sqlmodel,3461923.0,3461923.0,38,True,1,1.0,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,28.0,1160.0,135.0,1152.0,304.0,1408.0,4313.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27165.0,27165.0,399.0,https://pypi.org/project/mongoengine,1248982.0,1248982.0,38,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,805.0,140.0,571.0,90.0,911.0,8171.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,27696.0,27696.0,211.0,https://pypi.org/project/graphene,13814607.0,13814607.0,36,True,1,-1.0,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-04-24 16:38:18,2025-04-14 11:39:29,1380.0,22.0,419.0,45.0,683.0,464.0,698.0,5019.0,2025-04-14 11:41:57,0.25.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9831.0,9831.0,155.0,https://pypi.org/project/tortoise-orm,216027.0,216027.0,35,True,1,,18.0
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-04-29 18:56:32,2025-04-29 18:56:32,1861.0,9.0,204.0,86.0,328.0,,,2491.0,2025-01-29 21:14:45,3.7.0,21.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,119981.0,119981.0,57.0,https://pypi.org/project/motor,3966261.0,3966262.0,35,True,2,-1.0,72.0
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-04-18 07:41:34,2025-04-18 07:38:22,1998.0,80.0,186.0,39.0,686.0,36.0,289.0,2270.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1883.0,1883.0,84.0,https://pypi.org/project/ariadne,627981.0,627981.0,35,True,2,,47.0
6,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-05-01 14:08:48,2025-05-01 14:08:48,6265.0,195.0,1077.0,235.0,2321.0,,,4216.0,2025-04-29 19:21:48,4.12.1,47.0,PyMongo - the Official MongoDB Python driver.,,,222.0,https://pypi.org/project/pymongo,45836406.0,45836434.0,33,True,3,,2019.0
7,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-04-30 17:25:33,2025-04-30 17:25:33,553.0,5.0,244.0,18.0,439.0,92.0,376.0,2310.0,2025-01-06 17:53:05,1.29.0,100.0,Asynchronous Python ODM for MongoDB.,3965.0,3965.0,105.0,https://pypi.org/project/beanie,567645.0,567645.0,32,True,3,,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769.0,,422.0,48.0,592.0,14.0,268.0,5162.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,4994.0,4994.0,68.0,https://pypi.org/project/fastapi-users,264199.0,264204.0,31,True,1,,353.0
9,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-04-30 14:29:13,2025-04-30 14:29:12,2475.0,117.0,674.0,23.0,2057.0,491.0,845.0,828.0,2025-04-28 17:50:44,opentelemetry-instrumentation-google-genai==0.2b0,55.0,OpenTelemetry instrumentation for Python modules.,5.0,5.0,345.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,13581382.0,13581382.0,31,True,1,,
