,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-05-22 15:28:19,2024-05-22 15:28:02,16981,142.0,1319,99,790,214.0,7546.0,8930,2024-05-05 18:04:05,rel_2_0_30,47963.0,114616671.0,100.0,The Database Toolkit for Python.,781125.0,781125.0,713.0,https://pypi.org/project/sqlalchemy,114615606.0,45,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-04-24 15:32:09,2024-03-10 11:56:26,4154,14.0,1152,137,1122,347.0,1346.0,4170,2024-03-07 17:35:36,0.28.2,,1197865.0,44.0,A Python Object-Document-Mapper for working with MongoDB.,24020.0,24020.0,391.0,https://pypi.org/project/mongoengine,1197865.0,39,True,1,,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-05-22 10:54:14,2024-05-10 21:00:41,408,32.0,556,152,386,175.0,155.0,13194,2024-04-30 06:30:05,0.0.18,,1431779.0,17.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",12148.0,12148.0,72.0,https://pypi.org/project/sqlmodel,1431779.0,36,True,1,,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-05-20 00:09:33,2024-05-16 08:17:46,1759,4.0,799,143,551,111.0,877.0,7988,2023-07-26 06:47:55,3.3.0,,7610249.0,59.0,GraphQL framework for Python.,21261.0,21261.0,207.0,https://pypi.org/project/graphene,7610249.0,36,True,1,,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-05-23 15:41:44,2024-05-23 15:41:44,1799,22.0,203,92,276,,,2338,2024-03-26 18:57:20,3.4.0,,1879200.0,14.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,89969.0,89969.0,52.0,https://pypi.org/project/motor,1879200.0,35,True,2,,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-05-23 13:45:37,2024-05-22 13:58:53,1231,37.0,348,45,520,509.0,520.0,4285,2024-04-26 15:58:39,0.20.1,13.0,138266.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",7677.0,7677.0,134.0,https://pypi.org/project/tortoise-orm,138266.0,34,True,2,,
6,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2024-05-23 17:39:17,2024-05-23 09:02:46,2015,130.0,505,19,1459,406.0,646.0,627,2024-03-28 19:31:45,0.45b0,,4932149.0,37.0,OpenTelemetry instrumentation for Python modules.,1480.0,1480.0,254.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,4932149.0,34,True,1,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-04-12 04:44:54,2024-04-09 09:00:03,1833,31.0,177,40,656,32.0,277.0,2152,2024-03-18 10:27:12,0.23.0,,202732.0,43.0,Python library for implementing GraphQL servers using schema-first approach.,1596.0,1596.0,74.0,https://pypi.org/project/ariadne,202732.0,33,True,2,-1.0,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-05-02 14:48:10,2024-05-02 14:46:44,745,11.0,354,43,562,7.0,255.0,4144,2024-03-11 13:30:38,13.0.0,193.0,93622.0,99.0,Ready-to-use and customizable users management for FastAPI.,3272.0,3272.0,65.0,https://pypi.org/project/fastapi-users,93619.0,32,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-05-23 16:52:07,2024-05-21 18:30:43,5645,97.0,1043,240,1640,,,4064,2024-05-07 20:50:20,4.7.2,,29094659.0,34.0,PyMongo - the Official MongoDB Python driver.,,,213.0,https://pypi.org/project/pymongo,29094659.0,32,True,3,,
10,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-05-23 03:22:23,2024-05-23 03:20:43,1889,181.0,120,10,939,16.0,191.0,1049,2024-04-26 18:21:57,0.12.24,,509731.0,55.0,FastAPI pagination.,2318.0,2318.0,42.0,https://pypi.org/project/fastapi-pagination,509731.0,32,True,1,,
