,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-07-26 08:38:10,2023-07-25 23:35:30,16457,216.0,1166,92,654,166.0,7225.0,7548,2023-07-15 13:06:54,rel_2_0_19,45086.0,86205518,100.0,The Database Toolkit for Python.,605675.0,605675.0,640.0,https://pypi.org/project/sqlalchemy,86204538,45,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-05-28 05:24:49,2023-04-18 19:22:32,4081,,1145,139,1100,350.0,1312.0,4034,2023-03-03 10:21:35,0.27.0,,1176259,41.0,A Python Object-Document-Mapper for working with MongoDB.,20948.0,20948.0,386.0,https://pypi.org/project/mongoengine,1176259,38,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-07-26 07:43:40,2023-07-26 07:43:40,1753,11.0,789,146,528,100.0,874.0,7741,2023-07-26 06:47:55,3.3.0,,1701094,59.0,GraphQL framework for Python.,18270.0,18270.0,205.0,https://pypi.org/project/graphene,1701094,37,True,1,1.0
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-07-26 17:29:31,2023-07-26 17:29:30,1734,14.0,185,87,211,,,2185,2023-06-21 21:29:27,3.2.0,,966486,10.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,65655.0,65655.0,43.0,https://pypi.org/project/motor,966486,34,True,2,
4,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-06-27 14:25:22,2023-06-27 14:21:08,1679,85.0,170,39,628,45.0,249.0,2056,2023-06-27 14:25:22,0.20.1,,260471,38.0,Python library for implementing GraphQL servers using schema-first approach.,1299.0,1299.0,69.0,https://pypi.org/project/ariadne,260471,34,True,2,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-07-24 13:59:12,2023-07-24 13:59:09,1182,11.0,318,41,470,435.0,482.0,3704,2023-01-30 02:31:19,0.19.3,12.0,88631,100.0,"Familiar asyncio ORM for python, built with relations in mind.",5996.0,5996.0,121.0,https://pypi.org/project/tortoise-orm,88631,33,True,2,1.0
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-07-17 04:46:50,2023-02-21 11:02:54,236,,431,139,242,177.0,146.0,10262,2022-08-30 17:56:11,0.0.8,,446354,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6653.0,6653.0,53.0,https://pypi.org/project/sqlmodel,446354,32,True,1,1.0
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-07-27 10:17:35,2023-07-26 19:51:50,2872,190.0,424,45,2111,305.0,485.0,3339,2023-07-26 19:52:10,0.196.1,410.0,621,100.0,A GraphQL library for Python that leverages type annotations.,2048.0,2048.0,216.0,https://pypi.org/project/strawberry,539,32,True,3,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-07-27 16:22:51,2023-07-27 16:22:51,5370,121.0,1004,238,1326,,,3891,2023-07-13 14:56:41,4.4.1,,19793383,27.0,PyMongo - the Official MongoDB Python driver.,,,204.0,https://pypi.org/project/pymongo,19793383,31,True,3,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-07-26 11:11:58,2023-07-26 11:10:56,708,22.0,283,34,536,3.0,236.0,2974,2023-07-12 09:13:22,12.1.0,59.0,49865,95.0,Ready-to-use and customizable users management for FastAPI.,1669.0,1669.0,60.0,https://pypi.org/project/fastapi-users,49864,31,True,1,
10,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2023-07-27 03:30:53,2023-07-27 03:30:44,1253,203.0,99,8,608,10.0,127.0,783,2023-07-17 09:32:00,0.12.6,,238806,37.0,FastAPI pagination.,1444.0,1444.0,35.0,https://pypi.org/project/fastapi-pagination,238806,31,True,1,
11,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-07-27 02:17:19,2023-07-27 02:17:12,1246,53.0,68,17,668,60.0,175.0,1392,2023-06-18 17:05:55,0.12.2,,24043,77.0,python async orm with fastapi in mind and pydantic validation.,843.0,843.0,31.0,https://pypi.org/project/ormar,24043,30,True,2,
12,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-07-22 18:08:05,2023-07-22 18:02:13,408,25.0,128,15,238,29.0,242.0,1340,2023-07-01 00:33:15,1.20.0,,84989,97.0,Asynchronous Python ODM for MongoDB.,1307.0,1307.0,49.0,https://pypi.org/project/beanie,84989,30,True,3,
13,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2023-07-23 17:32:43,2023-07-18 20:03:59,1816,44.0,371,17,1112,273.0,493.0,478,2023-07-13 15:06:37,0.40b0,,1055159,32.0,OpenTelemetry instrumentation for Python modules.,8.0,8.0,209.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,1055159,29,True,1,
14,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2023-07-27 09:36:16,2023-07-25 14:41:52,765,17.0,54,16,423,149.0,165.0,1242,2023-07-01 10:01:24,0.9.1,,33473,30.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,352.0,352.0,25.0,https://pypi.org/project/prisma,33473,28,True,3,
15,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-07-26 19:34:29,2023-07-26 18:45:17,1708,38.0,72,14,408,88.0,231.0,1070,2023-07-21 14:07:59,0.119.0,,21430,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",269.0,269.0,41.0,https://pypi.org/project/piccolo,21430,28,True,3,
16,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2023-07-27 09:47:10,2023-07-25 07:35:57,284,31.0,111,11,315,18.0,127.0,1119,2023-06-30 08:04:35,0.13.0,,30717,29.0,SQLAlchemy Admin for FastAPI and Starlette.,270.0,270.0,33.0,https://pypi.org/project/sqladmin,30717,27,True,1,
17,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2023-07-21 18:03:39,2023-07-21 18:03:39,425,13.0,62,4,179,20.0,52.0,585,2023-07-15 09:42:37,6.1.0,,371905,11.0,Instrument your FastAPI with Prometheus metrics.,783.0,783.0,25.0,https://pypi.org/project/prometheus-fastapi-instrumentator,371905,27,True,3,
18,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,145,49,472,45.0,262.0,2584,,,,26365,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2231.0,2231.0,46.0,https://pypi.org/project/gino,26365,24,True,3,
19,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2023-07-27 09:29:42,2023-07-27 09:29:42,379,9.0,264,34,37,32.0,69.0,1984,2021-08-31 03:28:51,1.0.3,,3610,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",168.0,168.0,13.0,https://pypi.org/project/fastapi-admin,3610,24,True,3,
20,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2023-07-27 11:43:53,2023-07-27 11:36:00,460,9.0,50,7,60,6.0,45.0,502,2023-07-27 11:43:53,1.9.1,3.0,16756,19.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,557.0,557.0,14.0,https://pypi.org/project/fastapi-login,16756,24,True,2,
21,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2023-07-25 22:49:46,2023-06-08 11:47:57,235,2.0,59,17,89,25.0,52.0,734,,,,119505,,A rate limiter for Starlette and FastAPI.,1239.0,1239.0,22.0,https://pypi.org/project/slowapi,119505,23,True,1,
22,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/Intility/fastapi-azure-auth,https://github.com/Intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2023-07-17 18:24:50,2023-06-24 11:24:53,273,14.0,50,9,80,4.0,57.0,286,2023-06-24 11:26:07,4.1.3,,41246,23.0,"Easy and secure implementation of Azure AD for your FastAPI APIs B2C, single- and multi-tenant support.",40.0,40.0,20.0,https://pypi.org/project/fastapi-azure-auth,41246,23,True,2,
23,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,MIT,2019-11-03 16:30:26,2023-02-14 21:41:04,2022-09-25 17:19:06,53,,33,12,25,11.0,9.0,521,2020-09-25 16:25:49,0.2.1,,90722,5.0,Adds simple SQLAlchemy support to FastAPI.,1424.0,1424.0,5.0,https://pypi.org/project/fastapi-sqlalchemy,90722,22,True,3,
24,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-07-17 07:41:45,2022-01-20 14:55:31,1149,,40,22,487,10.0,131.0,849,2021-11-15 11:05:03,1.4.1,,2445,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,2445,21,True,3,
25,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2023-07-26 10:03:07,2023-07-26 10:03:00,692,175.0,33,11,435,3.0,24.0,534,2023-06-01 19:18:33,0.9.1,,346,29.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,8.0,8.0,12.0,https://pypi.org/project/authx,346,21,True,2,
26,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,Apache-2.0,2020-11-06 09:27:57,2023-07-27 12:31:22,2023-06-05 08:28:34,51,4.0,37,8,13,10.0,13.0,300,2022-11-16 14:00:58,0.1.5,,21643,6.0,A request rate limiter for fastapi.,453.0,453.0,9.0,https://pypi.org/project/fastapi-limiter,21643,21,True,3,
27,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-07-24 17:24:47,2023-01-03 19:16:25,478,,73,21,212,48.0,80.0,814,2023-01-03 20:08:22,0.9.2,,12920,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,16.0,https://pypi.org/project/odmantic,12920,20,True,3,
28,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,MIT,2020-07-28 17:48:32,2023-05-17 13:14:36,2022-05-12 10:03:14,61,,33,4,39,28.0,18.0,287,2022-01-06 12:47:03,0.4.3,,23817,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",69.0,69.0,6.0,https://pypi.org/project/fastapi-cloudauth,23817,20,True,3,
