,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-07-07 17:35:40,2025-07-05 12:25:43,716.0,74.0,699.0,137.0,685.0,177.0,164.0,16314.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28492.0,28492.0,92.0,https://pypi.org/project/sqlmodel,4227571.0,4227571.0,38,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,803.0,142.0,571.0,91.0,911.0,8203.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29073.0,29073.0,211.0,https://pypi.org/project/graphene,21126531.0,21126531.0,36,True,1,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,,1161.0,135.0,1156.0,304.0,1409.0,4328.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27680.0,27680.0,399.0,https://pypi.org/project/mongoengine,1301563.0,1301563.0,36,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-06-26 14:08:37,2025-06-26 14:08:37,1868.0,11.0,205.0,86.0,335.0,,,2497.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,125848.0,125848.0,57.0,https://pypi.org/project/motor,5607605.0,5607606.0,36,True,1,73.0,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-06-19 05:43:09,2025-06-06 14:16:02,1391.0,12.0,426.0,46.0,700.0,455.0,723.0,5188.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10217.0,10217.0,159.0,https://pypi.org/project/tortoise-orm,259494.0,259494.0,35,True,1,18.0,
5,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-07-08 04:59:39,2025-07-08 04:59:33,2551.0,61.0,148.0,13.0,1271.0,9.0,247.0,1383.0,2025-06-25 21:21:56,0.13.3,72.0,FastAPI pagination.,4286.0,4286.0,53.0,https://pypi.org/project/fastapi-pagination,1378851.0,1378851.0,34,True,1,,
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-07-09 19:33:03,2025-07-02 15:57:11,568.0,17.0,253.0,18.0,454.0,92.0,386.0,2372.0,2025-06-10 19:53:01,1.30.0,100.0,Asynchronous Python ODM for MongoDB.,4311.0,4311.0,115.0,https://pypi.org/project/beanie,858796.0,858796.0,33,True,3,,
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-07-10 11:44:53,2025-07-10 11:32:43,6335.0,103.0,1085.0,234.0,2420.0,,,4242.0,2025-06-16 18:44:27,4.13.2,50.0,PyMongo - the Official MongoDB Python driver.,,,225.0,https://pypi.org/project/pymongo,49132241.0,49132305.0,32,True,3,4730.0,
8,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-04-18 07:41:34,2025-04-18 07:38:22,1998.0,7.0,186.0,39.0,686.0,38.0,288.0,2278.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1982.0,1982.0,84.0,https://pypi.org/project/ariadne,732647.0,732647.0,32,True,2,56.0,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-05-14 04:58:51,2025-01-04 13:16:19,769.0,,447.0,50.0,595.0,14.0,268.0,5370.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5342.0,5342.0,68.0,https://pypi.org/project/fastapi-users,350411.0,350417.0,31,True,1,420.0,
10,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,,BSD-3-Clause,2021-12-22 10:09:54,2025-07-02 09:41:24,2025-07-02 09:34:57,389.0,11.0,228.0,19.0,460.0,65.0,208.0,2249.0,2025-07-02 09:40:46,0.21.0,42.0,SQLAlchemy Admin for FastAPI and Starlette.,1714.0,1714.0,73.0,https://pypi.org/project/sqladmin,219166.0,219166.0,31,True,1,,
11,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,,97.0,4.0,221.0,40.0,63.0,1175.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,6113.0,6113.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,3744436.0,3744436.0,30,True,1,,
12,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-07-10 15:41:37,2025-07-10 15:41:36,2548.0,92.0,725.0,21.0,2172.0,517.0,867.0,862.0,2025-07-08 18:49:42,opentelemetry-instrumentation-google-genai==0.3b0,60.0,OpenTelemetry instrumentation for Python modules.,,,367.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,18970121.0,18970121.0,30,True,1,,
13,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,,MIT,2018-10-27 20:53:26,2025-07-09 22:33:55,2025-07-09 22:33:55,1895.0,23.0,94.0,19.0,550.0,133.0,332.0,1636.0,2025-06-05 22:39:53,1.27.1,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",494.0,494.0,49.0,https://pypi.org/project/piccolo,47427.0,47427.0,29,True,2,,
14,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,,MIT,2020-08-02 06:34:03,2025-06-10 10:22:35,2025-06-10 10:22:28,1421.0,3.0,93.0,17.0,924.0,69.0,201.0,1757.0,2024-12-06 10:47:54,0.20.2,80.0,python async orm with fastapi in mind and pydantic validation.,1097.0,1097.0,42.0,https://pypi.org/project/ormar,34779.0,34779.0,28,True,2,,
15,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,,MIT,2018-12-21 08:56:55,2025-07-07 16:35:02,2025-06-26 22:37:40,3525.0,121.0,566.0,38.0,2728.0,380.0,709.0,4324.0,2025-06-26 22:38:07,0.275.5,100.0,A GraphQL library for Python that leverages type annotations.,,,289.0,https://pypi.org/project/strawberry,698.0,739.0,27,True,3,495.0,
16,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,,MIT,2020-02-21 12:56:20,2025-06-19 03:31:36,2024-06-27 18:02:44,258.0,,91.0,14.0,119.0,41.0,62.0,1538.0,,,,A rate limiter for Starlette and FastAPI.,6994.0,6994.0,26.0,https://pypi.org/project/slowapi,1516293.0,1516293.0,27,True,1,,
17,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,,MIT,2021-08-23 16:18:04,2025-07-08 11:30:53,2025-07-08 11:30:52,1347.0,25.0,54.0,16.0,668.0,6.0,57.0,957.0,2025-05-31 14:53:11,1.4.3,45.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,236.0,236.0,20.0,https://pypi.org/project/authx,13718.0,13718.0,26,True,2,,
18,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,https://github.com/dapr/python-sdk,https://github.com/dapr/python-sdk,,Apache-2.0,2019-06-21 15:51:20,2025-06-24 22:22:10,2025-06-24 22:22:10,476.0,8.0,133.0,25.0,527.0,19.0,262.0,252.0,,,,Dapr SDK for Python.,876.0,876.0,81.0,https://pypi.org/project/dapr-ext-fastapi,62063.0,62063.0,26,True,1,,
