,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-01-22 21:14:05,2025-01-22 21:11:07,17296,91.0,1445,103,876,216.0,7746.0,9940,2025-01-09 22:43:36,rel_2_0_37,51445.0,141765570.0,100.0,The Database Toolkit for Python.,962553.0,962553.0,754.0,https://pypi.org/project/sqlalchemy,141764452.0,45,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,6.0,810,141,570,89.0,910.0,8133,2024-11-09 20:43:58,3.4.3,,9852324.0,63.0,GraphQL framework for Python.,25561.0,25561.0,211.0,https://pypi.org/project/graphene,9852324.0,38,True,1,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,,1159,137,1144,300.0,1405.0,4276,2024-09-19 08:33:36,0.29.1,,993417.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,26155.0,26155.0,398.0,https://pypi.org/project/mongoengine,993417.0,37,True,1,,
3,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-01-20 17:47:02,2025-01-02 21:16:45,604,34.0,645,138,590,177.0,162.0,15061,2024-08-31 09:42:46,0.0.22,,2259157.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",20105.0,20105.0,83.0,https://pypi.org/project/sqlmodel,2259157.0,36,True,1,fastapi/sqlmodel,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-01-23 11:42:30,2025-01-23 11:13:10,1356,61.0,397,46,643,478.0,648.0,4801,2025-01-23 11:42:31,0.24.0,18.0,176998.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9079.0,9079.0,154.0,https://pypi.org/project/tortoise-orm,176998.0,36,True,2,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-01-14 18:47:18,2025-01-14 18:47:17,1845,9.0,204,89,314,,,2454,2025-01-14 19:30:48,3.6.1,48.0,2444525.0,20.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,109631.0,109631.0,55.0,https://pypi.org/project/motor,2444525.0,34,True,2,,
6,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769,19.0,393,47,589,12.0,267.0,4842,2025-01-04 13:31:56,14.0.1,341.0,134723.0,100.0,Ready-to-use and customizable users management for FastAPI.,4402.0,4402.0,69.0,https://pypi.org/project/fastapi-users,134718.0,33,True,1,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-01-08 21:35:25,2024-12-19 11:58:39,1891,40.0,179,40,667,32.0,285.0,2235,2024-12-19 11:56:49,0.24,,487439.0,44.0,Python library for implementing GraphQL servers using schema-first approach.,1789.0,1789.0,78.0,https://pypi.org/project/ariadne,487439.0,33,True,2,,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-01-23 05:06:36,2025-01-23 05:06:29,2346,164.0,140,14,1170,10.0,230.0,1260,2024-12-21 15:37:54,0.12.34,,752071.0,65.0,FastAPI pagination.,3277.0,3277.0,49.0,https://pypi.org/project/fastapi-pagination,752071.0,33,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-01-22 14:48:18,2025-01-22 14:48:17,6039,93.0,1070,239,2068,,,4175,2024-10-02 23:57:07,4.9.2,831.0,37121170.0,41.0,PyMongo - the Official MongoDB Python driver.,,,221.0,https://pypi.org/project/pymongo,37121158.0,32,True,3,,
10,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-01-06 21:49:02,2025-01-06 17:50:45,548,13.0,226,18,413,89.0,365.0,2157,2025-01-06 17:53:05,1.29.0,,243067.0,100.0,Asynchronous Python ODM for MongoDB.,3315.0,3315.0,104.0,https://pypi.org/project/beanie,243067.0,31,True,3,BeanieODM/beanie,
