,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-07-15 09:29:58,2025-07-15 09:29:13,720.0,78.0,699.0,137.0,687.0,177.0,164.0,16357.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28556.0,28556.0,92.0,https://pypi.org/project/sqlmodel,4393744.0,4393744.0,38,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,802.0,142.0,571.0,91.0,911.0,8203.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29112.0,29112.0,211.0,https://pypi.org/project/graphene,21172633.0,21172633.0,36,True,1,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,,1162.0,135.0,1156.0,304.0,1409.0,4329.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27689.0,27689.0,399.0,https://pypi.org/project/mongoengine,1367702.0,1367702.0,36,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-07-15 14:00:32,2025-07-15 14:00:32,1870.0,11.0,205.0,86.0,338.0,,,2503.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,125903.0,125903.0,57.0,https://pypi.org/project/motor,6444633.0,6444634.0,36,True,1,73.0,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-07-15 09:56:37,2025-06-06 14:16:02,1391.0,11.0,429.0,46.0,701.0,454.0,724.0,5196.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10224.0,10224.0,159.0,https://pypi.org/project/tortoise-orm,264993.0,264993.0,35,True,1,18.0,
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-07-15 11:19:23,2025-07-15 11:19:23,2010.0,12.0,185.0,39.0,686.0,38.0,288.0,2279.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1984.0,1984.0,85.0,https://pypi.org/project/ariadne,650153.0,650153.0,34,True,2,56.0,2.0
6,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-07-14 04:18:35,2025-07-14 04:18:27,2553.0,55.0,148.0,13.0,1272.0,9.0,247.0,1389.0,2025-06-25 21:21:56,0.13.3,72.0,FastAPI pagination.,4294.0,4294.0,53.0,https://pypi.org/project/fastapi-pagination,1352181.0,1352181.0,34,True,1,,
7,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-07-14 19:03:16,2025-07-02 15:57:11,568.0,17.0,254.0,18.0,458.0,92.0,388.0,2380.0,2025-06-10 19:53:01,1.30.0,100.0,Asynchronous Python ODM for MongoDB.,4319.0,4319.0,115.0,https://pypi.org/project/beanie,889243.0,889243.0,33,True,3,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-07-17 14:29:11,2025-07-17 14:29:11,6349.0,102.0,1086.0,234.0,2434.0,,,4244.0,2025-06-16 18:44:27,4.13.2,50.0,PyMongo - the Official MongoDB Python driver.,,,225.0,https://pypi.org/project/pymongo,51045601.0,51045665.0,32,True,3,4737.0,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-05-14 04:58:51,2025-01-04 13:16:19,769.0,,452.0,50.0,596.0,14.0,268.0,5386.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5348.0,5348.0,68.0,https://pypi.org/project/fastapi-users,363967.0,363973.0,31,True,1,421.0,
