,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-08-27 18:53:23,2025-08-27 18:53:22,752.0,62.0,712.0,139.0,711.0,64.0,278.0,16663.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28886.0,28886.0,94.0,https://pypi.org/project/sqlmodel,5392066.0,5392066.0,38,True,1,7.0,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-08-13 22:12:17,2025-08-13 22:12:17,4347.0,3.0,1166.0,136.0,1163.0,303.0,1411.0,4334.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27729.0,27729.0,400.0,https://pypi.org/project/mongoengine,1631618.0,1631618.0,37,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,803.0,143.0,571.0,91.0,911.0,8207.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29267.0,29267.0,211.0,https://pypi.org/project/graphene,23060205.0,23060205.0,36,True,1,7.0,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-08-27 04:27:55,2025-08-27 04:27:01,1398.0,12.0,433.0,45.0,711.0,463.0,725.0,5264.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10266.0,10266.0,160.0,https://pypi.org/project/tortoise-orm,300676.0,300676.0,35,True,1,,18.0
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-08-15 18:19:59,2025-08-15 18:19:58,1874.0,8.0,208.0,86.0,340.0,,,2510.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,126253.0,126253.0,57.0,https://pypi.org/project/motor,8337605.0,8337606.0,35,True,2,8.0,73.0
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-07-15 11:19:23,2025-07-15 11:19:23,2010.0,12.0,186.0,39.0,686.0,38.0,288.0,2282.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1993.0,1993.0,85.0,https://pypi.org/project/ariadne,908024.0,908024.0,34,True,2,7.0,57.0
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-08-27 18:06:19,2025-08-27 18:06:18,574.0,18.0,256.0,18.0,461.0,87.0,399.0,2419.0,2025-07-20 07:17:27,2.0.0,100.0,Asynchronous Python ODM for MongoDB.,4368.0,4368.0,118.0,https://pypi.org/project/beanie,1924112.0,1924112.0,33,True,3,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-08-27 14:47:27,2025-01-04 13:16:19,769.0,,455.0,49.0,599.0,16.0,269.0,5506.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5384.0,5384.0,68.0,https://pypi.org/project/fastapi-users,457232.0,457238.0,32,True,1,,423.0
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-08-27 16:24:47,2025-08-27 16:24:47,6399.0,107.0,1088.0,234.0,2506.0,,,4262.0,2025-08-19 18:28:36,4.14.1,52.0,PyMongo - the Official MongoDB Python driver.,,,227.0,https://pypi.org/project/pymongo,58408167.0,58408237.0,32,True,3,,5187.0
9,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,,BSD-3-Clause,2021-12-22 10:09:54,2025-07-02 09:41:24,2025-07-02 09:34:57,389.0,6.0,236.0,18.0,466.0,69.0,208.0,2318.0,2025-07-02 09:40:46,0.21.0,42.0,SQLAlchemy Admin for FastAPI and Starlette.,1731.0,1731.0,74.0,https://pypi.org/project/sqladmin,388597.0,388597.0,30,True,1,,
10,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,,104.0,4.0,227.0,41.0,63.0,1214.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,6320.0,6320.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,5555407.0,5555407.0,30,True,1,,
11,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-08-28 11:09:35,2025-08-28 11:09:34,2579.0,57.0,752.0,22.0,2230.0,530.0,882.0,890.0,2025-07-29 15:43:21,0.57b0,62.0,OpenTelemetry instrumentation for Python modules.,,,377.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,21903589.0,21903589.0,30,True,1,,
