,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,new_addition
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-07-12 18:58:13,2023-07-12 18:57:50,16446,254.0,1159,92,649,162.0,7218.0,7494,2023-07-05 19:00:10,rel_2_0_18,44952.0,80733298,100.0,The Database Toolkit for Python.,598704.0,598704.0,640.0,https://pypi.org/project/sqlalchemy,80732321,45,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-05-28 05:24:49,2023-04-18 19:22:32,4081,2.0,1142,139,1100,349.0,1311.0,4025,2023-03-03 10:21:35,0.27.0,,1186067,41.0,A Python Object-Document-Mapper for working with MongoDB.,20827.0,20827.0,386.0,https://pypi.org/project/mongoengine,1186067,37,True,1,-1.0,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-07-04 15:15:23,2023-06-06 18:45:01,1747,5.0,791,146,527,105.0,871.0,7727,2023-03-13 20:25:52,3.2.2,,1756232,58.0,GraphQL framework for Python.,18138.0,18138.0,202.0,https://pypi.org/project/graphene,1756232,36,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-06-21 21:21:33,2023-06-21 21:21:16,1733,13.0,185,87,210,,,2182,2023-06-21 21:29:27,3.2.0,,912849,10.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,64630.0,64630.0,43.0,https://pypi.org/project/motor,912849,34,True,2,,
4,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-06-27 14:25:22,2023-06-27 14:21:08,1679,112.0,170,39,628,46.0,246.0,2049,2023-06-27 14:25:22,0.20.1,,312711,38.0,Python library for implementing GraphQL servers using schema-first approach.,1289.0,1289.0,69.0,https://pypi.org/project/ariadne,312711,34,True,2,,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-07-10 23:36:13,2023-06-05 08:51:50,1175,16.0,314,42,468,426.0,479.0,3661,2023-01-30 02:31:19,0.19.3,12.0,86933,100.0,"Familiar asyncio ORM for python, built with relations in mind.",5851.0,5851.0,121.0,https://pypi.org/project/tortoise-orm,86933,33,True,2,-1.0,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-07-13 03:07:05,2023-07-11 21:06:51,2844,183.0,415,45,2079,304.0,479.0,3304,2023-07-08 18:19:41,0.194.4,407.0,646,100.0,A GraphQL library for Python that leverages type annotations.,2003.0,2003.0,212.0,https://pypi.org/project/strawberry,565,32,True,3,,
7,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-07-13 08:22:14,2023-02-21 11:02:54,236,,425,138,241,177.0,146.0,10156,2022-08-30 17:56:11,0.0.8,,430963,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6494.0,6494.0,53.0,https://pypi.org/project/sqlmodel,430963,31,True,1,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-07-13 17:27:24,2023-07-12 17:48:33,5345,100.0,1002,238,1301,,,3881,2023-07-13 14:56:41,4.4.1,,19258782,27.0,PyMongo - the Official MongoDB Python driver.,,,203.0,https://pypi.org/project/pymongo,19258782,31,True,3,,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-07-12 09:10:55,2023-07-12 09:06:47,704,25.0,279,34,533,3.0,235.0,2924,2023-07-12 09:13:22,12.1.0,55.0,48446,95.0,Ready-to-use and customizable users management for FastAPI.,1579.0,1579.0,59.0,https://pypi.org/project/fastapi-users,48445,31,True,1,,
