,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,new_addition
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2022-12-08 14:55:21,2022-12-08 00:25:34,15724,296.0,998,95,541,158.0,6797.0,6417,2022-11-12 14:13:24,rel_1_4_44,38983.0,61059344,100.0,The Database Toolkit for Python.,472736.0,472736.0,583.0,https://pypi.org/project/sqlalchemy,61058345,44,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2022-12-02 09:47:37,2022-10-24 20:06:52,3996,9.0,1134,136,1074,358.0,1277.0,3906,2022-07-17 21:55:17,0.24.2,,822932,38.0,A Python Object-Document-Mapper for working with MongoDB.,18300.0,18300.0,379.0,https://pypi.org/project/mongoengine,822932,38,True,1,-1.0,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2022-12-06 14:24:16,2022-12-01 10:06:24,1730,10.0,770,146,509,105.0,861.0,7483,2022-09-08 09:26:24,3.1.1,,1884564,55.0,GraphQL framework for Python.,14431.0,14431.0,193.0,https://pypi.org/project/graphene,1884564,36,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2022-12-08 17:54:08,2022-11-21 19:07:12,1706,11.0,177,90,185,,,2050,2022-10-25 20:56:31,3.1.1,,4340346,8.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,42237.0,42237.0,41.0,https://pypi.org/project/motor,4340346,35,True,2,,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2022-12-01 08:24:37,2022-11-28 08:07:36,1154,19.0,284,41,435,366.0,459.0,3275,2022-07-11 09:39:45,0.19.2,9.0,78140,99.0,"Familiar asyncio ORM for python, built with relations in mind.",3545.0,3545.0,115.0,https://pypi.org/project/tortoise-orm,78140,33,True,2,5.0,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2022-11-23 10:02:57,2022-11-12 06:44:52,226,40.0,376,115,208,161.0,138.0,9026,2022-08-30 17:56:11,0.0.8,,400775,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",2313.0,2313.0,54.0,https://pypi.org/project/sqlmodel,400775,32,True,1,5.0,
6,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2022-12-06 23:29:49,2022-12-06 23:29:48,5183,64.0,978,238,1123,,,3732,2022-11-17 21:50:05,4.3.3,,23510322,24.0,PyMongo - the Python driver for MongoDB.,,,195.0,https://pypi.org/project/pymongo,23510322,31,True,3,,True
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2022-12-08 11:51:16,2022-12-08 11:49:27,2471,182.0,334,43,1719,224.0,375.0,2778,2022-12-08 11:49:44,0.147.0,347.0,398,100.0,A GraphQL library for Python that leverages type annotations.,840.0,840.0,164.0,https://pypi.org/project/strawberry,349,31,True,2,,
8,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2022-12-07 22:08:19,2022-11-23 02:17:53,1141,74.0,59,15,502,43.0,168.0,1175,2022-10-21 17:55:17,0.12.0,,14803,75.0,python async orm with fastapi in mind and pydantic validation.,476.0,476.0,29.0,https://pypi.org/project/ormar,14803,30,True,2,,
9,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2022-12-08 17:34:33,2022-11-30 11:42:46,1527,29.0,153,40,576,31.0,217.0,1903,2022-09-26 13:58:49,0.16.1,,162138,25.0,Python library for implementing GraphQL servers using schema-first approach.,,,62.0,https://pypi.org/project/ariadne,162138,28,True,3,,
