,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-05-04 12:57:15,2023-05-04 12:56:59,16253,314.0,1110,91,613,171.0,7098.0,7174,2023-04-30 21:42:13,rel_2_0_12,41231.0,69865651,100.0,The Database Toolkit for Python.,559567.0,559567.0,621.0,https://pypi.org/project/sqlalchemy,69864714,45,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-04-27 00:59:01,2023-04-18 19:22:32,4081,27.0,1146,136,1099,344.0,1309.0,3990,2023-03-03 10:21:35,0.27.0,,1082647,41.0,A Python Object-Document-Mapper for working with MongoDB.,20082.0,20082.0,385.0,https://pypi.org/project/mongoengine,1082647,39,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-05-04 07:54:37,2023-03-13 20:24:16,1742,6.0,790,143,522,102.0,871.0,7661,2023-03-13 20:25:52,3.2.2,,2025088,58.0,GraphQL framework for Python.,17327.0,17327.0,198.0,https://pypi.org/project/graphene,2025088,36,True,1,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-04-27 11:46:17,2023-04-27 11:46:13,1171,13.0,306,40,459,401.0,474.0,3525,2023-01-30 02:31:19,0.19.3,10.0,83851,100.0,"Familiar asyncio ORM for python, built with relations in mind.",5440.0,5440.0,120.0,https://pypi.org/project/tortoise-orm,83851,34,True,2,
4,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-05-02 00:19:17,2023-05-01 07:10:15,1599,61.0,162,40,616,46.0,238.0,2002,2023-03-28 13:00:46,0.19.1,,137370,36.0,Python library for implementing GraphQL servers using schema-first approach.,1208.0,1208.0,68.0,https://pypi.org/project/ariadne,137370,34,True,2,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-04-12 19:30:06,2023-04-12 19:30:05,1720,9.0,180,88,198,,,2147,2023-04-03 20:26:32,3.1.2,,1249353,9.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,57936.0,57936.0,42.0,https://pypi.org/project/motor,1249353,33,True,2,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-05-04 17:57:22,2023-05-03 10:40:17,2700,152.0,393,44,1957,266.0,446.0,3175,2023-05-03 10:40:40,0.176.3,433.0,558,100.0,A GraphQL library for Python that leverages type annotations.,1767.0,1767.0,198.0,https://pypi.org/project/strawberry,504,32,True,3,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-04-29 11:55:19,2023-04-29 11:54:02,690,27.0,262,33,523,3.0,228.0,2701,2023-04-29 11:58:50,11.0.0,34.0,48754,93.0,Ready-to-use and customizable users management for FastAPI.,1153.0,1153.0,58.0,https://pypi.org/project/fastapi-users,48754,31,True,1,
8,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-04-30 15:48:35,2023-02-21 11:02:54,236,2.0,409,134,232,176.0,146.0,9824,2022-08-30 17:56:11,0.0.8,,373486,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5745.0,5745.0,54.0,https://pypi.org/project/sqlmodel,373486,30,True,1,-1.0
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-05-03 23:14:37,2023-05-03 21:47:24,5254,50.0,992,239,1200,,,3833,2022-11-17 21:50:05,4.3.3,,18850450,25.0,PyMongo - the Official MongoDB Python driver.,,,198.0,https://pypi.org/project/pymongo,18850450,30,True,3,-1.0
10,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2023-05-04 04:13:56,2023-05-04 04:13:48,1068,213.0,90,8,518,6.0,114.0,695,2023-04-18 09:17:03,0.12.2,,207294,33.0,FastAPI pagination.,1208.0,1208.0,30.0,https://pypi.org/project/fastapi-pagination,207294,30,True,1,
11,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-05-04 03:05:02,2023-05-04 03:03:56,1198,38.0,64,17,605,55.0,173.0,1312,2023-01-29 12:21:40,0.12.1,,20107,76.0,python async orm with fastapi in mind and pydantic validation.,746.0,746.0,30.0,https://pypi.org/project/ormar,20107,29,True,2,
12,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2023-05-04 15:42:19,2023-05-03 16:36:25,1773,57.0,343,14,1051,267.0,450.0,443,2023-03-22 16:52:12,0.38b0,,597153,30.0,OpenTelemetry instrumentation for Python modules.,5.0,5.0,196.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,597153,29,True,1,
13,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-05-04 16:44:25,2023-03-31 19:43:43,383,7.0,112,15,219,39.0,203.0,1178,2023-04-12 08:10:30,1.18.0,,50648,92.0,Asynchronous Python ODM for MongoDB.,984.0,984.0,43.0,https://pypi.org/project/beanie,50648,28,True,3,-1.0
14,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2023-05-03 16:13:09,2023-04-30 19:45:34,749,31.0,44,14,403,139.0,156.0,1125,2023-03-05 18:54:43,0.8.2,,14619,28.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,217.0,217.0,21.0,https://pypi.org/project/prisma,14619,28,True,3,
15,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-05-03 22:09:20,2023-05-03 22:09:16,1674,26.0,68,11,386,82.0,214.0,1015,2023-05-03 22:02:39,0.111.0,,11899,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",255.0,255.0,39.0,https://pypi.org/project/piccolo,11899,28,True,3,
16,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2023-05-01 06:00:42,2023-04-19 17:55:19,412,40.0,59,5,174,21.0,50.0,530,2023-03-20 20:07:18,6.0.0,,215098,10.0,Instrument your FastAPI app.,626.0,626.0,24.0,https://pypi.org/project/prometheus-fastapi-instrumentator,215098,27,True,3,
17,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2023-03-27 14:47:53,2023-03-27 14:44:49,451,24.0,48,5,53,6.0,45.0,459,2023-03-27 14:40:30,1.9.0,3.0,14582,18.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,468.0,468.0,12.0,https://pypi.org/project/fastapi-login,14582,25,True,2,
18,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,144,49,472,45.0,262.0,2563,,,,20090,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2127.0,2127.0,46.0,https://pypi.org/project/gino,20090,24,True,3,
19,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2023-04-10 02:17:58,2023-04-10 02:17:56,370,7.0,246,32,34,28.0,67.0,1823,2021-08-31 03:28:51,1.0.3,,3400,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",127.0,127.0,12.0,https://pypi.org/project/fastapi-admin,3400,24,True,1,
20,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/Intility/fastapi-azure-auth,https://github.com/Intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2023-05-04 17:48:44,2023-05-01 14:19:13,261,20.0,45,8,74,4.0,54.0,250,2023-04-04 11:49:37,4.0.0,,19363,19.0,"Easy and secure implementation of Azure AD for your FastAPI APIs B2C, single- and multi-tenant support.",32.0,32.0,18.0,https://pypi.org/project/fastapi-azure-auth,19363,23,True,2,
21,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2023-05-04 00:27:38,2023-05-01 08:48:41,255,25.0,101,9,283,12.0,107.0,924,2023-04-21 07:57:44,0.10.3,,19908,26.0,SQLAlchemy Admin for FastAPI and Starlette.,,,27.0,https://pypi.org/project/sqladmin,19908,22,True,3,
22,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-05-01 07:57:44,2022-01-20 14:55:31,1149,,39,21,479,10.0,131.0,844,2021-11-15 11:05:03,1.4.1,,1671,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,1671,21,True,3,
23,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-04-18 05:29:38,2023-01-03 19:16:25,478,,72,21,211,43.0,80.0,791,2023-01-03 20:08:22,0.9.2,,13149,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,17.0,https://pypi.org/project/odmantic,13149,21,True,3,
24,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,MIT,2019-11-03 16:30:26,2023-02-14 21:41:04,2022-09-25 17:19:06,53,,34,11,25,10.0,9.0,500,2020-09-25 16:25:49,0.2.1,,49045,5.0,Adds simple SQLAlchemy support to FastAPI.,1179.0,1179.0,5.0,https://pypi.org/project/fastapi-sqlalchemy,49045,21,True,3,-1.0
25,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2023-05-03 06:03:48,2023-05-03 06:03:47,521,88.0,31,10,384,,23.0,489,2023-02-17 20:35:58,0.9.0,,364,28.0,Ready to use and Customizable Authentications and Authorisations Management for FastAPI.,6.0,6.0,12.0,https://pypi.org/project/authx,364,21,True,2,
26,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,Apache-2.0,2020-11-06 09:27:57,2023-04-30 13:27:41,2022-11-24 13:13:44,45,,32,7,11,9.0,13.0,251,2022-11-16 14:00:58,0.1.5,,22537,6.0,A request rate limiter for fastapi.,263.0,263.0,6.0,https://pypi.org/project/fastapi-limiter,22537,21,True,1,-1.0
27,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,MIT,2020-07-28 17:48:32,2023-03-14 11:50:30,2022-05-12 10:03:14,61,,31,4,38,26.0,18.0,276,2022-01-06 12:47:03,0.4.3,,22110,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",64.0,64.0,6.0,https://pypi.org/project/fastapi-cloudauth,22110,20,True,3,
28,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,MIT,2019-06-25 19:24:31,2023-04-28 05:06:04,2023-04-26 22:21:54,623,18.0,31,6,174,28.0,85.0,220,2023-04-26 22:26:00,0.48.0,,1688,28.0,A powerful web admin for your database.,,,17.0,https://pypi.org/project/piccolo-admin,1688,20,True,3,
29,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125,,93,39,78,15.0,64.0,1713,2021-11-29 09:20:38,0.3.1,,4097,8.0,An async ORM.,,,18.0,https://pypi.org/project/orm,4097,18,True,3,
30,fastapi-jwt-auth,IndominusByte/fastapi-jwt-auth,fastapi-jwt-auth,['authentication'],restful-api-authentication,https://github.com/IndominusByte/fastapi-jwt-auth,https://github.com/IndominusByte/fastapi-jwt-auth,MIT,2020-07-23 09:40:19,2022-10-30 06:32:55,2020-11-11 05:05:27,123,,87,7,17,44.0,36.0,504,2020-11-06 11:15:11,0.5.0,,35373,5.0,"FastAPI extension that provides JWT Auth support (secure, easy to use, and lightweight).",,,3.0,https://pypi.org/project/fastapi-jwt-auth,35373,17,True,3,
31,fastapi-simple-security,mrtolkien/fastapi_simple_security,fastapi-simple-security,['authentication'],restful-api-authentication,https://github.com/mrtolkien/fastapi_simple_security,https://github.com/mrtolkien/fastapi_simple_security,MIT,2020-08-27 07:16:16,2023-03-24 14:09:26,2022-11-28 05:26:04,66,,29,1,13,1.0,8.0,192,2022-10-19 08:06:27,1.2.0,,606,2.0,"API-key based security utilities for FastAPI, focused on simplicity of use.",,,5.0,https://pypi.org/project/fastapi-simple-security,606,14,True,3,
32,fastapi-security,jacobsvante/fastapi-security,fastapi-security,['authentication'],restful-api-authentication,https://github.com/jacobsvante/fastapi-security,https://github.com/jacobsvante/fastapi-security,MIT,2020-02-07 14:58:15,2022-10-01 23:44:25,2022-05-15 23:48:21,59,,4,2,5,,3.0,112,2022-03-11 11:15:48,0.5.0,17.0,3192,5.0,Implements authentication and authorization as FastAPI dependencies.,36.0,36.0,3.0,https://pypi.org/project/fastapi-security,3192,14,True,3,
33,fastapi-chameleon,mikeckennedy/fastapi-chameleon,fastapi-chameleon,['observability'],restful-api-templating,https://github.com/mikeckennedy/fastapi-chameleon,https://github.com/mikeckennedy/fastapi-chameleon,MIT,2020-10-26 16:11:14,2023-02-11 22:11:31,2023-02-11 22:11:27,56,5.0,23,9,12,1.0,12.0,129,,,,281,,Adds integration of the Chameleon template language to FastAPI. #pypackage.,,,7.0,https://pypi.org/project/fastapi-chameleon,281,11,True,1,
34,fastapi-jinja,AGeekInside/fastapi-jinja,fastapi-jinja,['observability'],restful-api-templating,https://github.com/AGeekInside/fastapi-jinja,https://github.com/AGeekInside/fastapi-jinja,MIT,2020-10-26 21:44:13,2023-02-11 22:11:32,2021-03-29 20:16:20,21,,10,2,6,,,60,,,,99,,Adds integration of the Jinja template language to FastAPI.,,,5.0,https://pypi.org/project/fastapi-jinja,99,8,True,3,
35,fastapi-auth,dmontagu/fastapi-auth,fastapi-auth,['authentication'],restful-api-authentication,https://github.com/dmontagu/fastapi-auth,https://github.com/dmontagu/fastapi-auth,MIT,2019-12-18 03:00:54,2023-02-14 21:35:21,2019-12-18 04:11:46,1,,4,5,4,1.0,1.0,113,,,,173,,Auth for use with FastAPI.,,,,https://pypi.org/project/fastapi-auth,173,7,True,3,
36,fastapi-opentracing,wesdu/fastapi-opentracing,fastapi-opentracing,['observability'],restful-api-observability,https://github.com/wesdu/fastapi-opentracing,https://github.com/wesdu/fastapi-opentracing,MIT,2020-09-28 06:56:37,2023-02-06 03:09:19,2022-01-19 03:50:12,30,,8,3,24,5.0,1.0,20,,,,85,,fastapi opentracing middleware works on k8s.,,,5.0,https://pypi.org/project/fastapi-opentracing,85,7,True,3,
