,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-09-28 13:22:34,2023-09-27 21:45:05,16565,164.0,1198,91,677,172.0,7298.0,7794,2023-09-18 21:15:03,rel_2_0_21,45849.0,90786222,100.0,The Database Toolkit for Python.,638810.0,638810.0,653.0,https://pypi.org/project/sqlalchemy,90785267,44,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-09-21 10:51:03,2023-04-18 19:22:32,4081,,1141,139,1103,345.0,1320.0,4055,2023-03-03 10:21:35,0.27.0,,997830,41.0,A Python Object-Document-Mapper for working with MongoDB.,21535.0,21535.0,387.0,https://pypi.org/project/mongoengine,997830,37,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-09-04 23:32:33,2023-08-30 21:41:17,1754,7.0,793,142,537,102.0,874.0,7790,2023-07-26 06:47:55,3.3.0,,1691711,59.0,GraphQL framework for Python.,18814.0,18814.0,206.0,https://pypi.org/project/graphene,1691711,36,True,1,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-09-08 01:39:49,2023-09-05 16:58:54,1745,12.0,190,87,225,,,2216,2023-08-31 20:43:19,3.3.1,,1160432,12.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,70472.0,70472.0,45.0,https://pypi.org/project/motor,1160432,34,True,2,
4,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-09-27 01:48:28,2023-08-01 09:19:41,246,10.0,456,145,254,178.0,147.0,10795,2022-08-30 17:56:11,0.0.8,,538490,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7470.0,7470.0,53.0,https://pypi.org/project/sqlmodel,538490,33,True,1,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-09-27 15:40:52,2023-08-30 02:01:45,1184,9.0,326,41,478,456.0,493.0,3839,2023-08-11 03:42:54,0.20.0,13.0,95158,100.0,"Familiar asyncio ORM for python, built with relations in mind.",6320.0,6320.0,122.0,https://pypi.org/project/tortoise-orm,95158,33,True,2,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-09-28 15:16:59,2023-09-24 13:38:24,2956,141.0,440,43,2211,325.0,497.0,3457,2023-09-24 10:54:06,0.209.2,367.0,495,100.0,A GraphQL library for Python that leverages type annotations.,2243.0,2243.0,222.0,https://pypi.org/project/strawberry,422,32,True,2,
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-09-28 17:48:36,2023-09-28 17:48:36,5419,93.0,1013,238,1376,,,3927,2023-08-22 13:42:54,4.5.0,,22412972,28.0,PyMongo - the Official MongoDB Python driver.,,,205.0,https://pypi.org/project/pymongo,22412972,31,True,3,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-09-24 11:03:36,2023-08-26 08:23:06,716,20.0,304,36,545,3.0,241.0,3438,2023-08-26 08:37:15,12.1.2,83.0,55062,97.0,Ready-to-use and customizable users management for FastAPI.,1995.0,1995.0,62.0,https://pypi.org/project/fastapi-users,55061,31,True,1,
9,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-06-27 14:25:22,2023-06-27 14:21:08,1679,,172,40,628,45.0,251.0,2070,2023-06-27 14:25:22,0.20.1,,278735,38.0,Python library for implementing GraphQL servers using schema-first approach.,1356.0,1356.0,69.0,https://pypi.org/project/ariadne,278735,31,True,3,-1.0
