,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-01-07 18:06:59,2025-01-07 16:25:40,17282,97.0,1444,103,873,221.0,7732.0,9886,2024-10-15 19:41:54,rel_2_0_36,51534.0,141317250.0,100.0,The Database Toolkit for Python.,950688.0,950688.0,751.0,https://pypi.org/project/sqlalchemy,141316130.0,45,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,8.0,811,141,570,89.0,910.0,8128,2024-11-09 20:43:58,3.4.3,,10085869.0,63.0,GraphQL framework for Python.,25286.0,25286.0,211.0,https://pypi.org/project/graphene,10085869.0,38,True,1,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,,1159,137,1145,299.0,1406.0,4273,2024-09-19 08:33:36,0.29.1,,1054380.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,26026.0,26026.0,398.0,https://pypi.org/project/mongoengine,1054380.0,37,True,1,,
3,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-01-06 22:19:48,2025-01-02 21:16:45,604,40.0,642,138,585,177.0,162.0,14964,2024-08-31 09:42:46,0.0.22,,2065349.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",19463.0,19463.0,83.0,https://pypi.org/project/sqlmodel,2065349.0,36,True,1,fastapi/sqlmodel,-1.0
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-01-05 07:57:38,2025-01-05 07:57:38,1348,58.0,397,46,634,476.0,644.0,4771,2024-12-23 22:49:12,0.23.0,18.0,173020.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",8994.0,8994.0,154.0,https://pypi.org/project/tortoise-orm,173020.0,36,True,2,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-01-08 22:40:17,2025-01-08 22:40:17,1840,4.0,202,90,310,,,2450,2024-09-18 23:23:42,3.5.3,44.0,2502403.0,19.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,108347.0,108347.0,54.0,https://pypi.org/project/motor,2502403.0,34,True,2,,1.0
6,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769,20.0,390,47,589,11.0,267.0,4801,2025-01-04 13:31:56,14.0.1,335.0,125409.0,100.0,Ready-to-use and customizable users management for FastAPI.,4346.0,4346.0,69.0,https://pypi.org/project/fastapi-users,125404.0,33,True,1,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-01-08 21:35:25,2024-12-19 11:58:39,1891,40.0,179,40,667,32.0,285.0,2234,2024-12-19 11:56:49,0.24,,499262.0,44.0,Python library for implementing GraphQL servers using schema-first approach.,1775.0,1775.0,78.0,https://pypi.org/project/ariadne,499262.0,33,True,2,,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-01-08 03:16:21,2025-01-08 03:16:14,2315,165.0,140,14,1154,10.0,230.0,1248,2024-12-21 15:37:54,0.12.34,,679817.0,65.0,FastAPI pagination.,3188.0,3188.0,49.0,https://pypi.org/project/fastapi-pagination,679817.0,33,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-01-08 23:07:19,2025-01-08 23:07:18,6021,120.0,1070,239,2048,,,4171,2024-10-02 23:57:07,4.9.2,826.0,39308012.0,41.0,PyMongo - the Official MongoDB Python driver.,,,221.0,https://pypi.org/project/pymongo,39308000.0,32,True,3,,
