,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-04-22 13:01:43,2026-04-22 13:01:26,18024,100.0,1654,105,1062,195.0,8003.0,11789,2026-04-03 16:38:18,rel_2_0_49,6453.0,346620646.0,100.0,The Database Toolkit for Python.,1180410.0,1180410.0,827.0,https://pypi.org/project/sqlalchemy,346620537.0,46,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-04-23 07:50:22,2026-04-23 07:50:21,1182,211.0,800,130,995,57.0,291.0,17863,2026-04-02 21:03:42,0.0.38,,14784017.0,37.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",31222.0,31222.0,112.0,https://pypi.org/project/sqlmodel,14784017.0,40,True,1,fastapi/sqlmodel,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2026-03-10 15:14:11,2025-09-02 20:46:15,4355,,1162,132,1179,306.0,1420.0,4352,2026-03-10 15:14:11,0.29.3,,2237515.0,48.0,A Python Object-Document-Mapper for working with MongoDB.,27964.0,27964.0,402.0,https://pypi.org/project/mongoengine,2237515.0,38,True,1,,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,806,140,577,92.0,912.0,8244,2024-11-09 20:43:58,3.4.3,,34325036.0,63.0,GraphQL framework for Python.,30871.0,30871.0,211.0,https://pypi.org/project/graphene,34325036.0,37,True,1,,
4,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-04-22 10:32:36,2026-04-22 10:32:36,2355,254.0,192,38,744,29.0,306.0,2335,2026-04-03 10:46:34,1.0.1,187.0,3859275.0,63.0,Python library for implementing GraphQL servers using schema-first approach.,2042.0,2042.0,87.0,https://pypi.org/project/ariadne,3859273.0,37,True,1,,
5,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-04-23 03:08:44,2026-04-23 03:08:37,3073,236.0,157,14,1541,5.0,276.0,1646,2026-03-28 12:50:49,0.15.12,,3321980.0,90.0,FastAPI pagination.,4591.0,4591.0,58.0,https://pypi.org/project/fastapi-pagination,3321980.0,37,True,1,,
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2026-04-20 19:29:50,2026-03-29 11:57:21,626,47.0,280,19,525,71.0,439.0,2675,2026-03-27 03:54:07,2.1.0,,2121970.0,100.0,Asynchronous Python ODM for MongoDB.,4581.0,4581.0,130.0,https://pypi.org/project/beanie,2121970.0,34,True,2,BeanieODM/beanie,
7,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-04-13 11:11:55,2026-03-04 23:45:08,1902,7.0,209,83,372,,,2527,2025-05-14 19:00:46,3.7.1,120.0,8290414.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,128400.0,128400.0,60.0,https://pypi.org/project/motor,8290413.0,34,True,2,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-04-21 16:36:48,2026-04-21 16:36:48,6577,52.0,1101,229,2765,,,4341,2026-04-20 16:45:35,4.17.0,4745.0,93320975.0,60.0,PyMongo - the Official MongoDB Python driver.,,,238.0,https://pypi.org/project/pymongo,93320918.0,33,True,3,,
9,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-04-19 16:54:13,2026-04-18 01:24:18,435,31.0,275,15,521,60.0,241.0,2712,2026-04-18 01:25:21,0.25.0,,794763.0,46.0,SQLAlchemy Admin for FastAPI and Starlette.,1850.0,1850.0,94.0,https://pypi.org/project/sqladmin,794763.0,32,True,1,smithyhq/sqladmin,
