,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-08-17 17:05:57,2023-08-17 17:05:40,16503,198.0,1181,92,660,166.0,7254.0,7633,2023-08-15 18:50:48,rel_2_0_20,45611.0,92871066,100.0,The Database Toolkit for Python.,616651.0,616651.0,642.0,https://pypi.org/project/sqlalchemy,92870096,45,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-08-05 03:41:59,2023-04-18 19:22:32,4081,,1144,139,1101,343.0,1319.0,4037,2023-03-03 10:21:35,0.27.0,,1032110,41.0,A Python Object-Document-Mapper for working with MongoDB.,21123.0,21123.0,386.0,https://pypi.org/project/mongoengine,1032110,38,True,1,1.0
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-08-08 12:54:50,2023-07-26 07:43:40,1753,11.0,790,146,530,100.0,874.0,7753,2023-07-26 06:47:55,3.3.0,,1801859,59.0,GraphQL framework for Python.,18453.0,18453.0,205.0,https://pypi.org/project/graphene,1801859,37,True,1,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-08-17 11:55:10,2023-08-11 03:50:16,1183,10.0,318,41,471,439.0,489.0,3755,2023-08-11 03:42:54,0.20.0,13.0,88087,100.0,"Familiar asyncio ORM for python, built with relations in mind.",6105.0,6105.0,121.0,https://pypi.org/project/tortoise-orm,88087,34,True,2,1.0
4,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-06-27 14:25:22,2023-06-27 14:21:08,1679,57.0,172,40,628,44.0,250.0,2058,2023-06-27 14:25:22,0.20.1,,241414,38.0,Python library for implementing GraphQL servers using schema-first approach.,1318.0,1318.0,69.0,https://pypi.org/project/ariadne,241414,34,True,2,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-08-14 22:59:59,2023-08-01 09:19:41,246,10.0,444,142,252,178.0,146.0,10452,2022-08-30 17:56:11,0.0.8,,509159,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6878.0,6878.0,53.0,https://pypi.org/project/sqlmodel,509159,33,True,1,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-08-16 19:03:27,2023-08-15 09:22:02,2923,210.0,433,44,2160,309.0,489.0,3385,2023-08-15 09:22:31,0.204.0,371.0,533,100.0,A GraphQL library for Python that leverages type annotations.,2110.0,2110.0,219.0,https://pypi.org/project/strawberry,459,33,True,3,
7,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-08-17 17:36:12,2023-08-16 20:58:03,1737,9.0,188,87,216,,,2192,2023-06-21 21:29:27,3.2.0,,1099683,10.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,67209.0,67209.0,44.0,https://pypi.org/project/motor,1099683,33,True,2,-1.0
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-08-17 17:36:21,2023-08-15 18:05:24,5397,130.0,1009,238,1353,,,3905,2023-07-13 14:56:41,4.4.1,,21232998,27.0,PyMongo - the Official MongoDB Python driver.,,,204.0,https://pypi.org/project/pymongo,21232998,31,True,3,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-08-16 04:07:44,2023-08-10 07:13:59,712,21.0,292,36,539,3.0,239.0,3201,2023-08-08 09:57:11,12.1.1,72.0,52535,96.0,Ready-to-use and customizable users management for FastAPI.,1771.0,1771.0,61.0,https://pypi.org/project/fastapi-users,52534,31,True,1,
