,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-04-30 15:13:30,2026-04-29 19:56:29,18028,93.0,1654,105,1070,195.0,8007.0,11813,2026-04-03 16:38:18,rel_2_0_49,6664.0,349907286.0,100.0,The Database Toolkit for Python.,1181683.0,1181683.0,828.0,https://pypi.org/project/sqlalchemy,349907174.0,46,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-04-28 22:08:39,2026-04-28 11:16:05,1190,217.0,801,129,1004,57.0,291.0,17879,2026-04-02 21:03:42,0.0.38,,15333447.0,37.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",31319.0,31319.0,112.0,https://pypi.org/project/sqlmodel,15333447.0,40,True,1,fastapi/sqlmodel,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2026-03-10 15:14:11,2025-09-02 20:46:15,4355,,1162,132,1179,306.0,1420.0,4351,2026-03-10 15:14:11,0.29.3,,2258755.0,48.0,A Python Object-Document-Mapper for working with MongoDB.,27969.0,27969.0,402.0,https://pypi.org/project/mongoengine,2258755.0,38,True,1,,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,806,140,577,92.0,912.0,8241,2024-11-09 20:43:58,3.4.3,,34818341.0,63.0,GraphQL framework for Python.,30922.0,30922.0,211.0,https://pypi.org/project/graphene,34818341.0,37,True,1,,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2026-04-30 15:33:58,2026-04-30 15:33:55,1486,65.0,476,41,824,461.0,788.0,5562,2026-03-21 20:03:05,1.1.7,18.0,546327.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10522.0,10522.0,169.0,https://pypi.org/project/tortoise-orm,546327.0,37,True,2,,7.0
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-04-22 10:32:36,2026-04-22 10:32:36,2355,224.0,192,38,744,29.0,306.0,2337,2026-04-03 10:46:34,1.0.1,255.0,3917088.0,63.0,Python library for implementing GraphQL servers using schema-first approach.,2042.0,2042.0,87.0,https://pypi.org/project/ariadne,3917086.0,37,True,1,,
6,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-04-30 04:34:49,2026-04-30 04:34:42,3069,221.0,158,14,1553,5.0,276.0,1646,2026-03-28 12:50:49,0.15.12,,3403881.0,90.0,FastAPI pagination.,4600.0,4600.0,58.0,https://pypi.org/project/fastapi-pagination,3403881.0,37,True,1,,
7,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2026-04-27 20:00:00,2026-03-29 11:57:21,626,47.0,281,19,525,71.0,439.0,2674,2026-03-27 03:54:07,2.1.0,,2123704.0,100.0,Asynchronous Python ODM for MongoDB.,4589.0,4589.0,130.0,https://pypi.org/project/beanie,2123704.0,34,True,2,BeanieODM/beanie,
8,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-04-29 20:14:26,2026-04-27 23:44:47,1903,5.0,210,83,377,,,2526,2025-05-14 19:00:46,3.7.1,128.0,8739130.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,128500.0,128500.0,60.0,https://pypi.org/project/motor,8739129.0,34,True,2,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-04-28 16:39:05,2026-04-27 23:45:36,6581,50.0,1103,228,2783,,,4341,2026-04-20 16:45:35,4.17.0,4779.0,95181555.0,60.0,PyMongo - the Official MongoDB Python driver.,,,238.0,https://pypi.org/project/pymongo,95181497.0,33,True,3,,
