,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-02-21 22:31:23,2023-02-21 16:00:03,16018,358.0,1052,90,578,154.0,6963.0,6824,2023-02-17 16:01:33,rel_2_0_4,40036.0,74827368,100.0,The Database Toolkit for Python.,525469.0,525469.0,603.0,https://pypi.org/project/sqlalchemy,74826392,44,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-02-09 09:30:25,2023-01-28 21:19:21,4051,39.0,1138,137,1089,338.0,1305.0,3951,2023-01-20 22:17:59,0.26.0,,888117,40.0,A Python Object-Document-Mapper for working with MongoDB.,19416.0,19416.0,385.0,https://pypi.org/project/mongoengine,888117,39,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-02-14 19:43:48,2022-12-25 21:59:05,1736,7.0,776,144,516,104.0,868.0,7585,2022-12-11 20:07:51,3.2.1,,1953214,57.0,GraphQL framework for Python.,16603.0,16603.0,196.0,https://pypi.org/project/graphene,1953214,35,True,1,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-02-21 14:28:32,2023-02-12 13:56:56,1159,9.0,296,41,450,385.0,469.0,3397,2023-01-30 02:31:19,0.19.3,9.0,87827,100.0,"Familiar asyncio ORM for python, built with relations in mind.",5058.0,5058.0,118.0,https://pypi.org/project/tortoise-orm,87827,33,True,2,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-02-17 18:03:30,2023-02-17 18:03:30,1713,7.0,177,89,191,,,2116,2022-10-25 20:56:31,3.1.1,,1203579,8.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,51863.0,51863.0,41.0,https://pypi.org/project/motor,1203579,33,True,2,
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-02-22 11:33:08,2023-02-22 11:03:33,1554,30.0,155,40,595,43.0,229.0,1959,2023-02-22 11:33:08,0.18.1,,171554,34.0,Python library for implementing GraphQL servers using schema-first approach.,1137.0,1137.0,62.0,https://pypi.org/project/ariadne,171554,33,True,2,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-02-21 23:04:53,2023-02-21 11:02:54,236,10.0,398,124,227,177.0,145.0,9428,2022-08-30 17:56:11,0.0.8,,346612,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5150.0,5150.0,54.0,https://pypi.org/project/sqlmodel,346612,32,True,1,1.0
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-02-23 17:29:56,2023-02-22 20:52:44,2593,151.0,366,40,1846,247.0,422.0,2971,2023-02-22 20:53:02,0.159.0,424.0,468,100.0,A GraphQL library for Python that leverages type annotations.,1578.0,1578.0,182.0,https://pypi.org/project/strawberry,408,32,True,3,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-02-14 16:13:38,2023-02-14 16:10:11,668,15.0,242,34,510,2.0,220.0,2498,2023-02-13 16:56:40,10.4.0,19.0,35309,90.0,Ready-to-use and customizable users management for FastAPI.,899.0,899.0,54.0,https://pypi.org/project/fastapi-users,35309,31,True,1,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-02-23 17:37:25,2023-02-17 14:31:57,5216,37.0,980,239,1161,,,3794,2022-11-17 21:50:05,4.3.3,,19546303,25.0,PyMongo - the Official MongoDB Python driver.,,,195.0,https://pypi.org/project/pymongo,19546303,30,True,3,
