,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-01-24 15:42:27,2024-01-24 15:42:11,16791,147.0,1255,91,733,199.0,7439.0,8321,2024-01-03 02:22:06,rel_2_0_25,48191.0,100189657,100.0,The Database Toolkit for Python.,705941.0,705941.0,682.0,https://pypi.org/project/sqlalchemy,100188654,45,True,1,37.0
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-01-20 21:12:55,2024-01-20 21:12:55,4138,48.0,1144,138,1114,338.0,1340.0,4121,2023-03-03 10:21:35,0.27.0,,1098970,41.0,A Python Object-Document-Mapper for working with MongoDB.,22742.0,22742.0,390.0,https://pypi.org/project/mongoengine,1098970,39,True,1,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-01-22 19:04:47,2024-01-09 06:52:30,369,60.0,504,151,320,173.0,153.0,12091,2023-12-04 14:53:29,0.0.14,,536830,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",9347.0,9347.0,71.0,https://pypi.org/project/sqlmodel,536830,37,True,1,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-12-26 10:21:55,2023-10-06 20:15:26,1755,,798,141,541,105.0,877.0,7898,2023-07-26 06:47:55,3.3.0,,2082319,59.0,GraphQL framework for Python.,19810.0,19810.0,207.0,https://pypi.org/project/graphene,2082319,35,True,1,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-01-16 21:23:11,2024-01-16 21:23:10,1765,19.0,201,91,245,,,2275,2023-11-14 21:54:12,3.3.2,,1276780,13.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,80244.0,80244.0,48.0,https://pypi.org/project/motor,1276780,35,True,2,
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-01-23 14:56:12,2024-01-23 14:56:12,1742,53.0,176,39,639,35.0,264.0,2114,2023-11-08 15:28:41,0.21.0,,154215,40.0,Python library for implementing GraphQL servers using schema-first approach.,1489.0,1489.0,71.0,https://pypi.org/project/ariadne,154215,34,True,2,
6,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-01-18 01:44:14,2024-01-18 01:44:13,1193,4.0,338,43,495,487.0,506.0,4082,2023-08-11 03:42:54,0.20.0,13.0,94902,100.0,"Familiar asyncio ORM for python, built with relations in mind.",6990.0,6990.0,126.0,https://pypi.org/project/tortoise-orm,94902,33,True,2,
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-01-25 16:57:58,2024-01-23 14:24:20,5508,60.0,1025,240,1479,,,3989,2023-11-29 15:44:00,4.6.1,,21867357,30.0,PyMongo - the Official MongoDB Python driver.,,,207.0,https://pypi.org/project/pymongo,21867357,31,True,3,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-12-28 08:10:32,2023-12-28 08:09:39,719,3.0,332,39,548,9.0,249.0,3805,2023-08-26 08:37:15,12.1.2,159.0,63596,97.0,Ready-to-use and customizable users management for FastAPI.,2675.0,2675.0,62.0,https://pypi.org/project/fastapi-users,63593,31,True,1,1.0
9,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2024-01-25 12:17:21,2024-01-25 05:28:40,467,30.0,176,18,312,50.0,297.0,1646,2024-01-25 05:53:16,1.25.0,,151646,100.0,Asynchronous Python ODM for MongoDB.,1895.0,1895.0,71.0,https://pypi.org/project/beanie,151646,31,True,3,
