,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-12-12 17:58:11,2024-12-12 17:01:16,17252,103.0,1432,103,867,222.0,7721.0,9786,2024-10-15 19:41:54,rel_2_0_36,51352.0,173058944.0,100.0,The Database Toolkit for Python.,929966.0,929966.0,746.0,https://pypi.org/project/sqlalchemy,173057803.0,45,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,45.0,1159,136,1145,297.0,1406.0,4269,2024-09-19 08:33:36,0.29.1,,1559701.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,25812.0,25812.0,398.0,https://pypi.org/project/mongoengine,1559701.0,40,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,13.0,810,141,569,89.0,908.0,8114,2024-11-09 20:43:58,3.4.3,,12464297.0,63.0,GraphQL framework for Python.,24880.0,24880.0,210.0,https://pypi.org/project/graphene,12464297.0,39,True,1,,
3,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-12-10 11:30:13,2024-12-10 11:30:12,592,46.0,631,138,574,177.0,161.0,14784,2024-08-31 09:42:46,0.0.22,,3015901.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",18431.0,18431.0,81.0,https://pypi.org/project/sqlmodel,3015901.0,37,True,1,fastapi/sqlmodel,6.0
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-12-09 09:41:17,2024-12-09 09:31:35,1326,42.0,390,48,609,487.0,621.0,4716,2024-12-09 09:41:17,0.22.2,18.0,249840.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",8822.0,8822.0,151.0,https://pypi.org/project/tortoise-orm,249840.0,35,True,2,,6.0
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-11-20 17:55:12,2024-11-20 17:55:12,1838,5.0,202,91,308,,,2442,2024-09-18 23:23:42,3.5.3,38.0,3147759.0,19.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,105990.0,105990.0,54.0,https://pypi.org/project/motor,3147759.0,34,True,2,,
6,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-12-02 04:13:22,2024-11-18 11:51:39,766,17.0,387,46,586,11.0,267.0,4738,2024-11-03 13:22:10,14.0.0,327.0,381418.0,100.0,Ready-to-use and customizable users management for FastAPI.,4263.0,4263.0,69.0,https://pypi.org/project/fastapi-users,381413.0,33,True,1,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-11-19 17:04:15,2024-11-19 17:04:15,1873,22.0,178,40,665,32.0,285.0,2228,2024-03-18 10:27:12,0.23.0,,659589.0,43.0,Python library for implementing GraphQL servers using schema-first approach.,1748.0,1748.0,78.0,https://pypi.org/project/ariadne,659589.0,33,True,2,,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-12-10 10:47:45,2024-12-10 10:47:37,2258,171.0,140,13,1127,13.0,225.0,1222,2024-11-16 10:40:50,0.12.32,,828900.0,63.0,FastAPI pagination.,3086.0,3086.0,48.0,https://pypi.org/project/fastapi-pagination,828900.0,33,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-12-09 21:07:40,2024-12-09 21:07:34,6004,165.0,1069,239,2028,,,4171,2024-10-02 23:57:07,4.9.2,562.0,45751137.0,41.0,PyMongo - the Official MongoDB Python driver.,,,221.0,https://pypi.org/project/pymongo,45751129.0,32,True,3,,7.0
