,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-06-11 21:32:31,2025-06-11 21:26:35,698.0,66.0,695.0,138.0,671.0,176.0,164.0,16139.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28228.0,28228.0,92.0,https://pypi.org/project/sqlmodel,3807421.0,3807421.0,38,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,8.0,1162.0,135.0,1155.0,304.0,1409.0,4322.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27650.0,27650.0,399.0,https://pypi.org/project/mongoengine,1263479.0,1263479.0,37,True,1,-1.0,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,804.0,142.0,571.0,91.0,911.0,8193.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,28895.0,28895.0,211.0,https://pypi.org/project/graphene,17856525.0,17856525.0,36,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-06-02 13:22:10,2025-06-02 13:22:09,1867.0,10.0,205.0,86.0,333.0,,,2494.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,125595.0,125595.0,57.0,https://pypi.org/project/motor,5142747.0,5142748.0,36,True,2,,72.0
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-06-10 08:47:55,2025-06-06 14:16:02,1391.0,15.0,425.0,46.0,695.0,453.0,719.0,5125.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10183.0,10183.0,159.0,https://pypi.org/project/tortoise-orm,233391.0,233391.0,35,True,1,,18.0
5,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-06-11 04:16:36,2025-06-11 04:16:28,2536.0,89.0,146.0,13.0,1261.0,10.0,243.0,1364.0,2025-06-07 09:30:27,0.13.2,71.0,FastAPI pagination.,4249.0,4249.0,51.0,https://pypi.org/project/fastapi-pagination,1263392.0,1263392.0,34,True,1,,
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-06-10 19:53:01,2025-06-10 19:47:45,565.0,16.0,247.0,17.0,448.0,90.0,384.0,2337.0,2025-06-10 19:53:01,1.30.0,100.0,Asynchronous Python ODM for MongoDB.,4281.0,4281.0,113.0,https://pypi.org/project/beanie,906929.0,906929.0,33,True,3,1.0,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-04-18 07:41:34,2025-04-18 07:38:22,1998.0,7.0,186.0,39.0,686.0,37.0,288.0,2273.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1976.0,1976.0,84.0,https://pypi.org/project/ariadne,704740.0,704740.0,33,True,2,-1.0,53.0
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-05-14 04:58:51,2025-01-04 13:16:19,769.0,,434.0,49.0,594.0,14.0,268.0,5277.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5315.0,5315.0,68.0,https://pypi.org/project/fastapi-users,326104.0,326109.0,32,True,1,,370.0
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-06-11 23:25:00,2025-06-11 23:24:59,6308.0,148.0,1079.0,236.0,2378.0,,,4229.0,2025-06-11 19:54:16,4.13.1,49.0,PyMongo - the Official MongoDB Python driver.,,,223.0,https://pypi.org/project/pymongo,47905380.0,47905411.0,32,True,3,,2269.0
10,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-06-10 08:58:54,2025-06-04 14:53:03,2530.0,104.0,706.0,23.0,2140.0,509.0,861.0,851.0,2025-06-10 08:58:54,0.55b1,59.0,OpenTelemetry instrumentation for Python modules.,,,361.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,15525746.0,15525746.0,30,True,1,-1.0,
