,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-06-03 18:02:24,2026-05-31 20:12:19,18080,108.0,1677,109,1103,187.0,8035.0,11884,2026-05-24 19:20:11,rel_2_0_50,6786.0,380171399.0,100.0,The Database Toolkit for Python.,1187968.0,1187968.0,843.0,https://pypi.org/project/sqlalchemy,380171288.0,46,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-06-04 07:58:46,2026-06-04 07:53:29,1242,151.0,810,130,1048,1.0,347.0,18005,2026-04-02 21:03:42,0.0.38,,17407464.0,37.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",31765.0,31765.0,112.0,https://pypi.org/project/sqlmodel,17407464.0,39,True,1,fastapi/sqlmodel,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,803,139,578,92.0,911.0,8241,2024-11-09 20:43:58,3.4.3,,36808313.0,63.0,GraphQL framework for Python.,31200.0,31200.0,211.0,https://pypi.org/project/graphene,36808313.0,37,True,1,,
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2026-03-10 15:14:11,2025-09-02 20:46:15,4355,,1161,132,1179,306.0,1420.0,4350,2026-03-10 15:14:11,0.29.3,,2378697.0,48.0,A Python Object-Document-Mapper for working with MongoDB.,28007.0,28007.0,402.0,https://pypi.org/project/mongoengine,2378697.0,37,True,1,,-1.0
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2026-06-04 17:20:19,2026-05-31 15:57:05,1499,32.0,480,43,846,466.0,791.0,5573,2026-03-21 20:03:05,1.1.7,20.0,617878.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10551.0,10551.0,174.0,https://pypi.org/project/tortoise-orm,617878.0,36,True,2,,
5,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-06-04 04:29:15,2026-06-04 04:26:56,3147,186.0,160,13,1593,4.0,278.0,1659,2026-05-30 12:16:02,0.15.14,,3971471.0,92.0,FastAPI pagination.,4647.0,4647.0,61.0,https://pypi.org/project/fastapi-pagination,3971471.0,36,True,1,,-1.0
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-05-30 17:44:26,2026-05-18 13:31:23,2361,144.0,193,38,747,30.0,307.0,2342,2026-04-03 10:46:34,1.0.1,319.0,2015841.0,64.0,Python library for implementing GraphQL servers using schema-first approach. Created with by Mirumee.,2049.0,2049.0,88.0,https://pypi.org/project/ariadne,2015838.0,35,True,2,,
7,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-06-03 14:49:18,2026-06-03 14:49:13,1907,5.0,210,82,383,,,2529,2025-05-14 19:00:46,3.7.1,173.0,10316609.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,128851.0,128851.0,61.0,https://pypi.org/project/motor,10316607.0,34,True,2,,1.0
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2026-05-29 04:05:12,2026-03-27 08:58:32,817,3.0,496,53,622,4.0,292.0,6156,2026-03-27 09:01:35,15.0.5,521.0,2091890.0,100.0,Ready-to-use and customizable users management for FastAPI.,5702.0,5702.0,78.0,https://pypi.org/project/fastapi-users,2091884.0,33,True,1,,
9,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2026-06-04 17:01:58,2026-06-04 17:01:55,3957,153.0,633,40,3131,379.0,799.0,4667,2026-05-19 17:06:20,0.316.0,785.0,701.0,100.0,A GraphQL library for Python that leverages type annotations.,5781.0,5781.0,322.0,https://pypi.org/project/strawberry,630.0,33,True,3,,
10,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-06-04 17:40:26,2026-06-04 17:30:26,6628,79.0,1113,227,2846,,,4343,2026-04-20 16:45:35,4.17.0,5119.0,107211190.0,60.0,PyMongo - the Official MongoDB Python driver.,,,242.0,https://pypi.org/project/pymongo,107211130.0,33,True,3,,
11,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2026-06-01 20:18:00,2026-03-29 11:57:21,626,31.0,292,19,534,69.0,442.0,2677,2026-03-27 03:54:07,2.1.0,,2263181.0,100.0,Asynchronous Python ODM for MongoDB.,4620.0,4620.0,130.0,https://pypi.org/project/beanie,2263181.0,33,True,3,BeanieODM/beanie,
12,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-06-03 13:23:02,2026-06-03 13:20:56,454,41.0,282,13,542,61.0,248.0,2741,2026-05-29 19:39:37,0.27.0,,834820.0,49.0,SQLAlchemy Admin for FastAPI and Starlette.,1868.0,1868.0,98.0,https://pypi.org/project/sqladmin,834820.0,32,True,1,smithyhq/sqladmin,
13,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/ormar-orm/ormar,https://github.com/ormar-orm/ormar,MIT,2020-08-02 06:34:03,2026-06-04 16:51:01,2026-06-03 20:42:11,1646,117.0,95,15,1164,33.0,244.0,1809,2026-05-07 10:54:29,0.25.0,,115702.0,86.0,python async orm with fastapi in mind and pydantic validation.,1108.0,1108.0,55.0,https://pypi.org/project/ormar,115702.0,32,True,2,ormar-orm/ormar,
14,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2026-06-01 17:43:15,2026-05-29 13:01:54,467,13.0,113,5,249,42.0,65.0,1460,2026-05-29 13:07:40,8.0.0,,13915427.0,15.0,Instrument your FastAPI with Prometheus metrics.,8247.0,8247.0,31.0,https://pypi.org/project/prometheus-fastapi-instrumentator,13915427.0,32,True,1,,2.0
