,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-02-18 17:57:28,2025-02-18 17:57:10,17335,96.0,1464,100,889,217.0,7768.0,10045,2025-02-06 20:10:15,rel_2_0_38,51912.0,149374006.0,100.0,The Database Toolkit for Python.,989258.0,989258.0,760.0,https://pypi.org/project/sqlalchemy,149372902.0,45,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,,811,141,571,91.0,910.0,8140,2024-11-09 20:43:58,3.4.3,,11443836.0,63.0,GraphQL framework for Python.,26062.0,26062.0,211.0,https://pypi.org/project/graphene,11443836.0,37,True,1,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,,1162,136,1147,302.0,1406.0,4290,2024-09-19 08:33:36,0.29.1,,1263919.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,26394.0,26394.0,398.0,https://pypi.org/project/mongoengine,1263919.0,37,True,1,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-02-17 10:28:05,2025-02-17 10:28:04,1365,51.0,400,45,659,470.0,662.0,4857,2025-01-23 11:42:31,0.24.0,18.0,239371.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9259.0,9259.0,154.0,https://pypi.org/project/tortoise-orm,239371.0,36,True,2,,
4,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-02-20 15:34:02,2025-02-20 15:34:01,608,28.0,652,138,606,177.0,162.0,15228,2024-08-31 09:42:46,0.0.22,,3127228.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",21420.0,21420.0,84.0,https://pypi.org/project/sqlmodel,3127228.0,35,True,1,fastapi/sqlmodel,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-02-20 01:03:09,2025-02-06 15:23:01,1853,15.0,205,88,321,,,2464,2025-01-29 21:14:45,3.7.0,60.0,3248854.0,21.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,112308.0,112308.0,56.0,https://pypi.org/project/motor,3248854.0,35,True,2,,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-02-19 14:59:05,2025-02-19 14:57:10,1979,106.0,183,40,681,34.0,287.0,2238,2025-02-19 15:03:04,0.26.1,22.0,527702.0,50.0,Python library for implementing GraphQL servers using schema-first approach.,1809.0,1809.0,84.0,https://pypi.org/project/ariadne,527702.0,35,True,2,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769,3.0,400,47,590,13.0,267.0,4902,2025-01-04 13:31:56,14.0.1,344.0,238882.0,100.0,Ready-to-use and customizable users management for FastAPI.,4529.0,4529.0,69.0,https://pypi.org/project/fastapi-users,238877.0,32,True,1,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-02-20 16:54:21,2025-02-20 16:54:20,6112,125.0,1077,238,2149,,,4184,2025-02-10 21:14:40,4.11.1,1241.0,38330774.0,43.0,PyMongo - the Official MongoDB Python driver.,,,222.0,https://pypi.org/project/pymongo,38330756.0,32,True,3,,
9,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-02-20 03:57:47,2025-02-20 03:57:40,2404,188.0,144,14,1197,9.0,233.0,1278,2025-02-02 15:11:19,0.13.0a1,,924190.0,66.0,FastAPI pagination.,3452.0,3452.0,51.0,https://pypi.org/project/fastapi-pagination,924190.0,32,True,1,,-1.0
