,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,projectrank,show,projectrank_placing,trending,github_release_downloads,monthly_downloads
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-08-05 22:03:16,2025-08-05 16:17:36,732.0,46.0,709.0,138.0,698.0,158.0,183.0,16518.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28716.0,28716.0,93.0,https://pypi.org/project/sqlmodel,31,True,1.0,-7.0,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,,1165.0,135.0,1160.0,303.0,1410.0,4334.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27712.0,27712.0,399.0,https://pypi.org/project/mongoengine,30,True,1.0,,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,802.0,143.0,571.0,91.0,911.0,8203.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29184.0,29184.0,211.0,https://pypi.org/project/graphene,29,True,1.0,-7.0,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-08-03 04:51:47,2025-08-03 04:51:47,1394.0,14.0,431.0,46.0,705.0,458.0,725.0,5235.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10244.0,10244.0,159.0,https://pypi.org/project/tortoise-orm,29,True,1.0,,18.0,0.0
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-08-04 18:35:30,2025-08-04 18:35:30,1873.0,12.0,207.0,86.0,339.0,,,2504.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,126095.0,126095.0,57.0,https://pypi.org/project/motor,28,True,2.0,-8.0,73.0,1.0
5,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-08-04 19:36:15,2025-07-30 19:01:30,570.0,14.0,255.0,18.0,460.0,87.0,396.0,2398.0,2025-07-20 07:17:27,2.0.0,100.0,Asynchronous Python ODM for MongoDB.,4347.0,4347.0,115.0,https://pypi.org/project/beanie,27,True,3.0,,,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-07-15 11:19:23,2025-07-15 11:19:23,2010.0,12.0,186.0,39.0,686.0,38.0,288.0,2282.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1987.0,1987.0,85.0,https://pypi.org/project/ariadne,27,True,2.0,-7.0,56.0,0.0
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,,MIT,2018-12-21 08:56:55,2025-08-05 22:13:18,2025-08-05 22:13:15,3551.0,129.0,570.0,38.0,2746.0,374.0,720.0,4353.0,2025-08-05 22:13:40,0.278.1,100.0,A GraphQL library for Python that leverages type annotations.,,,291.0,https://pypi.org/project/strawberry,26,True,3.0,,443.0,40.0
8,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,,BSD-3-Clause,2021-12-22 10:09:54,2025-07-02 09:41:24,2025-07-02 09:34:57,389.0,11.0,232.0,19.0,463.0,67.0,208.0,2278.0,2025-07-02 09:40:46,0.21.0,42.0,SQLAlchemy Admin for FastAPI and Starlette.,1722.0,1722.0,74.0,https://pypi.org/project/sqladmin,26,True,1.0,,,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-05-14 04:58:51,2025-01-04 13:16:19,769.0,,456.0,50.0,597.0,15.0,269.0,5449.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5364.0,5364.0,68.0,https://pypi.org/project/fastapi-users,25,True,1.0,,422.0,6.0
