,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,new_addition
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-07-06 15:02:17,2023-07-06 14:25:53,16424,256.0,1155,92,646,160.0,7208.0,7474,2023-07-05 19:00:10,rel_2_0_18,44418.0,78467620,100.0,The Database Toolkit for Python.,595270.0,595270.0,638.0,https://pypi.org/project/sqlalchemy,78466655,45,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-05-28 05:24:49,2023-04-18 19:22:32,4081,6.0,1141,139,1100,348.0,1311.0,4024,2023-03-03 10:21:35,0.27.0,,1152194,41.0,A Python Object-Document-Mapper for working with MongoDB.,20761.0,20761.0,386.0,https://pypi.org/project/mongoengine,1152194,38,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-07-04 15:15:23,2023-06-06 18:45:01,1747,5.0,793,146,527,104.0,871.0,7718,2023-03-13 20:25:52,3.2.2,,1767431,58.0,GraphQL framework for Python.,18067.0,18067.0,201.0,https://pypi.org/project/graphene,1767431,36,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-06-21 21:21:33,2023-06-21 21:21:16,1733,14.0,183,87,210,,,2180,2023-06-21 21:29:27,3.2.0,,894417,10.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,64095.0,64095.0,43.0,https://pypi.org/project/motor,894417,34,True,2,,
4,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-06-27 14:25:22,2023-06-27 14:21:08,1679,112.0,169,39,628,46.0,246.0,2047,2023-06-27 14:25:22,0.20.1,,318182,38.0,Python library for implementing GraphQL servers using schema-first approach.,1285.0,1285.0,69.0,https://pypi.org/project/ariadne,318182,34,True,2,,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-07-03 03:54:08,2023-06-05 08:51:50,1175,16.0,313,42,467,422.0,479.0,3649,2023-01-30 02:31:19,0.19.3,11.0,84335,100.0,"Familiar asyncio ORM for python, built with relations in mind.",5796.0,5796.0,121.0,https://pypi.org/project/tortoise-orm,84335,33,True,2,-1.0,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-07-06 00:57:18,2023-07-05 21:13:37,2827,169.0,414,45,2067,299.0,478.0,3292,2023-07-05 21:14:08,0.193.1,367.0,679,100.0,A GraphQL library for Python that leverages type annotations.,1981.0,1981.0,210.0,https://pypi.org/project/strawberry,606,32,True,3,,
7,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-06-21 00:17:30,2023-02-21 11:02:54,236,,423,138,238,177.0,146.0,10126,2022-08-30 17:56:11,0.0.8,,417143,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6414.0,6414.0,53.0,https://pypi.org/project/sqlmodel,417143,31,True,1,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-07-06 15:51:41,2023-07-06 15:26:21,5335,98.0,1003,238,1289,,,3869,2023-06-21 18:17:54,4.4.0,,19374370,26.0,PyMongo - the Official MongoDB Python driver.,,,203.0,https://pypi.org/project/pymongo,19374370,31,True,3,,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-07-02 12:46:08,2023-06-27 13:42:56,696,22.0,277,33,529,3.0,234.0,2901,2023-06-27 13:49:24,12.0.0,52.0,47322,94.0,Ready-to-use and customizable users management for FastAPI.,1539.0,1539.0,59.0,https://pypi.org/project/fastapi-users,47321,31,True,1,,
10,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2023-07-05 03:52:37,2023-07-05 03:52:30,1212,216.0,96,8,586,12.0,121.0,758,2023-06-27 09:52:08,0.12.5,,225041,36.0,FastAPI pagination.,1392.0,1392.0,33.0,https://pypi.org/project/fastapi-pagination,225041,31,True,1,,
11,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-07-05 02:44:58,2023-07-05 02:43:48,1235,60.0,65,17,651,59.0,173.0,1368,2023-06-18 17:05:55,0.12.2,,23096,77.0,python async orm with fastapi in mind and pydantic validation.,821.0,821.0,31.0,https://pypi.org/project/ormar,23096,30,True,2,,
12,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-07-05 19:17:13,2023-07-05 19:16:08,404,21.0,119,14,233,31.0,231.0,1285,2023-07-01 00:33:15,1.20.0,,66117,97.0,Asynchronous Python ODM for MongoDB.,1234.0,1234.0,49.0,https://pypi.org/project/beanie,66117,30,True,3,,
13,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2023-07-06 13:30:48,2023-07-03 21:49:20,1810,45.0,366,17,1105,271.0,488.0,474,2023-05-19 20:35:03,0.39b0,,867600,31.0,OpenTelemetry instrumentation for Python modules.,7.0,7.0,207.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,867600,29,True,1,,
14,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2023-07-05 20:08:21,2023-07-01 10:01:30,762,14.0,52,16,418,146.0,163.0,1213,2023-07-01 10:01:24,0.9.1,,23727,30.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,299.0,299.0,24.0,https://pypi.org/project/prisma,23727,28,True,3,,
15,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-07-02 21:18:34,2023-06-28 22:35:11,1697,36.0,71,14,402,87.0,227.0,1053,2023-06-28 22:38:25,0.116.0,,17231,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",266.0,266.0,40.0,https://pypi.org/project/piccolo,17231,28,True,3,,
16,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2023-06-30 08:05:31,2023-06-30 08:04:24,277,33.0,108,11,304,16.0,124.0,1081,2023-06-30 08:04:35,0.13.0,,28203,29.0,SQLAlchemy Admin for FastAPI and Starlette.,247.0,247.0,32.0,https://pypi.org/project/sqladmin,28203,26,True,1,,
17,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2023-07-01 05:57:29,2023-04-19 17:55:19,412,6.0,62,4,179,21.0,51.0,573,2023-03-20 20:07:18,6.0.0,,313033,10.0,Instrument your FastAPI app.,734.0,734.0,24.0,https://pypi.org/project/prometheus-fastapi-instrumentator,313033,26,True,3,,
18,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,146,49,472,45.0,262.0,2577,,,,25028,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2217.0,2217.0,46.0,https://pypi.org/project/gino,25028,24,True,3,,
19,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2023-06-02 13:45:23,2023-06-02 13:45:18,372,9.0,259,34,35,31.0,68.0,1934,2021-08-31 03:28:51,1.0.3,,3612,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",155.0,155.0,12.0,https://pypi.org/project/fastapi-admin,3612,24,True,3,,
20,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2023-07-02 09:33:29,2023-03-27 14:44:49,451,,50,6,58,6.0,45.0,492,2023-03-27 14:40:30,1.9.0,3.0,17390,18.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,538.0,538.0,12.0,https://pypi.org/project/fastapi-login,17390,24,True,2,,
21,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2023-07-05 13:59:56,2023-06-08 11:47:57,235,2.0,58,17,87,25.0,52.0,720,,,,110957,,A rate limiter for Starlette and FastAPI.,1194.0,1194.0,22.0,https://pypi.org/project/slowapi,110957,23,True,1,,True
22,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/Intility/fastapi-azure-auth,https://github.com/Intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2023-06-24 11:26:07,2023-06-24 11:24:53,273,14.0,49,9,78,4.0,57.0,279,2023-06-24 11:26:07,4.1.3,,25322,23.0,"Easy and secure implementation of Azure AD for your FastAPI APIs B2C, single- and multi-tenant support.",39.0,39.0,20.0,https://pypi.org/project/fastapi-azure-auth,25322,23,True,2,,
23,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,MIT,2019-11-03 16:30:26,2023-02-14 21:41:04,2022-09-25 17:19:06,53,,34,12,25,11.0,9.0,517,2020-09-25 16:25:49,0.2.1,,93866,5.0,Adds simple SQLAlchemy support to FastAPI.,1377.0,1377.0,5.0,https://pypi.org/project/fastapi-sqlalchemy,93866,22,True,3,,
24,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-06-26 07:57:01,2022-01-20 14:55:31,1149,,40,22,485,10.0,131.0,848,2021-11-15 11:05:03,1.4.1,,3091,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,3091,21,True,3,,
25,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2023-07-04 22:38:35,2023-07-02 12:33:16,674,169.0,33,11,431,4.0,23.0,520,2023-06-01 19:18:33,0.9.1,,286,29.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,8.0,8.0,12.0,https://pypi.org/project/authx,286,21,True,2,,
