,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-08-23 17:26:29,2023-08-23 15:34:09,16509,192.0,1186,92,664,167.0,7261.0,7659,2023-08-15 18:50:48,rel_2_0_20,45650.0,93002711,100.0,The Database Toolkit for Python.,620623.0,620623.0,644.0,https://pypi.org/project/sqlalchemy,93001740,45,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-08-24 11:38:45,2023-04-18 19:22:32,4081,,1142,139,1101,343.0,1319.0,4042,2023-03-03 10:21:35,0.27.0,,950336,41.0,A Python Object-Document-Mapper for working with MongoDB.,21182.0,21182.0,386.0,https://pypi.org/project/mongoengine,950336,38,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-08-22 18:45:41,2023-07-26 07:43:40,1753,10.0,790,146,531,100.0,874.0,7763,2023-07-26 06:47:55,3.3.0,,1825300,59.0,GraphQL framework for Python.,18514.0,18514.0,205.0,https://pypi.org/project/graphene,1825300,37,True,1,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-08-24 13:36:18,2023-08-11 03:50:16,1183,10.0,322,40,475,445.0,489.0,3769,2023-08-11 03:42:54,0.20.0,13.0,89727,100.0,"Familiar asyncio ORM for python, built with relations in mind.",6142.0,6142.0,121.0,https://pypi.org/project/tortoise-orm,89727,34,True,2,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-08-23 21:16:18,2023-08-23 20:52:07,1739,11.0,188,88,218,,,2194,2023-06-21 21:29:27,3.2.0,,1114224,10.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,67782.0,67782.0,44.0,https://pypi.org/project/motor,1114224,34,True,2,1.0
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-06-27 14:25:22,2023-06-27 14:21:08,1679,57.0,171,40,628,44.0,250.0,2061,2023-06-27 14:25:22,0.20.1,,283027,38.0,Python library for implementing GraphQL servers using schema-first approach.,1325.0,1325.0,69.0,https://pypi.org/project/ariadne,283027,34,True,2,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-08-14 22:59:59,2023-08-01 09:19:41,246,10.0,449,143,252,178.0,146.0,10514,2022-08-30 17:56:11,0.0.8,,521482,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6943.0,6943.0,53.0,https://pypi.org/project/sqlmodel,521482,33,True,1,
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-08-24 13:42:40,2023-08-24 12:01:09,2926,211.0,432,44,2168,309.0,490.0,3401,2023-08-24 12:01:39,0.205.0,366.0,533,100.0,A GraphQL library for Python that leverages type annotations.,2129.0,2129.0,219.0,https://pypi.org/project/strawberry,442,33,True,3,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-08-24 17:44:39,2023-08-23 15:34:07,5403,135.0,1011,239,1359,,,3907,2023-08-22 13:42:54,4.5.0,,21300444,28.0,PyMongo - the Official MongoDB Python driver.,,,205.0,https://pypi.org/project/pymongo,21300444,31,True,3,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-08-23 19:49:01,2023-08-10 07:13:59,712,21.0,296,36,541,3.0,239.0,3230,2023-08-08 09:57:11,12.1.1,75.0,53290,96.0,Ready-to-use and customizable users management for FastAPI.,1816.0,1816.0,61.0,https://pypi.org/project/fastapi-users,53289,31,True,1,
10,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-08-24 06:50:49,2023-08-23 02:11:32,1263,49.0,71,17,690,63.0,175.0,1414,2023-06-18 17:05:55,0.12.2,,45620,77.0,python async orm with fastapi in mind and pydantic validation.,855.0,855.0,32.0,https://pypi.org/project/ormar,45620,31,True,2,1.0
11,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-08-23 20:58:55,2023-08-21 17:42:56,410,15.0,139,15,250,43.0,245.0,1382,2023-08-03 22:06:19,1.21.0,,103747,98.0,Asynchronous Python ODM for MongoDB.,1382.0,1382.0,50.0,https://pypi.org/project/beanie,103747,30,True,3,
12,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2023-08-24 08:23:31,2023-08-24 08:20:26,1313,185.0,102,8,639,7.0,137.0,806,2023-08-24 08:16:55,0.12.9,,264345,40.0,FastAPI pagination.,1509.0,1509.0,37.0,https://pypi.org/project/fastapi-pagination,264345,30,True,1,
13,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2023-08-23 21:34:29,2023-07-31 09:40:37,766,14.0,59,16,427,153.0,166.0,1280,2023-07-01 10:01:24,0.9.1,,42833,30.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,1612.0,1612.0,25.0,https://pypi.org/project/prisma,42833,29,True,3,
14,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-08-23 22:04:08,2023-08-22 13:32:35,1710,29.0,74,14,412,89.0,234.0,1086,2023-07-21 14:07:59,0.119.0,,12860,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",275.0,275.0,41.0,https://pypi.org/project/piccolo,12860,28,True,3,
15,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2023-08-23 22:40:29,2023-08-21 16:42:12,1821,41.0,376,17,1124,283.0,494.0,483,2023-07-13 15:06:37,0.40b0,,1147987,32.0,OpenTelemetry instrumentation for Python modules.,8.0,8.0,212.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,1147987,28,True,1,-1.0
16,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2023-08-23 10:10:16,2023-08-23 10:10:15,294,32.0,116,11,327,17.0,134.0,1169,2023-08-08 09:51:08,0.14.1,,32703,31.0,SQLAlchemy Admin for FastAPI and Starlette.,302.0,302.0,34.0,https://pypi.org/project/sqladmin,32703,27,True,1,
17,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2023-08-01 05:34:58,2023-07-21 18:03:39,425,13.0,63,4,183,21.0,52.0,599,2023-07-15 09:42:37,6.1.0,,366881,11.0,Instrument your FastAPI with Prometheus metrics.,832.0,832.0,25.0,https://pypi.org/project/prometheus-fastapi-instrumentator,366881,27,True,3,
18,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,145,49,472,45.0,262.0,2595,,,,26734,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2246.0,2246.0,46.0,https://pypi.org/project/gino,26734,24,True,3,
19,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2023-07-27 09:29:42,2023-07-27 09:29:42,379,9.0,271,34,37,33.0,70.0,2068,2021-08-31 03:28:51,1.0.3,,3235,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",178.0,178.0,13.0,https://pypi.org/project/fastapi-admin,3235,24,True,3,
20,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2023-08-24 15:14:53,2023-07-27 11:36:00,460,9.0,53,7,63,6.0,45.0,509,2023-07-27 11:43:53,1.9.1,3.0,24280,19.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,589.0,589.0,14.0,https://pypi.org/project/fastapi-login,24280,24,True,2,
21,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/Intility/fastapi-azure-auth,https://github.com/Intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2023-08-04 11:53:20,2023-07-31 19:40:36,278,12.0,50,9,84,5.0,60.0,299,2023-07-31 19:41:07,4.2.1,,51902,25.0,"Easy and secure implementation of Azure AD for your FastAPI APIs B2C, single- and multi-tenant support.",41.0,41.0,21.0,https://pypi.org/project/fastapi-azure-auth,51902,24,True,2,
22,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2023-08-22 12:25:41,2023-06-08 11:47:57,235,2.0,59,17,89,25.0,53.0,754,,,,132097,,A rate limiter for Starlette and FastAPI.,1319.0,1319.0,22.0,https://pypi.org/project/slowapi,132097,23,True,1,
23,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,MIT,2019-11-03 16:30:26,2023-08-17 01:53:56,2022-09-25 17:19:06,53,,34,12,26,11.0,10.0,526,2020-09-25 16:25:49,0.2.1,,81005,5.0,Adds simple SQLAlchemy support to FastAPI.,1472.0,1472.0,5.0,https://pypi.org/project/fastapi-sqlalchemy,81005,23,True,3,
24,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-07-31 07:15:16,2022-01-20 14:55:31,1149,,40,22,488,10.0,131.0,850,2021-11-15 11:05:03,1.4.1,,2345,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,2345,21,True,3,
25,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2023-08-02 17:22:33,2023-08-02 17:22:25,693,92.0,32,13,436,3.0,24.0,553,2023-06-01 19:18:33,0.9.1,,234,29.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,8.0,8.0,12.0,https://pypi.org/project/authx,234,21,True,2,
