,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-04-13 15:43:41,2023-04-12 23:41:19,16185,348.0,1090,91,602,169.0,7066.0,7065,2023-04-05 23:36:49,rel_2_0_9,40897.0,69775426,100.0,The Database Toolkit for Python.,547770.0,547770.0,615.0,https://pypi.org/project/sqlalchemy,69774475,44,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-04-13 17:20:37,2023-03-03 10:15:06,4071,23.0,1144,136,1098,346.0,1307.0,3978,2023-03-03 10:21:35,0.27.0,,1111934,41.0,A Python Object-Document-Mapper for working with MongoDB.,19885.0,19885.0,385.0,https://pypi.org/project/mongoengine,1111934,39,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-04-11 10:14:25,2023-03-13 20:24:16,1742,6.0,782,143,521,102.0,871.0,7645,2023-03-13 20:25:52,3.2.2,,2192477,58.0,GraphQL framework for Python.,17087.0,17087.0,198.0,https://pypi.org/project/graphene,2192477,35,True,1,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-04-12 19:30:06,2023-04-12 19:30:05,1720,9.0,178,88,198,,,2142,2023-04-03 20:26:32,3.1.2,,1345853,9.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,55787.0,55787.0,42.0,https://pypi.org/project/motor,1345853,33,True,2,
4,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-03-30 10:43:41,2023-03-28 12:56:50,1567,35.0,160,40,607,45.0,235.0,1988,2023-03-28 13:00:46,0.19.1,,166230,36.0,Python library for implementing GraphQL servers using schema-first approach.,1169.0,1169.0,65.0,https://pypi.org/project/ariadne,166230,33,True,2,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-04-11 12:52:43,2023-02-12 13:56:56,1159,1.0,301,40,457,397.0,473.0,3485,2023-01-30 02:31:19,0.19.3,10.0,95534,100.0,"Familiar asyncio ORM for python, built with relations in mind.",5331.0,5331.0,118.0,https://pypi.org/project/tortoise-orm,95534,32,True,2,-1.0
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-04-12 19:37:53,2023-04-12 08:17:39,2661,140.0,381,44,1930,266.0,436.0,3113,2023-04-07 14:52:05,0.171.1,441.0,552,100.0,A GraphQL library for Python that leverages type annotations.,1711.0,1711.0,191.0,https://pypi.org/project/strawberry,489,32,True,3,
7,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-04-13 10:00:18,2023-02-21 11:02:54,236,8.0,402,132,231,177.0,145.0,9713,2022-08-30 17:56:11,0.0.8,,360171,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5525.0,5525.0,54.0,https://pypi.org/project/sqlmodel,360171,31,True,1,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-04-13 15:30:55,2023-04-13 15:30:54,5243,52.0,989,238,1187,,,3820,2022-11-17 21:50:05,4.3.3,,19811544,25.0,PyMongo - the Official MongoDB Python driver.,,,197.0,https://pypi.org/project/pymongo,19811544,31,True,3,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-04-10 10:55:11,2023-03-23 17:21:26,674,20.0,256,35,516,6.0,223.0,2634,2023-03-20 14:08:00,10.4.1,29.0,42724,91.0,Ready-to-use and customizable users management for FastAPI.,1043.0,1043.0,55.0,https://pypi.org/project/fastapi-users,42724,31,True,1,
