,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-05-06 22:56:50,2025-05-06 08:11:19,686.0,82.0,684.0,138.0,652.0,176.0,164.0,15877.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",25802.0,25802.0,92.0,https://pypi.org/project/sqlmodel,3374984.0,3374984.0,38,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,28.0,1160.0,135.0,1152.0,304.0,1408.0,4315.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27252.0,27252.0,399.0,https://pypi.org/project/mongoengine,1195145.0,1195145.0,38,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,805.0,140.0,571.0,91.0,911.0,8173.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,27856.0,27856.0,211.0,https://pypi.org/project/graphene,13953791.0,13953791.0,36,True,1,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-04-24 16:38:18,2025-04-14 11:39:29,1380.0,18.0,419.0,45.0,683.0,463.0,700.0,5038.0,2025-04-14 11:41:57,0.25.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9889.0,9889.0,155.0,https://pypi.org/project/tortoise-orm,213916.0,213916.0,35,True,1,18.0,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-04-29 18:56:32,2025-04-29 18:56:32,1861.0,8.0,204.0,86.0,328.0,,,2491.0,2025-01-29 21:14:45,3.7.0,21.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,120796.0,120796.0,57.0,https://pypi.org/project/motor,4704121.0,4704122.0,35,True,2,72.0,
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-04-18 07:41:34,2025-04-18 07:38:22,1998.0,56.0,186.0,39.0,686.0,37.0,289.0,2271.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1892.0,1892.0,84.0,https://pypi.org/project/ariadne,629563.0,629563.0,35,True,2,47.0,
6,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-05-08 03:37:46,2025-05-08 03:37:40,2509.0,122.0,145.0,13.0,1248.0,9.0,242.0,1340.0,2025-04-24 16:51:17,0.13.1,70.0,FastAPI pagination.,4008.0,4008.0,51.0,https://pypi.org/project/fastapi-pagination,1065538.0,1065538.0,34,True,1,,6.0
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-05-06 18:40:12,2025-05-06 18:40:12,6271.0,181.0,1078.0,236.0,2332.0,,,4216.0,2025-04-29 19:21:48,4.12.1,47.0,PyMongo - the Official MongoDB Python driver.,,,222.0,https://pypi.org/project/pymongo,46323691.0,46323719.0,32,True,3,2023.0,-1.0
8,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-05-06 10:20:03,2025-05-06 10:20:03,556.0,8.0,243.0,18.0,440.0,92.0,376.0,2317.0,2025-01-06 17:53:05,1.29.0,100.0,Asynchronous Python ODM for MongoDB.,4023.0,4023.0,106.0,https://pypi.org/project/beanie,682692.0,682692.0,32,True,3,,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769.0,,426.0,48.0,592.0,14.0,268.0,5178.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5044.0,5044.0,68.0,https://pypi.org/project/fastapi-users,262203.0,262208.0,31,True,1,356.0,
10,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-05-07 12:43:04,2025-05-07 12:43:03,2480.0,114.0,676.0,23.0,2069.0,499.0,845.0,831.0,2025-04-28 17:50:44,opentelemetry-instrumentation-google-genai==0.2b0,55.0,OpenTelemetry instrumentation for Python modules.,5.0,5.0,346.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,13337911.0,13337911.0,31,True,1,,
11,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,2.0,92.0,4.0,219.0,39.0,62.0,1122.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,5013.0,5013.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,3724489.0,3724489.0,30,True,3,,
12,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,,MIT,2020-08-02 06:34:03,2025-04-24 16:35:19,2025-04-24 16:35:11,1419.0,4.0,93.0,17.0,921.0,67.0,201.0,1735.0,2024-12-06 10:47:54,0.20.2,80.0,python async orm with fastapi in mind and pydantic validation.,1088.0,1088.0,42.0,https://pypi.org/project/ormar,30118.0,30118.0,29,True,2,,
13,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,,MIT,2018-10-27 20:53:26,2025-05-05 17:17:55,2025-05-05 17:17:53,1879.0,22.0,94.0,18.0,537.0,133.0,323.0,1592.0,2025-04-26 22:14:52,1.25.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",479.0,479.0,48.0,https://pypi.org/project/piccolo,37263.0,37263.0,29,True,2,,
14,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,,MIT,2018-12-21 08:56:55,2025-05-07 18:43:48,2025-05-06 16:13:43,3422.0,69.0,559.0,37.0,2653.0,397.0,679.0,4253.0,2025-05-06 16:11:52,0.266.1,100.0,A GraphQL library for Python that leverages type annotations.,,,280.0,https://pypi.org/project/strawberry,762.0,805.0,27,True,3,559.0,
15,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,,BSD-3-Clause,2021-12-22 10:09:54,2025-02-20 08:02:36,2025-02-20 08:02:36,378.0,2.0,210.0,18.0,451.0,61.0,206.0,2158.0,2024-10-28 13:15:26,0.20.1,41.0,SQLAlchemy Admin for FastAPI and Starlette.,1602.0,1602.0,64.0,https://pypi.org/project/sqladmin,210027.0,210027.0,27,True,1,,
16,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,,MIT,2020-02-21 12:56:20,2025-05-07 13:56:02,2024-06-27 18:02:44,258.0,,87.0,13.0,119.0,40.0,62.0,1464.0,,,,A rate limiter for Starlette and FastAPI.,5774.0,5774.0,26.0,https://pypi.org/project/slowapi,1079290.0,1079290.0,27,True,1,,
17,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406.0,3.0,406.0,40.0,50.0,55.0,72.0,3216.0,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",477.0,477.0,18.0,https://pypi.org/project/fastapi-admin,10201.0,10201.0,26,True,3,,
18,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,,MIT,2021-08-10 19:46:24,2025-04-23 15:08:56,2025-04-23 15:08:48,356.0,11.0,74.0,13.0,125.0,4.0,109.0,526.0,2025-03-18 10:12:14,5.1.1,33.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",127.0,127.0,31.0,https://pypi.org/project/fastapi-azure-auth,146880.0,146880.0,26,True,2,,
