,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-06-25 13:13:14,2026-06-24 20:04:25,18129,132.0,1682,109,1120,183.0,8051.0,11948,2026-06-15 15:41:27,rel_2_0_51,6509.0,389474164.0,100.0,The Database Toolkit for Python.,1191440.0,1191440.0,849.0,https://pypi.org/project/sqlalchemy,389474058.0,46,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-06-25 16:46:48,2026-06-25 13:26:16,1277,152.0,824,129,1070,1.0,347.0,18147,2026-06-25 13:01:25,0.0.39,,18578517.0,38.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",32003.0,32003.0,112.0,https://pypi.org/project/sqlmodel,18578517.0,39,True,1,fastapi/sqlmodel,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2026-06-23 22:16:49,2026-06-23 22:16:49,4371,13.0,1161,132,1183,306.0,1420.0,4349,2026-03-10 15:14:11,0.29.3,,2325146.0,48.0,A Python Object-Document-Mapper for working with MongoDB.,28020.0,28020.0,402.0,https://pypi.org/project/mongoengine,2325146.0,39,True,1,,2.0
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,802,139,578,92.0,911.0,8236,2024-11-09 20:43:58,3.4.3,,36972856.0,63.0,GraphQL framework for Python.,31420.0,31420.0,211.0,https://pypi.org/project/graphene,36972856.0,37,True,1,,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2026-06-23 15:33:16,2026-06-23 15:33:13,1508,33.0,486,43,860,466.0,793.0,5593,2026-03-21 20:03:05,1.1.7,22.0,576360.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10614.0,10614.0,178.0,https://pypi.org/project/tortoise-orm,576360.0,36,True,2,,
5,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-06-25 03:07:09,2026-06-25 03:07:02,3194,189.0,162,13,1625,4.0,278.0,1666,2026-06-16 17:25:28,0.15.15,,3782021.0,93.0,FastAPI pagination.,4671.0,4671.0,61.0,https://pypi.org/project/fastapi-pagination,3782021.0,36,True,1,,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-06-15 11:20:51,2026-06-15 11:20:50,2381,56.0,193,38,750,30.0,307.0,2344,2026-06-15 11:04:06,1.1.0,366.0,1596318.0,65.0,Python library for implementing GraphQL servers using schema-first approach. Created with by Mirumee.,2056.0,2056.0,88.0,https://pypi.org/project/ariadne,1596315.0,35,True,2,,
7,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-06-22 20:22:26,2026-06-22 19:14:11,1910,8.0,210,82,390,,,2530,2025-05-14 19:00:46,3.7.1,173.0,9252833.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,129060.0,129060.0,62.0,https://pypi.org/project/motor,9252831.0,34,True,2,,
8,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2026-06-22 23:10:01,2026-06-21 14:57:39,3984,136.0,635,40,3163,379.0,803.0,4673,2026-06-21 14:57:45,0.319.0,796.0,974.0,100.0,A GraphQL library for Python that leverages type annotations.,5838.0,5838.0,325.0,https://pypi.org/project/strawberry,902.0,33,True,3,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-06-24 21:18:22,2026-06-24 18:29:56,6660,101.0,1115,227,2889,,,4345,2026-04-20 16:45:35,4.17.0,5670.0,111007409.0,60.0,PyMongo - the Official MongoDB Python driver.,,,242.0,https://pypi.org/project/pymongo,111007342.0,33,True,3,,
10,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-06-08 11:17:59,2026-06-08 11:14:58,463,50.0,283,14,552,55.0,255.0,2758,2026-06-08 11:17:34,0.27.2,,852517.0,51.0,SQLAlchemy Admin for FastAPI and Starlette.,1878.0,1878.0,99.0,https://pypi.org/project/sqladmin,852517.0,33,True,1,smithyhq/sqladmin,
11,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2026-06-22 12:37:13,2026-06-22 12:36:40,818,1.0,498,53,626,4.0,292.0,6177,2026-03-27 09:01:35,15.0.5,575.0,1977404.0,100.0,Ready-to-use and customizable users management for FastAPI.,5735.0,5735.0,78.0,https://pypi.org/project/fastapi-users,1977397.0,32,True,1,,
12,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/ormar-orm/ormar,https://github.com/ormar-orm/ormar,MIT,2020-08-02 06:34:03,2026-06-24 02:27:35,2026-06-24 02:27:27,1666,136.0,95,15,1184,32.0,246.0,1806,2026-06-08 16:37:26,0.26.0,,151131.0,87.0,python async orm with fastapi in mind and pydantic validation.,1108.0,1108.0,55.0,https://pypi.org/project/ormar,151131.0,32,True,2,ormar-orm/ormar,
