,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-05-18 17:28:58,2023-05-18 17:28:41,16295,283.0,1122,92,619,167.0,7124.0,7237,2023-05-10 22:30:21,rel_2_0_13,41548.0,71096179,100.0,The Database Toolkit for Python.,568870.0,568870.0,622.0,https://pypi.org/project/sqlalchemy,71095235,45,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-04-27 00:59:01,2023-04-18 19:22:32,4081,27.0,1143,136,1099,344.0,1309.0,3992,2023-03-03 10:21:35,0.27.0,,1033232,41.0,A Python Object-Document-Mapper for working with MongoDB.,20278.0,20278.0,385.0,https://pypi.org/project/mongoengine,1033232,39,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-05-18 16:14:12,2023-03-13 20:24:16,1742,6.0,790,145,523,102.0,871.0,7677,2023-03-13 20:25:52,3.2.2,,1901465,58.0,GraphQL framework for Python.,17503.0,17503.0,198.0,https://pypi.org/project/graphene,1901465,36,True,1,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-05-18 15:46:27,2023-05-16 08:31:42,1173,14.0,308,41,463,403.0,477.0,3545,2023-01-30 02:31:19,0.19.3,10.0,83184,100.0,"Familiar asyncio ORM for python, built with relations in mind.",5522.0,5522.0,121.0,https://pypi.org/project/tortoise-orm,83184,34,True,2,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-05-16 12:28:04,2023-05-16 12:28:04,1728,15.0,180,88,206,,,2153,2023-04-03 20:26:32,3.1.2,,1002499,9.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,59711.0,59711.0,42.0,https://pypi.org/project/motor,1002499,34,True,2,
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-05-17 11:10:25,2023-05-17 11:10:24,1622,80.0,163,39,618,46.0,238.0,2006,2023-03-28 13:00:46,0.19.1,,143267,36.0,Python library for implementing GraphQL servers using schema-first approach.,1223.0,1223.0,68.0,https://pypi.org/project/ariadne,143267,34,True,2,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-05-18 14:44:39,2023-05-17 21:07:30,2709,135.0,398,47,1968,276.0,449.0,3213,2023-05-09 10:02:25,0.177.1,454.0,509,100.0,A GraphQL library for Python that leverages type annotations.,1820.0,1820.0,199.0,https://pypi.org/project/strawberry,445,32,True,3,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-05-10 12:03:54,2023-05-10 12:02:44,691,23.0,268,34,525,3.0,229.0,2760,2023-04-29 11:58:50,11.0.0,38.0,54441,93.0,Ready-to-use and customizable users management for FastAPI.,1276.0,1276.0,58.0,https://pypi.org/project/fastapi-users,54441,31,True,1,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2023-05-18 07:57:58,2023-05-18 07:57:58,1110,229.0,90,8,537,10.0,116.0,706,2023-05-18 07:57:04,0.12.4,,211871,35.0,FastAPI pagination.,1242.0,1242.0,31.0,https://pypi.org/project/fastapi-pagination,211871,31,True,1,1.0
9,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-05-10 20:58:27,2023-02-21 11:02:54,236,2.0,410,132,233,177.0,146.0,9901,2022-08-30 17:56:11,0.0.8,,393905,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5912.0,5912.0,53.0,https://pypi.org/project/sqlmodel,393905,30,True,1,
