,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending
12,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2025-09-05 02:04:03,2025-06-10 10:22:28,1421.0,,92.0,16.0,929.0,69.0,202.0,1769.0,2024-12-06 10:47:54,0.20.2,80.0,python async orm with fastapi in mind and pydantic validation.,1099.0,1099.0,42.0,https://pypi.org/project/ormar,62738.0,62738.0,29,True,2,,,2.0
13,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2025-08-09 22:19:32,2025-08-09 22:19:32,1911.0,17.0,92.0,17.0,568.0,70.0,404.0,1677.0,2025-07-29 08:13:24,1.28.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",499.0,499.0,49.0,https://pypi.org/project/piccolo,39166.0,39166.0,29,True,2,,,
14,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-09-08 03:20:51,2025-09-08 03:20:44,2612.0,74.0,148.0,13.0,1296.0,9.0,250.0,1438.0,2025-09-03 10:08:04,0.14.1,75.0,FastAPI pagination.,,,53.0,https://pypi.org/project/fastapi-pagination,1556900.0,1556900.0,28,True,1,,,
15,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2025-09-09 13:26:19,2025-09-07 20:28:16,3563.0,82.0,577.0,39.0,2755.0,380.0,724.0,4401.0,2025-09-07 20:28:35,0.282.0,100.0,A GraphQL library for Python that leverages type annotations.,,,292.0,https://pypi.org/project/strawberry,536.0,571.0,27,True,3,,424.0,
16,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2025-08-10 12:25:45,2025-08-08 15:15:46,261.0,3.0,97.0,14.0,122.0,41.0,64.0,1594.0,,,,A rate limiter for Starlette and FastAPI.,7373.0,7373.0,26.0,https://pypi.org/project/slowapi,2468327.0,2468327.0,27,True,1,,,
17,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,https://github.com/dapr/python-sdk,https://github.com/dapr/python-sdk,Apache-2.0,2019-06-21 15:51:20,2025-09-07 11:50:27,2025-09-04 17:30:28,484.0,14.0,133.0,25.0,538.0,14.0,276.0,256.0,,,,Dapr SDK for Python.,886.0,886.0,83.0,https://pypi.org/project/dapr-ext-fastapi,60272.0,60272.0,27,True,1,,,
18,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2025-09-08 21:39:19,2025-09-08 14:12:10,1361.0,18.0,54.0,16.0,676.0,7.0,58.0,987.0,2025-05-31 14:53:11,1.4.3,45.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,239.0,239.0,20.0,https://pypi.org/project/authx,17018.0,17018.0,26,True,2,,,
19,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406.0,,425.0,41.0,51.0,57.0,72.0,3433.0,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",500.0,500.0,18.0,https://pypi.org/project/fastapi-admin,15547.0,15547.0,25,True,3,,,
20,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128.0,,149.0,45.0,475.0,45.0,263.0,2723.0,,,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2495.0,2495.0,45.0,https://pypi.org/project/gino,24255.0,24255.0,25,True,3,,,
21,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2025-01-23 21:09:34,2025-01-07 22:21:10,560.0,,86.0,19.0,311.0,87.0,90.0,1131.0,2024-04-26 23:28:12,1.0.2,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3580.0,3580.0,19.0,https://pypi.org/project/odmantic,60497.0,60497.0,25,True,3,,,1.0
