,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-01-01 17:20:09,2025-01-01 16:17:57,17276,110.0,1441,103,871,221.0,7729.0,9864,2024-10-15 19:41:54,rel_2_0_36,51477.0,143538535.0,100.0,The Database Toolkit for Python.,944910.0,944910.0,750.0,https://pypi.org/project/sqlalchemy,143537416.0,45,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,8.0,812,141,570,89.0,910.0,8123,2024-11-09 20:43:58,3.4.3,,10318118.0,63.0,GraphQL framework for Python.,25170.0,25170.0,211.0,https://pypi.org/project/graphene,10318118.0,38,True,1,-1.0,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-12-30 22:49:32,2024-12-26 15:49:14,602,50.0,637,138,583,177.0,162.0,14921,2024-08-31 09:42:46,0.0.22,,2083613.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",19175.0,19175.0,82.0,https://pypi.org/project/sqlmodel,2083613.0,37,True,1,,fastapi/sqlmodel
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,5.0,1159,136,1145,297.0,1406.0,4271,2024-09-19 08:33:36,0.29.1,,1103367.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,25972.0,25972.0,398.0,https://pypi.org/project/mongoengine,1103367.0,37,True,1,-2.0,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-12-31 08:58:50,2024-12-31 08:58:50,1344,55.0,394,48,627,477.0,638.0,4756,2024-12-23 22:49:12,0.23.0,18.0,180261.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",8951.0,8951.0,153.0,https://pypi.org/project/tortoise-orm,180261.0,36,True,2,,
5,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-12-17 04:25:56,2024-11-18 11:51:39,766,17.0,390,47,589,11.0,267.0,4786,2024-11-03 13:22:10,14.0.0,332.0,134395.0,100.0,Ready-to-use and customizable users management for FastAPI.,4327.0,4327.0,69.0,https://pypi.org/project/fastapi-users,134390.0,33,True,1,,
6,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-11-20 17:55:12,2024-11-20 17:55:12,1838,2.0,202,91,308,,,2448,2024-09-18 23:23:42,3.5.3,44.0,2578960.0,19.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,107772.0,107772.0,54.0,https://pypi.org/project/motor,2578960.0,33,True,2,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-12-19 11:58:39,2024-12-19 11:58:39,1891,40.0,178,40,666,32.0,285.0,2229,2024-12-19 11:56:49,0.24,,467468.0,44.0,Python library for implementing GraphQL servers using schema-first approach.,1771.0,1771.0,78.0,https://pypi.org/project/ariadne,467468.0,33,True,2,,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-12-31 04:00:19,2024-12-31 04:00:11,2303,166.0,140,14,1147,11.0,229.0,1239,2024-12-21 15:37:54,0.12.34,,698136.0,65.0,FastAPI pagination.,3159.0,3159.0,49.0,https://pypi.org/project/fastapi-pagination,698136.0,33,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-01-02 16:54:04,2025-01-02 16:54:04,6010,131.0,1070,239,2037,,,4168,2024-10-02 23:57:07,4.9.2,825.0,40077879.0,41.0,PyMongo - the Official MongoDB Python driver.,,,221.0,https://pypi.org/project/pymongo,40077867.0,32,True,3,,
