,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,github_release_downloads
0,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355.0,11.0,1166.0,136.0,1164.0,303.0,1411.0,4337.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27737.0,27737.0,401.0,https://pypi.org/project/mongoengine,1702844.0,1702844.0,38,True,1,1.0,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-09-02 17:56:39,2025-08-27 18:53:22,752.0,62.0,711.0,139.0,714.0,64.0,278.0,16695.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28936.0,28936.0,94.0,https://pypi.org/project/sqlmodel,5435857.0,5435857.0,37,True,1,-1.0,fastapi/sqlmodel,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787.0,,803.0,143.0,572.0,91.0,911.0,8207.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29285.0,29285.0,211.0,https://pypi.org/project/graphene,23220675.0,23220675.0,37,True,1,1.0,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-08-15 18:19:59,2025-08-15 18:19:58,1874.0,7.0,208.0,86.0,340.0,,,2510.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,126321.0,126321.0,57.0,https://pypi.org/project/motor,8238070.0,8238071.0,35,True,2,,,73.0
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-08-27 04:27:55,2025-08-27 04:27:01,1398.0,7.0,434.0,45.0,713.0,464.0,725.0,5272.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10270.0,10270.0,160.0,https://pypi.org/project/tortoise-orm,297281.0,297281.0,34,True,1,-1.0,,18.0
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-07-15 11:19:23,2025-07-15 11:19:23,2010.0,12.0,185.0,39.0,686.0,38.0,288.0,2290.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1993.0,1993.0,85.0,https://pypi.org/project/ariadne,891596.0,891596.0,34,True,2,,,57.0
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-09-01 19:27:06,2025-08-30 10:50:03,575.0,19.0,256.0,18.0,461.0,88.0,400.0,2426.0,2025-07-20 07:17:27,2.0.0,100.0,Asynchronous Python ODM for MongoDB.,4377.0,4377.0,119.0,https://pypi.org/project/beanie,2094768.0,2094768.0,33,True,3,,BeanieODM/beanie,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-08-27 14:47:27,2025-01-04 13:16:19,769.0,,459.0,49.0,600.0,16.0,269.0,5528.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5389.0,5389.0,69.0,https://pypi.org/project/fastapi-users,456928.0,456933.0,32,True,1,,,424.0
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-09-03 19:00:05,2025-09-03 19:00:04,6404.0,109.0,1088.0,234.0,2513.0,,,4265.0,2025-08-19 18:28:36,4.14.1,52.0,PyMongo - the Official MongoDB Python driver.,,,227.0,https://pypi.org/project/pymongo,58643371.0,58643440.0,32,True,3,,,5189.0
9,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2025-07-02 09:41:24,2025-07-02 09:34:57,389.0,6.0,237.0,17.0,468.0,70.0,208.0,2330.0,2025-07-02 09:40:46,0.21.0,42.0,SQLAlchemy Admin for FastAPI and Starlette.,1734.0,1734.0,74.0,https://pypi.org/project/sqladmin,403318.0,403318.0,30,True,1,,,
