,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-05-11 17:20:38,2023-05-11 17:20:21,16281,299.0,1117,91,617,168.0,7113.0,7205,2023-05-10 22:30:21,rel_2_0_13,41420.0,70430701,100.0,The Database Toolkit for Python.,564198.0,564198.0,621.0,https://pypi.org/project/sqlalchemy,70429760,45,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-04-27 00:59:01,2023-04-18 19:22:32,4081,27.0,1143,136,1099,344.0,1309.0,3991,2023-03-03 10:21:35,0.27.0,,1039093,41.0,A Python Object-Document-Mapper for working with MongoDB.,20179.0,20179.0,385.0,https://pypi.org/project/mongoengine,1039093,39,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-05-11 12:08:23,2023-03-13 20:24:16,1742,6.0,790,143,523,102.0,871.0,7667,2023-03-13 20:25:52,3.2.2,,1981996,58.0,GraphQL framework for Python.,17412.0,17412.0,198.0,https://pypi.org/project/graphene,1981996,36,True,1,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-05-10 13:18:02,2023-05-10 13:18:02,1172,14.0,308,40,460,399.0,477.0,3537,2023-01-30 02:31:19,0.19.3,10.0,83881,100.0,"Familiar asyncio ORM for python, built with relations in mind.",5486.0,5486.0,120.0,https://pypi.org/project/tortoise-orm,83881,34,True,2,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-05-11 15:23:13,2023-05-08 18:36:41,1722,11.0,180,88,201,,,2151,2023-04-03 20:26:32,3.1.2,,1101865,9.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,58882.0,58882.0,42.0,https://pypi.org/project/motor,1101865,34,True,2,1.0
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-05-08 17:24:25,2023-05-08 17:24:25,1616,76.0,162,40,617,46.0,238.0,2003,2023-03-28 13:00:46,0.19.1,,139131,36.0,Python library for implementing GraphQL servers using schema-first approach.,1212.0,1212.0,68.0,https://pypi.org/project/ariadne,139131,34,True,2,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-05-11 13:15:32,2023-05-09 18:40:34,2708,141.0,395,44,1966,273.0,449.0,3202,2023-05-09 10:02:25,0.177.1,433.0,544,100.0,A GraphQL library for Python that leverages type annotations.,1802.0,1802.0,199.0,https://pypi.org/project/strawberry,483,32,True,3,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-05-10 12:03:54,2023-05-10 12:02:44,691,28.0,265,33,525,3.0,228.0,2727,2023-04-29 11:58:50,11.0.0,36.0,50895,93.0,Ready-to-use and customizable users management for FastAPI.,1219.0,1219.0,58.0,https://pypi.org/project/fastapi-users,50895,31,True,1,
8,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-05-10 20:58:27,2023-02-21 11:02:54,236,2.0,411,133,233,176.0,146.0,9873,2022-08-30 17:56:11,0.0.8,,391363,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5827.0,5827.0,54.0,https://pypi.org/project/sqlmodel,391363,30,True,1,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-05-11 15:04:54,2023-05-10 06:19:44,5259,50.0,991,239,1205,,,3835,2022-11-17 21:50:05,4.3.3,,18908388,25.0,PyMongo - the Official MongoDB Python driver.,,,198.0,https://pypi.org/project/pymongo,18908388,30,True,3,
10,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2023-05-11 04:02:35,2023-05-11 04:02:27,1087,219.0,90,8,526,8.0,116.0,700,2023-05-08 13:29:35,0.12.3,,212221,34.0,FastAPI pagination.,1225.0,1225.0,30.0,https://pypi.org/project/fastapi-pagination,212221,30,True,1,
11,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-05-11 03:00:40,2023-05-04 03:03:56,1198,38.0,65,17,607,56.0,173.0,1318,2023-01-29 12:21:40,0.12.1,,21910,76.0,python async orm with fastapi in mind and pydantic validation.,759.0,759.0,30.0,https://pypi.org/project/ormar,21910,29,True,2,
12,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-05-05 19:16:17,2023-05-05 19:04:45,391,14.0,113,15,220,35.0,208.0,1188,2023-05-05 19:19:23,1.19.0,,50891,94.0,Asynchronous Python ODM for MongoDB.,1005.0,1005.0,47.0,https://pypi.org/project/beanie,50891,29,True,3,1.0
13,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2023-05-11 12:58:25,2023-05-06 17:39:52,1774,52.0,350,16,1062,270.0,451.0,446,2023-03-22 16:52:12,0.38b0,,610102,30.0,OpenTelemetry instrumentation for Python modules.,5.0,5.0,196.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,610102,29,True,1,
14,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2023-05-10 10:14:16,2023-05-09 16:24:07,751,30.0,44,14,405,139.0,156.0,1132,2023-03-05 18:54:43,0.8.2,,14275,28.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,230.0,230.0,21.0,https://pypi.org/project/prisma,14275,28,True,3,
