,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-12-19 14:03:13,2024-12-19 00:47:17,17266,105.0,1435,103,869,222.0,7724.0,9820,2024-10-15 19:41:54,rel_2_0_36,51382.0,168627845.0,100.0,The Database Toolkit for Python.,935866.0,935866.0,750.0,https://pypi.org/project/sqlalchemy,168626704.0,45,True,1,,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,13.0,812,141,570,89.0,910.0,8117,2024-11-09 20:43:58,3.4.3,,11992587.0,63.0,GraphQL framework for Python.,24986.0,24986.0,211.0,https://pypi.org/project/graphene,11992587.0,39,True,1,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,35.0,1159,136,1145,297.0,1406.0,4271,2024-09-19 08:33:36,0.29.1,,1434335.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,25880.0,25880.0,398.0,https://pypi.org/project/mongoengine,1434335.0,39,True,1,-1.0,
3,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-12-16 17:55:53,2024-12-10 11:30:12,592,44.0,632,140,574,177.0,161.0,14834,2024-08-31 09:42:46,0.0.22,,2957688.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",18726.0,18726.0,81.0,https://pypi.org/project/sqlmodel,2957688.0,37,True,1,,fastapi/sqlmodel
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-12-19 10:09:48,2024-12-19 10:09:48,1330,46.0,391,48,615,486.0,626.0,4733,2024-12-09 09:41:17,0.22.2,18.0,221884.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",8867.0,8867.0,151.0,https://pypi.org/project/tortoise-orm,221884.0,36,True,2,1.0,
5,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-12-17 04:25:56,2024-11-18 11:51:39,766,17.0,388,46,587,11.0,267.0,4756,2024-11-03 13:22:10,14.0.0,329.0,362523.0,100.0,Ready-to-use and customizable users management for FastAPI.,4280.0,4280.0,69.0,https://pypi.org/project/fastapi-users,362518.0,33,True,1,,
6,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-11-20 17:55:12,2024-11-20 17:55:12,1838,2.0,202,91,308,,,2447,2024-09-18 23:23:42,3.5.3,38.0,3044365.0,19.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,106547.0,106547.0,54.0,https://pypi.org/project/motor,3044365.0,33,True,2,-1.0,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-12-19 11:58:39,2024-12-19 11:58:39,1891,40.0,178,40,666,32.0,285.0,2231,2024-12-19 11:56:49,0.24,,647596.0,44.0,Python library for implementing GraphQL servers using schema-first approach.,1758.0,1758.0,78.0,https://pypi.org/project/ariadne,647596.0,33,True,2,,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-12-19 05:02:45,2024-12-19 05:02:38,2271,168.0,140,14,1131,14.0,225.0,1226,2024-12-18 23:38:45,0.12.33,,853233.0,64.0,FastAPI pagination.,3114.0,3114.0,49.0,https://pypi.org/project/fastapi-pagination,853233.0,33,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-12-09 21:07:40,2024-12-09 21:07:34,6004,148.0,1070,239,2028,,,4169,2024-10-02 23:57:07,4.9.2,570.0,45474688.0,41.0,PyMongo - the Official MongoDB Python driver.,,,221.0,https://pypi.org/project/pymongo,45474680.0,32,True,3,,
