,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-01-14 18:44:05,2026-01-14 18:43:26,17902,163.0,1602,103,1021,191.0,7951.0,11387,2025-12-09 21:05:22,rel_2_0_45,8026.0,235707707.0,100.0,The Database Toolkit for Python.,1163327.0,1163327.0,807.0,https://pypi.org/project/sqlalchemy,235707567.0,46,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-01-15 15:05:31,2026-01-13 11:30:25,955,140.0,750,136,844,60.0,285.0,17489,2025-12-28 12:34:35,0.0.31,,6868050.0,30.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",30054.0,30054.0,102.0,https://pypi.org/project/sqlmodel,6868050.0,38,True,1,fastapi/sqlmodel,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,804,140,574,90.0,912.0,8242,2024-11-09 20:43:58,3.4.3,,22446767.0,63.0,GraphQL framework for Python.,30121.0,30121.0,211.0,https://pypi.org/project/graphene,22446767.0,36,True,1,,
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355,,1165,131,1168,305.0,1411.0,4352,2024-09-19 08:33:36,0.29.1,,1439149.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,27864.0,27864.0,401.0,https://pypi.org/project/mongoengine,1439149.0,36,True,1,,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2026-01-14 06:28:04,2026-01-14 06:28:04,1415,16.0,443,42,735,477.0,742.0,5447,2025-12-24 01:14:05,0.25.3,18.0,361458.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10400.0,10400.0,163.0,https://pypi.org/project/tortoise-orm,361458.0,35,True,2,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-01-12 12:24:48,2025-12-29 15:16:34,1894,12.0,208,84,361,,,2522,2025-05-14 19:00:46,3.7.1,74.0,6203764.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,127365.0,127365.0,59.0,https://pypi.org/project/motor,6203763.0,35,True,2,,
6,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-01-15 03:14:35,2026-01-15 03:14:28,2826,161.0,153,13,1412,7.0,262.0,1592,2026-01-11 22:15:26,0.15.6,,2098426.0,84.0,FastAPI pagination.,4463.0,4463.0,54.0,https://pypi.org/project/fastapi-pagination,2098426.0,35,True,1,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-12-25 18:32:17,2025-12-25 18:31:42,810,41.0,481,52,612,5.0,290.0,5928,2025-12-19 09:43:56,15.0.3,471.0,508651.0,100.0,Ready-to-use and customizable users management for FastAPI.,5498.0,5498.0,76.0,https://pypi.org/project/fastapi-users,508645.0,34,True,1,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-01-14 16:41:53,2026-01-09 14:23:00,6521,61.0,1100,230,2674,,,4330,2026-01-07 18:15:35,4.16.0,3915.0,69402290.0,59.0,PyMongo - the Official MongoDB Python driver.,,,237.0,https://pypi.org/project/pymongo,69402241.0,33,True,3,,
9,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-01-15 15:07:48,2026-01-15 14:45:47,2093,26.0,187,38,695,37.0,291.0,2312,2025-04-18 08:27:47,0.26.2,67.0,966137.0,51.0,Python library for implementing GraphQL servers using schema-first approach.,2015.0,2015.0,86.0,https://pypi.org/project/ariadne,966137.0,33,True,2,,1.0
