,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-05-30 17:47:46,2024-05-30 17:47:30,16987,145.0,1322,99,792,215.0,7551.0,8961,2024-05-05 18:04:05,rel_2_0_30,48001.0,114584209.0,100.0,The Database Toolkit for Python.,785970.0,785970.0,713.0,https://pypi.org/project/sqlalchemy,114583143.0,45,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-04-24 15:32:09,2024-03-10 11:56:26,4154,13.0,1152,137,1122,347.0,1346.0,4171,2024-03-07 17:35:36,0.28.2,,1113078.0,44.0,A Python Object-Document-Mapper for working with MongoDB.,24087.0,24087.0,391.0,https://pypi.org/project/mongoengine,1113078.0,39,True,1,,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-05-30 03:55:21,2024-05-10 21:00:41,408,32.0,561,150,389,176.0,155.0,13258,2024-04-30 06:30:05,0.0.18,,1461884.0,17.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",12313.0,12313.0,72.0,https://pypi.org/project/sqlmodel,1461884.0,36,True,1,,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-05-20 00:09:33,2024-05-16 08:17:46,1759,4.0,800,143,551,111.0,877.0,7997,2023-07-26 06:47:55,3.3.0,,7794037.0,59.0,GraphQL framework for Python.,21390.0,21390.0,207.0,https://pypi.org/project/graphene,7794037.0,36,True,1,,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-05-29 16:12:48,2024-05-29 16:12:02,1241,47.0,349,44,526,498.0,535.0,4302,2024-05-25 15:19:28,0.21.2,13.0,138121.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",7721.0,7721.0,134.0,https://pypi.org/project/tortoise-orm,138121.0,35,True,2,1.0,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-05-24 17:22:03,2024-05-24 17:22:03,1800,20.0,203,92,277,,,2343,2024-03-26 18:57:20,3.4.0,,1946653.0,14.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,90654.0,90654.0,52.0,https://pypi.org/project/motor,1946653.0,35,True,2,,
6,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2024-05-30 15:06:21,2024-05-29 17:17:50,2028,142.0,512,19,1471,408.0,651.0,629,2024-03-28 19:31:45,0.45b0,,5038870.0,37.0,OpenTelemetry instrumentation for Python modules.,1503.0,1503.0,257.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,5038870.0,34,True,1,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-04-12 04:44:54,2024-04-09 09:00:03,1833,24.0,177,40,656,32.0,277.0,2154,2024-03-18 10:27:12,0.23.0,,203533.0,43.0,Python library for implementing GraphQL servers using schema-first approach.,1607.0,1607.0,74.0,https://pypi.org/project/ariadne,203533.0,33,True,2,,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-05-02 14:48:10,2024-05-02 14:46:44,745,11.0,355,43,562,7.0,256.0,4162,2024-03-11 13:30:38,13.0.0,193.0,95873.0,99.0,Ready-to-use and customizable users management for FastAPI.,3313.0,3313.0,65.0,https://pypi.org/project/fastapi-users,95870.0,32,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-05-30 16:03:43,2024-05-30 01:35:02,5646,97.0,1044,240,1645,,,4066,2024-05-07 20:50:20,4.7.2,,28976346.0,34.0,PyMongo - the Official MongoDB Python driver.,,,213.0,https://pypi.org/project/pymongo,28976346.0,32,True,3,,
