,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-12-04 14:37:49,2025-12-04 13:53:27,17845,205.0,1582,103,1008,194.0,7934.0,11217,2025-10-10 14:39:20,rel_2_0_44,6959.0,243783035.0,100.0,The Database Toolkit for Python.,1158581.0,1158581.0,803.0,https://pypi.org/project/sqlalchemy,243782911.0,47,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-12-02 00:58:53,2025-11-28 15:55:18,883,121.0,743,137,808,62.0,283.0,17239,2025-10-08 16:38:41,0.0.27,,7746171.0,26.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",29613.0,29613.0,98.0,https://pypi.org/project/sqlmodel,7746171.0,38,True,1,fastapi/sqlmodel,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,802,140,573,90.0,912.0,8241,2024-11-09 20:43:58,3.4.3,,26249104.0,63.0,GraphQL framework for Python.,29918.0,29918.0,211.0,https://pypi.org/project/graphene,26249104.0,37,True,1,,-1.0
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355,,1164,131,1166,304.0,1411.0,4354,2024-09-19 08:33:36,0.29.1,,1669725.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,27831.0,27831.0,401.0,https://pypi.org/project/mongoengine,1669725.0,36,True,1,,-1.0
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-12-01 14:24:29,2025-12-01 14:24:25,1889,15.0,208,84,355,,,2524,2025-05-14 19:00:46,3.7.1,74.0,7866318.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,127027.0,127027.0,59.0,https://pypi.org/project/motor,7866317.0,35,True,2,,
5,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-11-24 11:48:32,2025-10-25 06:56:02,797,28.0,475,51,608,4.0,289.0,5853,2025-10-25 06:53:51,15.0.1,453.0,616060.0,100.0,Ready-to-use and customizable users management for FastAPI.,5459.0,5459.0,74.0,https://pypi.org/project/fastapi-users,616054.0,34,True,1,,
6,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-11-27 05:19:05,2025-11-27 05:19:05,1403,5.0,443,42,725,474.0,728.0,5401,2025-06-05 10:42:46,0.25.1,18.0,464994.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10362.0,10362.0,160.0,https://pypi.org/project/tortoise-orm,464994.0,34,True,2,,-1.0
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-10-13 12:26:33,2025-10-13 12:26:32,2067,57.0,188,38,692,37.0,290.0,2310,2025-04-18 08:27:47,0.26.2,67.0,1891884.0,51.0,Python library for implementing GraphQL servers using schema-first approach.,2007.0,2007.0,85.0,https://pypi.org/project/ariadne,1891884.0,34,True,2,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-12-04 16:58:10,2025-12-04 16:58:10,6486,82.0,1101,229,2632,,,4311,2025-12-02 19:15:26,4.15.5,4122.0,72397682.0,58.0,PyMongo - the Official MongoDB Python driver.,,,234.0,https://pypi.org/project/pymongo,72397630.0,33,True,3,,
9,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-12-01 19:59:39,2025-11-20 18:45:39,579,4.0,265,18,471,93.0,412.0,2596,2025-11-20 18:47:01,2.0.1,,1191384.0,100.0,Asynchronous Python ODM for MongoDB.,4445.0,4445.0,119.0,https://pypi.org/project/beanie,1191384.0,32,True,3,BeanieODM/beanie,
