,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-10-26 12:32:34,2023-10-25 13:55:15,16644,185.0,1211,88,693,178.0,7344.0,7888,2023-10-12 20:52:08,rel_2_0_22,46127.0,96546383,100.0,The Database Toolkit for Python.,654053.0,654053.0,661.0,https://pypi.org/project/sqlalchemy,96545442,44,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-10-07 15:27:00,2023-10-04 06:58:22,4085,3.0,1141,139,1105,346.0,1322.0,4074,2023-03-03 10:21:35,0.27.0,,951882,41.0,A Python Object-Document-Mapper for working with MongoDB.,21787.0,21787.0,387.0,https://pypi.org/project/mongoengine,951882,37,True,1,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-10-26 14:37:46,2023-10-26 14:34:49,309,73.0,465,146,272,178.0,148.0,10963,2023-10-26 14:37:46,0.0.10,,543522,9.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7847.0,7847.0,69.0,https://pypi.org/project/sqlmodel,543522,35,True,1,1.0
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-10-06 20:15:26,2023-10-06 20:15:26,1755,2.0,797,142,539,102.0,875.0,7818,2023-07-26 06:47:55,3.3.0,,1756512,59.0,GraphQL framework for Python.,19043.0,19043.0,207.0,https://pypi.org/project/graphene,1756512,35,True,1,-1.0
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-10-20 18:45:21,2023-10-20 18:45:21,1746,12.0,191,89,226,,,2228,2023-08-31 20:43:19,3.3.1,,1203800,12.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,72635.0,72635.0,45.0,https://pypi.org/project/motor,1203800,34,True,2,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-10-20 12:51:38,2023-10-13 01:32:04,1189,7.0,333,41,483,462.0,500.0,3881,2023-08-11 03:42:54,0.20.0,13.0,97703,100.0,"Familiar asyncio ORM for python, built with relations in mind.",6474.0,6474.0,123.0,https://pypi.org/project/tortoise-orm,97703,33,True,2,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-10-25 19:19:34,2023-10-25 15:32:40,1689,10.0,173,39,632,43.0,253.0,2076,2023-06-27 14:25:22,0.20.1,,206154,38.0,Python library for implementing GraphQL servers using schema-first approach.,1401.0,1401.0,71.0,https://pypi.org/project/ariadne,206154,33,True,2,1.0
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-10-26 09:32:31,2023-10-26 09:30:48,2983,109.0,451,44,2240,342.0,501.0,3497,2023-10-25 13:13:54,0.211.1,464.0,619,100.0,A GraphQL library for Python that leverages type annotations.,2355.0,2355.0,227.0,https://pypi.org/project/strawberry,527,32,True,3,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2023-10-25 03:59:11,2023-10-25 03:59:05,1471,212.0,104,8,717,7.0,149.0,856,2023-10-20 10:31:14,0.12.11,,305569,42.0,FastAPI pagination.,1667.0,1667.0,38.0,https://pypi.org/project/fastapi-pagination,305569,32,True,1,1.0
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-10-25 19:25:21,2023-10-25 19:25:20,5448,76.0,1016,239,1404,,,3942,2023-08-22 13:42:54,4.5.0,,22719273,28.0,PyMongo - the Official MongoDB Python driver.,,,205.0,https://pypi.org/project/pymongo,22719273,31,True,3,
