,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-02-05 16:47:53,2026-02-05 16:47:07,17940,155.0,1615,103,1028,191.0,7959.0,11466,2026-01-21 18:03:51,rel_2_0_46,8129.0,271278751.0,100.0,The Database Toolkit for Python.,1166795.0,1166795.0,810.0,https://pypi.org/project/sqlalchemy,271278611.0,46,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-02-05 17:58:14,2026-02-05 09:58:22,986,131.0,755,137,874,59.0,286.0,17594,2026-02-01 18:19:03,0.0.32,,9309063.0,31.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",30270.0,30270.0,103.0,https://pypi.org/project/sqlmodel,9309063.0,38,True,1,fastapi/sqlmodel,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,803,140,574,90.0,912.0,8244,2024-11-09 20:43:58,3.4.3,,27063498.0,63.0,GraphQL framework for Python.,30304.0,30304.0,211.0,https://pypi.org/project/graphene,27063498.0,37,True,1,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2026-02-03 19:53:01,2026-02-03 19:52:59,1425,26.0,450,42,746,473.0,749.0,5475,2026-02-02 17:56:35,0.25.4,18.0,447501.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10420.0,10420.0,164.0,https://pypi.org/project/tortoise-orm,447501.0,36,True,2,,1.0
4,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355,,1164,132,1168,305.0,1411.0,4353,2024-09-19 08:33:36,0.29.1,,1924556.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,27889.0,27889.0,401.0,https://pypi.org/project/mongoengine,1924556.0,36,True,1,,
5,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-02-05 17:18:56,2026-02-05 17:18:48,2866,167.0,154,13,1434,7.0,270.0,1613,2026-02-02 18:29:04,0.15.9,,3319618.0,87.0,FastAPI pagination.,4493.0,4493.0,55.0,https://pypi.org/project/fastapi-pagination,3319618.0,36,True,1,,1.0
6,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-02-02 12:28:16,2026-02-02 12:28:13,1899,13.0,209,84,366,,,2523,2025-05-14 19:00:46,3.7.1,118.0,7607252.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,127578.0,127578.0,60.0,https://pypi.org/project/motor,7607251.0,35,True,2,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-02-05 13:09:01,2026-01-30 13:58:19,2131,64.0,187,38,703,37.0,294.0,2316,2026-02-03 09:57:23,0.28.0,117.0,1564984.0,56.0,Python library for implementing GraphQL servers using schema-first approach.,2020.0,2020.0,87.0,https://pypi.org/project/ariadne,1564983.0,35,True,2,,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2026-02-05 09:35:13,2026-02-05 09:33:33,814,17.0,481,53,615,4.0,292.0,5978,2026-02-05 09:37:04,15.0.4,480.0,592771.0,100.0,Ready-to-use and customizable users management for FastAPI.,5525.0,5525.0,76.0,https://pypi.org/project/fastapi-users,592765.0,34,True,1,,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-02-04 21:01:36,2026-02-03 19:44:16,6533,64.0,1099,230,2692,,,4331,2026-01-07 18:15:35,4.16.0,4862.0,74194942.0,59.0,PyMongo - the Official MongoDB Python driver.,,,237.0,https://pypi.org/project/pymongo,74194882.0,33,True,3,,
